SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2021248N11131,2021,71,CONSON,2021-09-05 06:00:00,10.3,130.3,1006
2021248N11131,2021,71,CONSON,2021-09-05 12:00:00,10.1,129.5,1006
2021248N11131,2021,71,CONSON,2021-09-05 18:00:00,10.0,128.6,1004
2021248N11131,2021,71,CONSON,2021-09-06 00:00:00,10.3,127.8,1002
2021248N11131,2021,71,CONSON,2021-09-06 06:00:00,10.8,126.8,998
2021248N11131,2021,71,CONSON,2021-09-06 12:00:00,11.2,126.0,994
2021248N11131,2021,71,CONSON,2021-09-06 18:00:00,11.6,124.9,994
2021248N11131,2021,71,CONSON,2021-09-07 00:00:00,12.0,124.2,998
2021248N11131,2021,71,CONSON,2021-09-07 06:00:00,12.4,123.5,998
2021248N11131,2021,71,CONSON,2021-09-07 12:00:00,12.9,122.8,998
2021248N11131,2021,71,CONSON,2021-09-07 18:00:00,13.3,122.0,998
2021248N11131,2021,71,CONSON,2021-09-08 00:00:00,13.7,121.5,998
2021248N11131,2021,71,CONSON,2021-09-08 06:00:00,14.2,120.7,998
2021248N11131,2021,71,CONSON,2021-09-08 12:00:00,14.8,120.1,998
2021248N11131,2021,71,CONSON,2021-09-08 18:00:00,15.3,119.1,998
2021248N11131,2021,71,CONSON,2021-09-09 00:00:00,15.5,118.1,994
2021248N11131,2021,71,CONSON,2021-09-09 06:00:00,15.8,116.8,994
2021248N11131,2021,71,CONSON,2021-09-09 12:00:00,15.9,115.1,992
2021248N11131,2021,71,CONSON,2021-09-09 18:00:00,15.8,114.0,992
2021248N11131,2021,71,CONSON,2021-09-10 00:00:00,15.7,112.9,992
2021248N11131,2021,71,CONSON,2021-09-10 06:00:00,15.7,112.2,992
2021248N11131,2021,71,CONSON,2021-09-10 12:00:00,15.7,111.5,992
2021248N11131,2021,71,CONSON,2021-09-10 18:00:00,15.7,110.8,992
2021248N11131,2021,71,CONSON,2021-09-11 00:00:00,15.7,110.0,992
