SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2022247N26147,2022,66,MUIFA,2022-09-12 12:00:00,24.9,124.0,965
2022247N26147,2022,66,MUIFA,2022-09-12 18:00:00,25.2,124.1,965
2022247N26147,2022,66,MUIFA,2022-09-13 00:00:00,25.7,124.2,955
2022247N26147,2022,66,MUIFA,2022-09-13 06:00:00,26.1,124.0,955
2022247N26147,2022,66,MUIFA,2022-09-13 12:00:00,26.7,123.9,955
2022247N26147,2022,66,MUIFA,2022-09-13 18:00:00,27.2,123.5,955
2022247N26147,2022,66,MUIFA,2022-09-14 00:00:00,28.0,123.2,955
2022247N26147,2022,66,MUIFA,2022-09-14 06:00:00,28.8,122.8,955
2022247N26147,2022,66,MUIFA,2022-09-14 12:00:00,29.9,122.3,965
2022247N26147,2022,66,MUIFA,2022-09-14 18:00:00,31.2,121.7,975
2022247N26147,2022,66,MUIFA,2022-09-15 00:00:00,32.7,120.9,985
2022247N26147,2022,66,MUIFA,2022-09-15 06:00:00,34.0,120.5,990
2022247N26147,2022,66,MUIFA,2022-09-15 12:00:00,35.2,120.3,992
2022247N26147,2022,66,MUIFA,2022-09-15 18:00:00,36.4,120.6,992
2022247N26147,2022,66,MUIFA,2022-09-16 00:00:00,37.8,121.3,994
2022247N26147,2022,66,MUIFA,2022-09-16 06:00:00,39.2,122.6,994
2022247N26147,2022,66,MUIFA,2022-09-16 12:00:00,41.4,124.6,1000
2022247N26147,2022,66,MUIFA,2022-09-16 18:00:00,42.9,127.0,1004
2022247N26147,2022,66,MUIFA,2022-09-17 00:00:00,43.6,129.0,1006
2022254N24143,2022,70,NANMADOL,2022-09-12 12:00:00,21.7,138.1,1000
2022254N24143,2022,70,NANMADOL,2022-09-12 18:00:00,22.0,138.2,998
2022254N24143,2022,70,NANMADOL,2022-09-13 00:00:00,21.9,138.5,998
2022254N24143,2022,70,NANMADOL,2022-09-13 06:00:00,22.0,139.0,998
2022254N24143,2022,70,NANMADOL,2022-09-13 12:00:00,22.2,139.6,998
2022254N24143,2022,70,NANMADOL,2022-09-13 18:00:00,22.4,140.1,996
2022254N24143,2022,70,NANMADOL,2022-09-14 00:00:00,22.5,140.6,996
2022254N24143,2022,70,NANMADOL,2022-09-14 06:00:00,22.8,140.7,996
2022254N24143,2022,70,NANMADOL,2022-09-14 12:00:00,22.9,140.3,994
2022254N24143,2022,70,NANMADOL,2022-09-14 18:00:00,23.1,139.7,990
2022254N24143,2022,70,NANMADOL,2022-09-15 00:00:00,23.2,138.9,985
2022254N24143,2022,70,NANMADOL,2022-09-15 06:00:00,23.3,137.9,980
2022254N24143,2022,70,NANMADOL,2022-09-15 12:00:00,23.4,137.3,970
2022254N24143,2022,70,NANMADOL,2022-09-15 18:00:00,23.4,136.4,960
2022254N24143,2022,70,NANMADOL,2022-09-16 00:00:00,23.7,135.9,945
2022254N24143,2022,70,NANMADOL,2022-09-16 06:00:00,24.2,135.5,935
2022254N24143,2022,70,NANMADOL,2022-09-16 12:00:00,24.8,134.7,925
2022254N24143,2022,70,NANMADOL,2022-09-16 18:00:00,25.5,133.8,910
2022254N24143,2022,70,NANMADOL,2022-09-17 00:00:00,26.0,133.1,910
