SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023239N18144,2023,49,HAIKUI,2023-08-29 18:00:00,19.7,136.6,990,998.7171020507812,20.0,136.34468380820013,994.9130249023438,20.0,137.0
2023239N18144,2023,49,HAIKUI,2023-08-30 00:00:00,20.1,136.1,990,999.6390380859375,20.5,136.09451007644196,998.3914184570312,20.5,136.5
2023239N18144,2023,49,HAIKUI,2023-08-30 06:00:00,20.4,135.5,990,997.5946655273438,21.25,134.84364141765113,996.9492797851562,21.5,135.5
2023239N18144,2023,49,HAIKUI,2023-08-30 12:00:00,20.8,134.9,990,998.6593017578125,21.5,133.8429464906185,998.3209228515625,22.0,134.5
2023239N18144,2023,49,HAIKUI,2023-08-30 18:00:00,21.0,133.8,985,996.0406494140625,22.0,133.092425295344,996.4503784179688,23.0,133.5
2023239N18144,2023,49,HAIKUI,2023-08-31 00:00:00,21.1,133.0,980,996.2734985351562,22.25,132.09173036831132,998.8799438476562,23.5,132.5
2023239N18144,2023,49,HAIKUI,2023-08-31 06:00:00,21.3,132.1,980,993.8289184570312,22.75,131.09103544127865,997.261474609375,25.0,131.0
2023239N18144,2023,49,HAIKUI,2023-08-31 12:00:00,21.7,131.2,980,994.5914306640625,23.0,130.090340514246,998.4268798828125,25.5,129.5
2023239N18144,2023,49,HAIKUI,2023-08-31 18:00:00,21.9,130.3,980,992.0635986328125,23.25,128.83947185545517,996.33837890625,26.5,128.5
2023239N18144,2023,49,HAIKUI,2023-09-01 00:00:00,22.1,129.5,975,991.1768798828125,23.25,128.08895066018067,997.2500610351562,27.5,127.5
2023239N18144,2023,49,HAIKUI,2023-09-01 06:00:00,22.1,128.5,975,989.0374145507812,23.25,127.088255733148,995.2974243164062,28.0,127.0
2023239N18144,2023,49,HAIKUI,2023-09-01 12:00:00,21.9,127.8,970,987.7330322265625,23.25,126.08756080611535,995.7034301757812,28.5,126.0
2023239N18144,2023,49,HAIKUI,2023-09-01 18:00:00,21.9,127.1,970,986.468017578125,23.25,125.0868658790827,994.7568969726562,29.5,125.0
2023239N18144,2023,49,HAIKUI,2023-09-02 00:00:00,22.1,126.3,965,986.0237426757812,23.25,124.08617095205003,995.0490112304688,30.0,125.0
2023239N18144,2023,49,HAIKUI,2023-09-02 06:00:00,22.4,125.3,960,984.25,24.0,122.8353022932592,994.035888671875,31.0,124.5
2023239N18144,2023,49,HAIKUI,2023-09-02 12:00:00,22.7,124.3,960,988.7283325195312,24.0,122.0847810979847,996.0899047851562,32.0,124.5
2023239N18144,2023,49,HAIKUI,2023-09-02 18:00:00,22.6,123.2,945,984.48583984375,24.75,120.33356497567755,995.2742309570312,33.0,123.5
2023239N18144,2023,49,HAIKUI,2023-09-03 00:00:00,22.6,122.6,950,990.4635009765625,25.0,120.08339124391938,995.458984375,34.5,123.5
2023239N18144,2023,49,HAIKUI,2023-09-03 06:00:00,22.9,121.5,965,993.7767944335938,25.0,118.33217512161222,991.4871215820312,36.0,124.0
2023239N18144,2023,49,HAIKUI,2023-09-03 12:00:00,22.8,120.2,975,996.17236328125,26.25,117.0813064628214,991.3433837890625,37.0,124.5
2023239N18144,2023,49,HAIKUI,2023-09-03 18:00:00,22.6,120.1,980,996.1152954101562,27.25,115.83043780403057,994.2271118164062,38.0,125.0
2023239N18144,2023,49,HAIKUI,2023-09-04 00:00:00,23.2,119.8,985,997.51904296875,27.25,115.5802640722724,1000.266357421875,39.0,125.0
2023239N18144,2023,49,HAIKUI,2023-09-04 06:00:00,23.2,119.2,985,997.7771606445312,28.0,115.33009034051423,1003.0307006835938,39.5,125.5
2023239N18144,2023,49,HAIKUI,2023-09-04 12:00:00,23.6,118.6,992,999.2130737304688,28.25,115.07991660875606,1006.9686889648438,39.5,125.5
2023239N18144,2023,49,HAIKUI,2023-09-04 18:00:00,23.6,117.5,996,1000.441162109375,28.25,115.07991660875606,1007.6917114257812,39.0,125.0
2023239N18144,2023,49,HAIKUI,2023-09-05 00:00:00,23.5,116.9,1000,1002.222900390625,30.0,114.57956914523974,1007.883544921875,36.0,127.0
2023239N18144,2023,49,HAIKUI,2023-09-05 06:00:00,23.6,116.6,1000,1001.9207153320312,30.25,114.82974287699791,1005.2901611328125,35.0,128.0
2023239N18144,2023,49,HAIKUI,2023-09-05 12:00:00,23.6,116.2,1002,1002.9559936523438,30.25,114.82974287699791,1006.3284301757812,37.0,132.0
2023239N18144,2023,49,HAIKUI,2023-09-05 18:00:00,23.4,115.6,1004,1003.2245483398438,30.5,114.82974287699791,1005.4584350585938,37.5,133.0
2023239N18144,2023,49,HAIKUI,2023-09-06 00:00:00,23.3,115.1,1006,1004.704345703125,30.5,114.82974287699791,1005.4584350585938,37.5,133.0
2023241N10158,2023,51,KIROGI,2023-08-29 18:00:00,11.6,154.7,1004,1004.8693237304688,11.75,154.35719249478802,1005.7255249023438,11.0,154.5
2023241N10158,2023,51,KIROGI,2023-08-30 00:00:00,12.4,154.5,1004,1006.8933715820312,12.25,154.10701876302988,1006.971435546875,12.5,154.5
2023241N10158,2023,51,KIROGI,2023-08-30 06:00:00,12.9,154.4,1002,1002.637939453125,12.75,153.60667129951355,1003.32177734375,13.5,154.0
2023241N10158,2023,51,KIROGI,2023-08-30 12:00:00,13.3,154.4,1000,1004.2251586914062,13.5,153.10632383599722,1004.9959106445312,13.5,153.0
2023241N10158,2023,51,KIROGI,2023-08-30 18:00:00,14.1,154.5,998,1001.771728515625,14.0,152.85615010423905,1001.952880859375,14.0,153.5
2023241N10158,2023,51,KIROGI,2023-08-31 00:00:00,15.2,154.5,998,1003.3597412109375,15.0,152.35580264072271,1003.211181640625,15.0,154.0
2023241N10158,2023,51,KIROGI,2023-08-31 06:00:00,16.7,154.2,994,1001.6328735351562,15.75,151.85545517720638,1000.896484375,16.5,153.5
2023241N10158,2023,51,KIROGI,2023-08-31 12:00:00,17.9,153.6,994,1003.1785888671875,16.75,151.10493398193188,1000.8818969726562,17.5,152.5
2023241N10158,2023,51,KIROGI,2023-08-31 18:00:00,19.1,152.8,994,1001.7772827148438,17.5,150.35441278665738,998.9508666992188,18.5,152.0
2023241N10158,2023,51,KIROGI,2023-09-01 00:00:00,20.4,151.8,994,1003.9530639648438,19.0,149.85406532314107,1000.1550903320312,20.0,151.0
2023241N10158,2023,51,KIROGI,2023-09-01 06:00:00,21.9,150.8,998,1002.29345703125,20.0,148.8533703961084,998.148681640625,21.0,149.5
2023241N10158,2023,51,KIROGI,2023-09-01 12:00:00,23.3,149.4,998,1004.3726806640625,21.25,147.85267546907573,1000.90966796875,21.5,148.5
2023241N10158,2023,51,KIROGI,2023-09-01 18:00:00,24.4,148.4,998,1003.6130981445312,22.75,146.85198054204307,999.451904296875,23.5,147.5
2023241N10158,2023,51,KIROGI,2023-09-02 00:00:00,25.4,147.6,1000,1005.20703125,24.25,146.1014593467686,1000.7252197265625,24.5,145.5
2023241N10158,2023,51,KIROGI,2023-09-02 06:00:00,27.1,146.2,1000,1003.994873046875,25.5,144.85059068797776,999.350830078125,26.0,144.5
2023241N10158,2023,51,KIROGI,2023-09-02 12:00:00,28.6,144.9,1000,1005.794677734375,26.75,143.8498957609451,1000.9274291992188,26.0,143.0
2023241N10158,2023,51,KIROGI,2023-09-02 18:00:00,29.1,143.0,1000,1005.1007690429688,27.25,143.0993745656706,1000.3742065429688,27.5,141.0
2023241N10158,2023,51,KIROGI,2023-09-03 00:00:00,29.5,142.0,1002,1006.8931884765625,28.0,141.84850590687978,1002.43896484375,28.0,139.5
2023241N10158,2023,51,KIROGI,2023-09-03 06:00:00,30.2,140.7,1002,1005.8206176757812,28.5,141.84850590687978,1001.9671020507812,29.0,138.0
2023241N10158,2023,51,KIROGI,2023-09-03 12:00:00,30.5,139.7,1002,1007.6687622070312,29.25,140.8478109798471,1003.8633422851562,29.5,136.5
2023241N10158,2023,51,KIROGI,2023-09-03 18:00:00,31.3,138.5,1002,1007.1478881835938,29.75,139.84711605281444,1003.1470947265625,30.5,134.5
2023241N10158,2023,51,KIROGI,2023-09-04 00:00:00,31.8,137.1,1002,1008.7777099609375,29.5,137.84572619874913,1004.953857421875,31.5,133.0
2023241N10158,2023,51,KIROGI,2023-09-04 06:00:00,31.7,135.8,1002,1007.98046875,29.25,136.09451007644196,1005.4057006835938,32.0,132.0
