SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022301N07140,2022,99,BANYAN,2022-10-28 06:00:00,6.8,140.4,1004,,6.8,140.4,1006.6732788085938,9.0,140.5
2022301N07140,2022,99,BANYAN,2022-10-28 12:00:00,7.8,140.3,1006,,7.8,140.3,1006.6732788085938,9.0,140.5
2022301N07140,2022,99,BANYAN,2022-10-28 18:00:00,8.4,140.1,1006,1003.484375,9.0,139.59694232105628,1004.2073364257812,9.0,139.5
2022301N07140,2022,99,BANYAN,2022-10-29 00:00:00,8.5,139.9,1008,1006.7298583984375,9.0,139.59694232105628,1006.9985961914062,9.0,139.5
2022301N07140,2022,99,BANYAN,2022-10-29 06:00:00,8.6,139.8,1004,1003.4703369140625,9.0,139.84711605281444,1003.6527099609375,8.5,140.5
2022301N07140,2022,99,BANYAN,2022-10-29 12:00:00,8.8,139.4,1008,1005.6620483398438,9.0,139.59694232105628,1004.8146362304688,9.0,140.0
2022301N07140,2022,99,BANYAN,2022-10-29 18:00:00,9.0,138.8,1004,1003.0657958984375,9.0,139.09659485753994,1002.4259643554688,8.5,139.5
2022301N07140,2022,99,BANYAN,2022-10-30 00:00:00,9.0,138.1,1004,1005.8303833007812,9.0,138.84642112578177,1004.5986938476562,9.0,139.0
2022301N07140,2022,99,BANYAN,2022-10-30 06:00:00,9.0,136.9,1004,1002.7457275390625,9.0,138.0958999305073,1001.2896118164062,8.5,138.0
2022301N07140,2022,99,BANYAN,2022-10-30 12:00:00,8.6,136.1,1004,1005.3472900390625,8.75,137.3453787352328,1003.2232055664062,8.5,137.0
2022301N07140,2022,99,BANYAN,2022-10-30 18:00:00,8.1,135.3,1002,1003.7703857421875,8.75,136.34468380820013,1000.6821899414062,9.0,136.0
2022301N07140,2022,99,BANYAN,2022-10-31 00:00:00,7.4,134.0,1002,1005.948974609375,8.75,135.34398888116746,1003.3789672851562,9.0,135.0
2022301N07140,2022,99,BANYAN,2022-10-31 06:00:00,7.2,132.6,1002,1003.1387329101562,8.75,134.3432939541348,1000.4190673828125,8.5,134.0
2022301N07140,2022,99,BANYAN,2022-10-31 12:00:00,7.1,131.8,1004,1005.625,9.0,133.092425295344,1002.7655639648438,8.5,133.0
2022301N07140,2022,99,BANYAN,2022-10-31 18:00:00,7.0,131.0,1004,1004.2171020507812,9.0,131.84155663655315,1000.7042236328125,8.5,132.0
2022301N07140,2022,99,BANYAN,2022-11-01 00:00:00,7.2,130.1,1006,1006.4904174804688,9.0,130.59068797776231,1003.775390625,8.5,131.0
2022301N07140,2022,99,BANYAN,2022-11-01 06:00:00,7.1,129.5,1006,1003.8897094726562,9.5,129.58999305072967,1001.5593872070312,9.0,130.5
2022301N07140,2022,99,BANYAN,2022-11-01 12:00:00,7.2,129.1,1008,1006.3076782226562,9.75,128.33912439193884,1002.35107421875,9.0,129.5
2022301N07140,2022,99,BANYAN,2022-11-01 18:00:00,7.6,128.9,1006,1005.047607421875,10.25,127.33842946490617,1001.58740234375,9.0,129.5
2022301N07140,2022,99,BANYAN,2022-11-02 00:00:00,7.6,128.4,1010,1007.1688232421875,11.0,126.08756080611535,1005.6924438476562,9.5,128.5
2022301N07140,2022,99,BANYAN,2022-11-02 06:00:00,7.3,128.0,1008,1005.7076416015625,11.5,125.0868658790827,1003.5567016601562,10.0,128.0
2022301N07140,2022,99,BANYAN,2022-11-02 12:00:00,7.0,127.5,1010,1008.013427734375,12.25,124.08617095205003,1005.3153686523438,10.0,127.5
2022301N07140,2022,99,BANYAN,2022-11-02 18:00:00,6.9,127.4,1008,1007.913330078125,13.25,123.08547602501736,1004.4056396484375,10.5,127.5
2022301N07140,2022,99,BANYAN,2022-11-03 00:00:00,6.7,127.4,1010,1009.8579711914062,14.25,122.33495482974287,1007.8760375976562,11.5,127.5
2022299N11134,2022,98,NALGAE,2022-10-28 06:00:00,12.2,126.7,990,,12.2,126.7,992.82080078125,13.0,125.0
2022299N11134,2022,98,NALGAE,2022-10-28 12:00:00,13.1,125.4,990,,13.1,125.4,992.82080078125,13.0,125.0
2022299N11134,2022,98,NALGAE,2022-10-28 18:00:00,13.5,123.9,985,990.3844604492188,13.0,123.33564975677552,990.372314453125,14.0,123.5
2022299N11134,2022,98,NALGAE,2022-10-29 00:00:00,13.7,122.4,985,991.8851318359375,13.5,122.58512856150104,991.4885864257812,13.5,122.0
2022299N11134,2022,98,NALGAE,2022-10-29 06:00:00,13.9,121.8,985,988.6847534179688,14.0,122.0847810979847,988.0752563476562,14.0,122.0
2022299N11134,2022,98,NALGAE,2022-10-29 12:00:00,14.6,121.1,985,991.462646484375,14.5,121.08408617095205,988.2271118164062,14.5,120.0
