SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022264N17132,2022,76,NORU,2022-09-21 06:00:00,17.4,133.0,1004,,17.4,133.0,1007.4320068359375,18.5,133.0
2022264N17132,2022,76,NORU,2022-09-21 12:00:00,17.5,133.7,1006,,17.5,133.7,1007.4320068359375,18.5,133.0
2022264N17132,2022,76,NORU,2022-09-21 18:00:00,17.7,134.2,1004,1005.859375,17.5,134.3432939541348,1005.9310302734375,17.5,134.5
2022264N17132,2022,76,NORU,2022-09-22 00:00:00,17.7,134.5,1004,1007.5823364257812,17.25,135.0938151494093,1006.9844360351562,17.5,135.0
2022264N17132,2022,76,NORU,2022-09-22 06:00:00,17.9,134.4,1002,1004.942626953125,17.25,135.34398888116746,1004.0716552734375,17.5,135.5
2022264N17132,2022,76,NORU,2022-09-22 12:00:00,18.0,134.1,1002,1006.7090454101562,17.25,135.59416261292563,1006.015625,17.5,135.5
2022264N17132,2022,76,NORU,2022-09-22 18:00:00,18.0,133.4,1000,1004.802978515625,17.25,135.59416261292563,1003.818359375,18.0,135.0
2022264N17132,2022,76,NORU,2022-09-23 00:00:00,17.7,132.4,1000,1006.183349609375,17.5,134.84364141765113,1005.2003173828125,18.0,134.5
2022264N17132,2022,76,NORU,2022-09-23 06:00:00,17.6,131.3,998,1003.9238891601562,17.5,134.59346768589296,1002.3958740234375,17.5,133.5
2022264N17132,2022,76,NORU,2022-09-23 12:00:00,17.4,130.5,994,1005.3887329101562,17.5,133.59277275886032,1004.0603637695312,17.5,133.0
2022264N17132,2022,76,NORU,2022-09-23 18:00:00,17.0,129.4,992,1003.5233764648438,17.5,131.84155663655315,1002.1617431640625,18.0,131.5
2022264N17132,2022,76,NORU,2022-09-24 00:00:00,16.3,128.1,985,1004.6749877929688,17.75,130.84086170952048,1004.0982055664062,17.5,130.0
2022264N17132,2022,76,NORU,2022-09-24 06:00:00,15.8,126.9,975,1003.0223388671875,17.75,129.58999305072967,1001.5614624023438,17.5,128.5
2022264N17132,2022,76,NORU,2022-09-24 12:00:00,15.5,126.0,960,1004.4716186523438,17.75,127.8387769284225,1003.91064453125,17.0,127.5
2022264N17132,2022,76,NORU,2022-09-24 18:00:00,15.2,124.7,950,1003.8441162109375,17.75,126.33773453787352,1002.9652099609375,17.5,126.5
2022264N17132,2022,76,NORU,2022-09-25 00:00:00,15.0,123.6,940,1005.0431518554688,18.0,124.83669214732453,1005.0602416992188,16.5,124.5
2022264N17132,2022,76,NORU,2022-09-25 06:00:00,15.0,122.5,940,1004.273193359375,18.0,123.33564975677552,1003.5396118164062,17.0,123.5
2022264N17132,2022,76,NORU,2022-09-25 12:00:00,15.2,121.4,955,1005.4832763671875,18.25,120.33356497567755,1005.7193603515625,17.0,123.0
2022264N17132,2022,76,NORU,2022-09-25 18:00:00,15.5,119.9,970,1004.4238891601562,18.25,119.83321751216121,1005.10693359375,14.5,120.0
2022264N17132,2022,76,NORU,2022-09-26 00:00:00,16.0,118.4,975,1005.2659301757812,18.25,117.58165392633772,1005.7605590820312,18.0,118.0
2022264N17132,2022,76,NORU,2022-09-26 06:00:00,15.9,116.9,980,1004.1845092773438,18.25,115.83043780403057,1003.5513305664062,18.0,116.0
2022264N17132,2022,76,NORU,2022-09-26 12:00:00,15.9,115.5,970,1004.243896484375,18.25,113.82904794996524,1003.599853515625,18.0,114.0
2022264N17132,2022,76,NORU,2022-09-26 18:00:00,15.8,113.6,965,1003.977294921875,18.25,112.32800555941625,1001.9564819335938,18.0,112.0
2022264N17132,2022,76,NORU,2022-09-27 00:00:00,15.5,112.1,950,1004.2086181640625,18.25,110.82696316886727,1002.9375610351562,18.5,110.0
2022264N17132,2022,76,NORU,2022-09-27 06:00:00,15.6,111.2,950,1004.4722900390625,18.25,110.07644197359276,1001.197998046875,18.5,108.0
2022264N17132,2022,76,NORU,2022-09-27 12:00:00,15.8,110.0,950,1004.67041015625,17.5,110.07644197359276,1000.609375,18.0,107.0
2022263N18137,2022,74,TALAS,2022-09-21 06:00:00,23.7,140.9,1006,,23.7,140.9,1005.8245239257812,24.0,139.5
2022263N18137,2022,74,TALAS,2022-09-21 12:00:00,24.4,139.7,1004,,24.4,139.7,1005.8245239257812,24.0,139.5
2022263N18137,2022,74,TALAS,2022-09-21 18:00:00,25.2,138.4,1004,1004.4371337890625,25.25,138.34607366226544,1004.3185424804688,25.0,138.5
2022263N18137,2022,74,TALAS,2022-09-22 00:00:00,26.0,137.4,1002,1005.70556640625,25.75,137.3453787352328,1005.2869262695312,26.0,137.5
2022263N18137,2022,74,TALAS,2022-09-22 06:00:00,26.9,136.5,1002,1003.720458984375,26.75,136.09451007644196,1003.3441162109375,27.5,136.5
2022263N18137,2022,74,TALAS,2022-09-22 12:00:00,28.1,135.6,1002,1005.8164672851562,27.75,135.0938151494093,1005.130615234375,28.0,135.0
2022263N18137,2022,74,TALAS,2022-09-22 18:00:00,29.5,135.0,1002,1005.0885009765625,29.25,134.09312022237663,1003.7408447265625,29.5,135.0
2022263N18137,2022,74,TALAS,2022-09-23 00:00:00,30.8,134.8,1000,1006.6111450195312,31.0,134.09312022237663,1005.247802734375,31.0,134.5
2022263N18137,2022,74,TALAS,2022-09-23 06:00:00,32.0,135.4,1000,1005.7162475585938,32.75,134.3432939541348,1004.0033569335938,32.5,134.5
2022263N18137,2022,74,TALAS,2022-09-23 12:00:00,32.7,136.5,1004,1008.5261840820312,33.25,135.34398888116746,1006.1029052734375,33.0,135.5
2022263N18137,2022,74,TALAS,2022-09-23 18:00:00,33.3,137.4,1004,1008.7777099609375,33.25,136.09451007644196,1006.0917358398438,34.0,136.5
2022263N18137,2022,74,TALAS,2022-09-24 00:00:00,33.8,138.2,1006,1010.80126953125,33.25,137.09520500347463,1008.7706909179688,34.5,138.0
2022263N18137,2022,74,TALAS,2022-09-24 06:00:00,34.4,139.2,1006,1010.1436767578125,34.5,137.84572619874913,1006.81396484375,34.5,138.5
2022263N18137,2022,74,TALAS,2022-09-24 12:00:00,34.5,140.0,1010,1012.0379028320312,34.75,138.5962473940236,1008.693115234375,34.5,138.5
2022263N18137,2022,74,TALAS,2022-09-24 18:00:00,34.6,141.4,1010,1012.5925903320312,34.75,138.5962473940236,1009.520263671875,34.5,140.0
2022263N18137,2022,74,TALAS,2022-09-25 00:00:00,34.9,142.2,1012,1015.0452270507812,31.5,136.5948575399583,1012.960205078125,34.0,140.5
2022263N18137,2022,74,TALAS,2022-09-25 06:00:00,35.3,142.8,1012,1012.8658447265625,27.5,133.092425295344,1012.7496337890625,33.0,140.0
2022263N18137,2022,74,TALAS,2022-09-25 12:00:00,35.7,143.2,1014,1012.0884399414062,23.5,129.58999305072967,1015.00439453125,30.5,138.0
2022263N18137,2022,74,TALAS,2022-09-25 18:00:00,36.4,143.5,1014,1008.3218994140625,19.5,126.08756080611535,1011.814453125,26.5,138.5
2022263N18137,2022,74,TALAS,2022-09-26 00:00:00,37.0,143.9,1014,1007.690185546875,15.5,122.8353022932592,1010.4280395507812,22.5,142.5
2022263N18137,2022,74,TALAS,2022-09-26 06:00:00,37.7,144.6,1012,1006.0145874023438,14.25,123.33564975677552,1005.8688354492188,18.5,138.5
2022263N18137,2022,74,TALAS,2022-09-26 12:00:00,38.1,145.4,1012,1007.5667114257812,14.25,120.08339124391938,1005.0323486328125,16.5,137.0
2022263N18137,2022,74,TALAS,2022-09-26 18:00:00,38.3,146.1,1012,1005.6104736328125,16.25,116.58095899930507,1001.9989624023438,17.5,136.5
2022263N18137,2022,74,TALAS,2022-09-27 00:00:00,38.9,147.8,1012,1005.9894409179688,17.0,113.07852675469076,1003.41259765625,18.0,136.0
2022263N18137,2022,74,TALAS,2022-09-27 06:00:00,39.1,148.1,1010,1004.4722900390625,18.25,110.07644197359276,1001.2329711914062,18.5,135.5
2022263N18137,2022,74,TALAS,2022-09-27 12:00:00,39.5,148.1,1012,1004.67041015625,17.5,110.07644197359276,1001.974365234375,19.5,135.5
