SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015226N15164,2015,61,ATSANI,2015-08-16 00:00:00,14.6,160.9,982.0
2015226N15164,2015,61,ATSANI,2015-08-16 06:00:00,14.5,160.4,978.0
2015226N15164,2015,61,ATSANI,2015-08-16 12:00:00,14.4,160.0,974.0
2015226N15164,2015,61,ATSANI,2015-08-16 18:00:00,14.3,159.6,970.0
2015226N15164,2015,61,ATSANI,2015-08-17 00:00:00,14.5,159.1,963.0
2015226N15164,2015,61,ATSANI,2015-08-17 06:00:00,14.7,158.5,952.0
2015226N15164,2015,61,ATSANI,2015-08-17 12:00:00,15.1,158.0,944.0
2015226N15164,2015,61,ATSANI,2015-08-17 18:00:00,15.7,157.0,941.0
2015226N15164,2015,61,ATSANI,2015-08-18 00:00:00,15.9,156.2,937.0
2015226N15164,2015,61,ATSANI,2015-08-18 06:00:00,16.3,155.5,933.0
2015226N15164,2015,61,ATSANI,2015-08-18 12:00:00,17.0,154.9,933.0
2015226N15164,2015,61,ATSANI,2015-08-18 18:00:00,17.9,153.8,929.0
2015226N15164,2015,61,ATSANI,2015-08-19 00:00:00,18.7,152.9,926.0
2015226N15164,2015,61,ATSANI,2015-08-19 06:00:00,19.1,151.9,922.0
2015226N15164,2015,61,ATSANI,2015-08-19 12:00:00,19.7,151.3,918.0
2015226N15164,2015,61,ATSANI,2015-08-19 18:00:00,20.4,150.4,922.0
2015226N15164,2015,61,ATSANI,2015-08-20 00:00:00,21.2,149.5,926.0
2015226N15164,2015,61,ATSANI,2015-08-20 06:00:00,22.0,148.6,926.0
2015226N15164,2015,61,ATSANI,2015-08-20 12:00:00,22.6,147.8,933.0
2015226N15164,2015,61,ATSANI,2015-08-20 18:00:00,23.3,147.1,937.0
2015226N15164,2015,61,ATSANI,2015-08-21 00:00:00,24.1,146.5,941.0
2015226N15164,2015,61,ATSANI,2015-08-21 06:00:00,25.0,146.0,944.0
2015226N15164,2015,61,ATSANI,2015-08-21 12:00:00,25.6,145.5,956.0
2015226N15164,2015,61,ATSANI,2015-08-21 18:00:00,26.4,145.2,963.0
2015226N15164,2015,61,ATSANI,2015-08-22 00:00:00,27.0,144.9,963.0
2015226N15164,2015,61,ATSANI,2015-08-22 06:00:00,27.6,145.0,963.0
2015226N15164,2015,61,ATSANI,2015-08-22 12:00:00,28.3,145.1,963.0
2015226N15164,2015,61,ATSANI,2015-08-22 18:00:00,29.0,145.2,963.0
2015226N15164,2015,61,ATSANI,2015-08-23 00:00:00,29.6,145.5,963.0
2015226N15164,2015,61,ATSANI,2015-08-23 06:00:00,30.0,146.0,963.0
2015226N15164,2015,61,ATSANI,2015-08-23 12:00:00,30.6,146.7,967.0
2015226N15164,2015,61,ATSANI,2015-08-23 18:00:00,31.3,147.4,970.0
