SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015127N04158,2015,28,DOLPHIN,2015-05-14 00:00:00,11.5,152.2,956.0
2015127N04158,2015,28,DOLPHIN,2015-05-14 06:00:00,12.0,151.1,959.0
2015127N04158,2015,28,DOLPHIN,2015-05-14 12:00:00,12.4,149.7,959.0
2015127N04158,2015,28,DOLPHIN,2015-05-14 18:00:00,12.7,148.3,959.0
2015127N04158,2015,28,DOLPHIN,2015-05-15 00:00:00,13.3,146.9,956.0
2015127N04158,2015,28,DOLPHIN,2015-05-15 06:00:00,13.6,145.6,952.0
2015127N04158,2015,28,DOLPHIN,2015-05-15 12:00:00,14.1,144.6,948.0
2015127N04158,2015,28,DOLPHIN,2015-05-15 18:00:00,14.8,143.5,941.0
2015127N04158,2015,28,DOLPHIN,2015-05-16 00:00:00,15.2,142.4,933.0
2015127N04158,2015,28,DOLPHIN,2015-05-16 06:00:00,15.8,141.5,922.0
2015127N04158,2015,28,DOLPHIN,2015-05-16 12:00:00,16.5,140.6,918.0
2015127N04158,2015,28,DOLPHIN,2015-05-16 18:00:00,17.2,139.8,922.0
2015127N04158,2015,28,DOLPHIN,2015-05-17 00:00:00,17.8,139.1,926.0
2015127N04158,2015,28,DOLPHIN,2015-05-17 06:00:00,18.6,138.7,929.0
2015127N04158,2015,28,DOLPHIN,2015-05-17 12:00:00,19.3,138.5,933.0
2015127N04158,2015,28,DOLPHIN,2015-05-17 18:00:00,20.1,138.4,937.0
2015127N04158,2015,28,DOLPHIN,2015-05-18 00:00:00,20.8,138.4,941.0
2015127N04158,2015,28,DOLPHIN,2015-05-18 06:00:00,21.5,138.4,948.0
2015127N04158,2015,28,DOLPHIN,2015-05-18 12:00:00,22.3,138.6,956.0
2015127N04158,2015,28,DOLPHIN,2015-05-18 18:00:00,23.1,138.9,963.0
2015127N04158,2015,28,DOLPHIN,2015-05-19 00:00:00,23.8,139.3,970.0
2015127N04158,2015,28,DOLPHIN,2015-05-19 06:00:00,24.6,139.9,974.0
2015127N04158,2015,28,DOLPHIN,2015-05-19 12:00:00,25.6,141.0,982.0
2015127N04158,2015,28,DOLPHIN,2015-05-19 18:00:00,26.8,142.2,985.0
2015127N04158,2015,28,DOLPHIN,2015-05-20 00:00:00,28.2,143.9,985.0
2015127N04158,2015,28,DOLPHIN,2015-05-20 06:00:00,30.1,145.9,989.0
2015127N04158,2015,28,DOLPHIN,2015-05-20 12:00:00,32.8,148.2,989.0
