SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2014204N10239,2014,45,GENEVIEVE,2014-08-06 06:00:00,12.0,185.1,997.0
2014204N10239,2014,45,GENEVIEVE,2014-08-06 12:00:00,12.5,183.8,990.0
2014204N10239,2014,45,GENEVIEVE,2014-08-06 18:00:00,13.1,182.3,980.0
2014204N10239,2014,45,GENEVIEVE,2014-08-07 00:00:00,13.8,180.9,965.0
2014204N10239,2014,45,GENEVIEVE,2014-08-07 06:00:00,14.5,179.9,926.0
2014204N10239,2014,45,GENEVIEVE,2014-08-07 12:00:00,15.1,178.7,918.0
2014204N10239,2014,45,GENEVIEVE,2014-08-07 18:00:00,15.7,177.5,918.0
2014204N10239,2014,45,GENEVIEVE,2014-08-08 00:00:00,16.2,176.6,918.0
2014204N10239,2014,45,GENEVIEVE,2014-08-08 06:00:00,16.9,176.0,922.0
2014204N10239,2014,45,GENEVIEVE,2014-08-08 12:00:00,17.6,175.9,926.0
2014204N10239,2014,45,GENEVIEVE,2014-08-08 18:00:00,18.5,176.0,929.0
2014204N10239,2014,45,GENEVIEVE,2014-08-09 00:00:00,19.6,176.4,933.0
2014204N10239,2014,45,GENEVIEVE,2014-08-09 06:00:00,21.2,176.8,937.0
2014204N10239,2014,45,GENEVIEVE,2014-08-09 12:00:00,22.9,177.2,944.0
2014204N10239,2014,45,GENEVIEVE,2014-08-09 18:00:00,24.6,176.9,948.0
2014204N10239,2014,45,GENEVIEVE,2014-08-10 00:00:00,26.6,176.1,952.0
2014204N10239,2014,45,GENEVIEVE,2014-08-10 06:00:00,28.5,175.1,959.0
2014204N10239,2014,45,GENEVIEVE,2014-08-10 12:00:00,30.4,173.6,963.0
2014204N10239,2014,45,GENEVIEVE,2014-08-10 18:00:00,31.7,171.9,970.0
2014204N10239,2014,45,GENEVIEVE,2014-08-11 00:00:00,32.9,170.3,978.0
2014204N10239,2014,45,GENEVIEVE,2014-08-11 06:00:00,33.9,169.2,985.0
2014204N10239,2014,45,GENEVIEVE,2014-08-11 12:00:00,34.4,168.3,993.0
2014204N10239,2014,45,GENEVIEVE,2014-08-11 18:00:00,34.7,167.4,996.0
2014204N10239,2014,45,GENEVIEVE,2014-08-12 00:00:00,35.0,166.7,996.0
2014204N10239,2014,45,GENEVIEVE,2014-08-12 06:00:00,35.2,166.1,996.0
