SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018213N12245,2018,51,HECTOR,2018-08-04 12:00:00,14.2,227.8,961.0
2018213N12245,2018,51,HECTOR,2018-08-04 18:00:00,14.2,226.9,957.0
2018213N12245,2018,51,HECTOR,2018-08-05 00:00:00,14.3,225.9,957.0
2018213N12245,2018,51,HECTOR,2018-08-05 06:00:00,14.3,224.8,957.0
2018213N12245,2018,51,HECTOR,2018-08-05 12:00:00,14.3,223.7,956.0
2018213N12245,2018,51,HECTOR,2018-08-05 18:00:00,14.3,222.6,951.0
2018213N12245,2018,51,HECTOR,2018-08-06 00:00:00,14.5,221.4,947.0
2018213N12245,2018,51,HECTOR,2018-08-06 06:00:00,14.7,220.1,944.0
2018213N12245,2018,51,HECTOR,2018-08-06 12:00:00,14.9,218.7,939.0
2018213N12245,2018,51,HECTOR,2018-08-06 18:00:00,15.1,217.5,936.0
2018213N12245,2018,51,HECTOR,2018-08-07 00:00:00,15.5,216.0,936.0
2018213N12245,2018,51,HECTOR,2018-08-07 06:00:00,15.7,214.4,939.0
2018213N12245,2018,51,HECTOR,2018-08-07 12:00:00,16.0,213.0,948.0
2018213N12245,2018,51,HECTOR,2018-08-07 18:00:00,16.2,211.6,948.0
2018213N12245,2018,51,HECTOR,2018-08-08 00:00:00,16.4,210.0,952.0
2018213N12245,2018,51,HECTOR,2018-08-08 06:00:00,16.4,208.4,952.0
2018213N12245,2018,51,HECTOR,2018-08-08 12:00:00,16.4,206.8,956.0
2018213N12245,2018,51,HECTOR,2018-08-08 18:00:00,16.4,205.4,959.0
2018213N12245,2018,51,HECTOR,2018-08-09 00:00:00,16.5,203.9,959.0
2018213N12245,2018,51,HECTOR,2018-08-09 06:00:00,16.6,202.3,959.0
2018213N12245,2018,51,HECTOR,2018-08-09 12:00:00,16.6,200.7,957.0
2018213N12245,2018,51,HECTOR,2018-08-09 18:00:00,16.7,199.2,957.0
2018213N12245,2018,51,HECTOR,2018-08-10 00:00:00,16.9,197.7,956.0
2018213N12245,2018,51,HECTOR,2018-08-10 06:00:00,17.2,196.3,951.0
