SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015038N08158,2015,9,HIGOS,2015-02-08 06:00:00,12.1,157.1,985.0
2015038N08158,2015,9,HIGOS,2015-02-08 12:00:00,12.1,156.9,982.0
2015038N08158,2015,9,HIGOS,2015-02-08 18:00:00,12.1,156.7,978.0
2015038N08158,2015,9,HIGOS,2015-02-09 00:00:00,12.2,156.5,974.0
2015038N08158,2015,9,HIGOS,2015-02-09 06:00:00,12.4,156.1,970.0
2015038N08158,2015,9,HIGOS,2015-02-09 12:00:00,12.6,155.7,967.0
2015038N08158,2015,9,HIGOS,2015-02-09 18:00:00,13.0,155.2,959.0
2015038N08158,2015,9,HIGOS,2015-02-10 00:00:00,13.6,154.7,948.0
2015038N08158,2015,9,HIGOS,2015-02-10 06:00:00,14.2,154.2,926.0
2015038N08158,2015,9,HIGOS,2015-02-10 12:00:00,14.7,154.0,941.0
2015038N08158,2015,9,HIGOS,2015-02-10 18:00:00,15.1,153.6,959.0
2015038N08158,2015,9,HIGOS,2015-02-11 00:00:00,15.3,153.2,974.0
2015038N08158,2015,9,HIGOS,2015-02-11 06:00:00,15.6,152.8,989.0
