SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2023207N09141,2023,34,KHANUN,2023-07-29 12:00:00,16.9,133.4,990.0
2023207N09141,2023,34,KHANUN,2023-07-29 18:00:00,17.7,133.1,988.0
2023207N09141,2023,34,KHANUN,2023-07-30 00:00:00,18.7,132.8,984.0
2023207N09141,2023,34,KHANUN,2023-07-30 06:00:00,19.7,132.6,978.0
2023207N09141,2023,34,KHANUN,2023-07-30 12:00:00,20.3,132.4,964.0
2023207N09141,2023,34,KHANUN,2023-07-30 18:00:00,21.1,132.2,950.0
2023207N09141,2023,34,KHANUN,2023-07-31 00:00:00,22.0,132.0,949.0
2023207N09141,2023,34,KHANUN,2023-07-31 06:00:00,22.8,131.5,945.0
2023207N09141,2023,34,KHANUN,2023-07-31 12:00:00,23.4,131.0,940.0
2023207N09141,2023,34,KHANUN,2023-07-31 18:00:00,24.1,130.3,937.0
2023207N09141,2023,34,KHANUN,2023-08-01 00:00:00,24.6,129.4,931.0
2023207N09141,2023,34,KHANUN,2023-08-01 06:00:00,25.0,128.7,924.0
2023207N09141,2023,34,KHANUN,2023-08-01 12:00:00,25.3,128.0,927.0
2023207N09141,2023,34,KHANUN,2023-08-01 18:00:00,25.5,127.4,935.0
2023207N09141,2023,34,KHANUN,2023-08-02 00:00:00,25.8,126.9,941.0
2023207N09141,2023,34,KHANUN,2023-08-02 06:00:00,26.1,126.1,942.0
2023207N09141,2023,34,KHANUN,2023-08-02 12:00:00,26.2,125.6,943.0
2023207N09141,2023,34,KHANUN,2023-08-02 18:00:00,26.5,125.0,943.0
2023207N09141,2023,34,KHANUN,2023-08-03 00:00:00,26.6,124.7,947.0
2023207N09141,2023,34,KHANUN,2023-08-03 06:00:00,26.7,124.3,950.0
2023207N09141,2023,34,KHANUN,2023-08-03 12:00:00,26.7,124.2,953.0
2023207N09141,2023,34,KHANUN,2023-08-03 18:00:00,26.9,124.3,967.0
2023207N09141,2023,34,KHANUN,2023-08-04 00:00:00,27.0,124.5,971.0
2023207N09141,2023,34,KHANUN,2023-08-04 06:00:00,27.2,125.1,972.0
2023207N09141,2023,34,KHANUN,2023-08-04 12:00:00,27.5,125.7,974.0
2023207N09141,2023,34,KHANUN,2023-08-04 18:00:00,27.7,126.4,975.0
