SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2016230N25160,2016,50,LIONROCK,2016-08-25 18:00:00,23.1,130.6,952.0
2016230N25160,2016,50,LIONROCK,2016-08-26 00:00:00,23.2,131.0,952.0
2016230N25160,2016,50,LIONROCK,2016-08-26 06:00:00,23.1,131.3,952.0
2016230N25160,2016,50,LIONROCK,2016-08-26 12:00:00,23.2,132.2,956.0
2016230N25160,2016,50,LIONROCK,2016-08-26 18:00:00,23.5,132.5,956.0
2016230N25160,2016,50,LIONROCK,2016-08-27 00:00:00,23.7,133.1,948.0
2016230N25160,2016,50,LIONROCK,2016-08-27 06:00:00,24.0,133.8,944.0
2016230N25160,2016,50,LIONROCK,2016-08-27 12:00:00,24.5,134.6,941.0
2016230N25160,2016,50,LIONROCK,2016-08-27 18:00:00,25.1,135.6,937.0
2016230N25160,2016,50,LIONROCK,2016-08-28 00:00:00,26.1,136.6,933.0
2016230N25160,2016,50,LIONROCK,2016-08-28 06:00:00,27.7,137.9,933.0
2016230N25160,2016,50,LIONROCK,2016-08-28 12:00:00,28.5,138.8,937.0
2016230N25160,2016,50,LIONROCK,2016-08-28 18:00:00,29.4,140.5,948.0
2016230N25160,2016,50,LIONROCK,2016-08-29 00:00:00,30.5,141.7,959.0
2016230N25160,2016,50,LIONROCK,2016-08-29 06:00:00,31.4,142.7,970.0
2016230N25160,2016,50,LIONROCK,2016-08-29 12:00:00,32.6,143.4,974.0
2016230N25160,2016,50,LIONROCK,2016-08-29 18:00:00,34.0,143.6,974.0
2016230N25160,2016,50,LIONROCK,2016-08-30 00:00:00,35.9,142.6,974.0
2016230N25160,2016,50,LIONROCK,2016-08-30 06:00:00,37.8,142.0,978.0
2016230N25160,2016,50,LIONROCK,2016-08-30 12:00:00,41.2,140.0,978.0
