SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2024314N14160,2024,84,MAN-YI,2024-11-14 06:00:00,10.6,136.6,996.0
2024314N14160,2024,84,MAN-YI,2024-11-14 12:00:00,10.6,135.0,993.0
2024314N14160,2024,84,MAN-YI,2024-11-14 18:00:00,10.5,133.5,985.0
2024314N14160,2024,84,MAN-YI,2024-11-15 00:00:00,10.5,132.0,976.0
2024314N14160,2024,84,MAN-YI,2024-11-15 06:00:00,10.9,130.4,972.0
2024314N14160,2024,84,MAN-YI,2024-11-15 12:00:00,11.5,129.0,963.0
2024314N14160,2024,84,MAN-YI,2024-11-15 18:00:00,12.0,127.8,952.0
2024314N14160,2024,84,MAN-YI,2024-11-16 00:00:00,12.5,126.7,934.0
2024314N14160,2024,84,MAN-YI,2024-11-16 06:00:00,13.2,125.6,923.0
2024314N14160,2024,84,MAN-YI,2024-11-16 12:00:00,13.9,124.5,921.0
2024314N14160,2024,84,MAN-YI,2024-11-16 18:00:00,14.3,123.8,941.0
2024314N14160,2024,84,MAN-YI,2024-11-17 00:00:00,15.0,122.9,941.0
2024314N14160,2024,84,MAN-YI,2024-11-17 06:00:00,15.8,121.9,933.0
2024314N14160,2024,84,MAN-YI,2024-11-17 12:00:00,16.6,120.7,968.0
2024314N14160,2024,84,MAN-YI,2024-11-17 18:00:00,17.7,119.4,981.0
2024314N14160,2024,84,MAN-YI,2024-11-18 00:00:00,18.0,118.1,988.0
2024314N14160,2024,84,MAN-YI,2024-11-18 06:00:00,18.4,116.8,994.0
2024314N14160,2024,84,MAN-YI,2024-11-18 12:00:00,18.6,115.9,993.0
2024314N14160,2024,84,MAN-YI,2024-11-18 18:00:00,18.5,115.2,996.0
