SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2009272N07164,2009,77,MELOR,2009-09-29 18:00:00,10.9,156.8,996.0
2009272N07164,2009,77,MELOR,2009-09-30 00:00:00,11.6,156.0,993.0
2009272N07164,2009,77,MELOR,2009-09-30 06:00:00,12.6,154.8,989.0
2009272N07164,2009,77,MELOR,2009-09-30 12:00:00,12.9,154.0,982.0
2009272N07164,2009,77,MELOR,2009-09-30 18:00:00,13.1,153.5,978.0
2009272N07164,2009,77,MELOR,2009-10-01 00:00:00,13.6,153.2,970.0
2009272N07164,2009,77,MELOR,2009-10-01 06:00:00,13.9,152.5,944.0
2009272N07164,2009,77,MELOR,2009-10-01 12:00:00,14.1,152.0,937.0
2009272N07164,2009,77,MELOR,2009-10-01 18:00:00,14.1,151.4,937.0
2009272N07164,2009,77,MELOR,2009-10-02 00:00:00,14.3,151.1,937.0
2009272N07164,2009,77,MELOR,2009-10-02 06:00:00,14.5,150.6,937.0
2009272N07164,2009,77,MELOR,2009-10-02 12:00:00,15.0,149.8,937.0
2009272N07164,2009,77,MELOR,2009-10-02 18:00:00,15.4,148.8,937.0
2009272N07164,2009,77,MELOR,2009-10-03 00:00:00,15.6,147.8,937.0
2009272N07164,2009,77,MELOR,2009-10-03 06:00:00,16.2,146.8,937.0
2009272N07164,2009,77,MELOR,2009-10-03 12:00:00,16.5,145.2,933.0
2009272N07164,2009,77,MELOR,2009-10-03 18:00:00,16.5,143.7,926.0
2009272N07164,2009,77,MELOR,2009-10-04 00:00:00,16.6,142.3,914.0
2009272N07164,2009,77,MELOR,2009-10-04 06:00:00,17.0,140.9,911.0
2009272N07164,2009,77,MELOR,2009-10-04 12:00:00,17.5,139.4,911.0
2009272N07164,2009,77,MELOR,2009-10-04 18:00:00,17.9,137.6,911.0
2009272N07164,2009,77,MELOR,2009-10-05 00:00:00,18.5,136.3,918.0
2009272N07164,2009,77,MELOR,2009-10-05 06:00:00,19.2,134.8,918.0
2009272N07164,2009,77,MELOR,2009-10-05 12:00:00,20.0,133.6,922.0
2009272N07164,2009,77,MELOR,2009-10-05 18:00:00,21.2,132.5,926.0
2009272N07164,2009,77,MELOR,2009-10-06 00:00:00,22.5,131.7,933.0
2009272N07164,2009,77,MELOR,2009-10-06 06:00:00,23.9,131.0,936.0
2009272N07164,2009,77,MELOR,2009-10-06 12:00:00,25.1,130.7,944.0
2009272N07164,2009,77,MELOR,2009-10-06 18:00:00,26.6,130.8,952.0
2009272N07164,2009,77,MELOR,2009-10-07 00:00:00,28.2,131.5,952.0
2009272N07164,2009,77,MELOR,2009-10-07 06:00:00,29.8,132.5,963.0
2009272N07164,2009,77,MELOR,2009-10-07 12:00:00,31.6,134.5,967.0
2009272N07164,2009,77,MELOR,2009-10-07 18:00:00,34.0,136.6,974.0
2009272N07164,2009,77,MELOR,2009-10-08 00:00:00,36.1,138.6,982.0
2009272N07164,2009,77,MELOR,2009-10-08 06:00:00,38.3,141.1,989.0
2009272N07164,2009,77,MELOR,2009-10-08 12:00:00,39.8,143.5,989.0
2009272N07164,2009,77,MELOR,2009-10-08 18:00:00,41.1,145.5,989.0
2009272N07164,2009,77,MELOR,2009-10-09 00:00:00,42.2,147.7,989.0
