SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2021265N11150,2021,81,MINDULLE,2021-09-24 06:00:00,15.2,140.3,997.0
2021265N11150,2021,81,MINDULLE,2021-09-24 12:00:00,15.9,139.3,994.0
2021265N11150,2021,81,MINDULLE,2021-09-24 18:00:00,16.6,138.6,983.0
2021265N11150,2021,81,MINDULLE,2021-09-25 00:00:00,17.1,138.1,974.0
2021265N11150,2021,81,MINDULLE,2021-09-25 06:00:00,17.6,137.7,965.0
2021265N11150,2021,81,MINDULLE,2021-09-25 12:00:00,18.1,137.4,944.0
2021265N11150,2021,81,MINDULLE,2021-09-25 18:00:00,18.5,137.1,933.0
2021265N11150,2021,81,MINDULLE,2021-09-26 00:00:00,18.6,136.8,916.0
2021265N11150,2021,81,MINDULLE,2021-09-26 06:00:00,18.8,136.7,919.0
2021265N11150,2021,81,MINDULLE,2021-09-26 12:00:00,19.0,136.7,928.0
2021265N11150,2021,81,MINDULLE,2021-09-26 18:00:00,19.4,136.7,949.0
2021265N11150,2021,81,MINDULLE,2021-09-27 00:00:00,19.6,136.7,956.0
2021265N11150,2021,81,MINDULLE,2021-09-27 06:00:00,19.9,136.6,959.0
2021265N11150,2021,81,MINDULLE,2021-09-27 12:00:00,20.2,136.4,965.0
2021265N11150,2021,81,MINDULLE,2021-09-27 18:00:00,20.5,136.3,961.0
2021265N11150,2021,81,MINDULLE,2021-09-28 00:00:00,21.0,136.2,953.0
2021265N11150,2021,81,MINDULLE,2021-09-28 06:00:00,21.6,135.7,954.0
2021265N11150,2021,81,MINDULLE,2021-09-28 12:00:00,22.0,135.4,945.0
2021265N11150,2021,81,MINDULLE,2021-09-28 18:00:00,22.6,135.5,935.0
2021265N11150,2021,81,MINDULLE,2021-09-29 00:00:00,23.4,135.4,928.0
2021265N11150,2021,81,MINDULLE,2021-09-29 06:00:00,24.2,135.3,933.0
2021265N11150,2021,81,MINDULLE,2021-09-29 12:00:00,25.0,135.6,937.0
2021265N11150,2021,81,MINDULLE,2021-09-29 18:00:00,25.9,135.9,940.0
2021265N11150,2021,81,MINDULLE,2021-09-30 00:00:00,26.7,136.4,949.0
2021265N11150,2021,81,MINDULLE,2021-09-30 06:00:00,28.0,137.3,956.0
2021265N11150,2021,81,MINDULLE,2021-09-30 12:00:00,29.2,138.1,958.0
2021265N11150,2021,81,MINDULLE,2021-09-30 18:00:00,30.4,139.2,958.0
2021265N11150,2021,81,MINDULLE,2021-10-01 00:00:00,32.0,140.9,961.0
2021265N11150,2021,81,MINDULLE,2021-10-01 06:00:00,33.7,142.3,964.0
2021265N11150,2021,81,MINDULLE,2021-10-01 12:00:00,35.6,143.9,972.0
2021265N11150,2021,81,MINDULLE,2021-10-01 18:00:00,37.3,145.6,965.0
2021265N11150,2021,81,MINDULLE,2021-10-02 00:00:00,39.5,147.7,974.0
2021265N11150,2021,81,MINDULLE,2021-10-02 06:00:00,41.6,150.1,983.0
