SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2011270N18139,2011,74,NALGAE,2011-09-28 12:00:00,18.8,135.8,985.0
2011270N18139,2011,74,NALGAE,2011-09-28 18:00:00,18.4,135.1,982.0
2011270N18139,2011,74,NALGAE,2011-09-29 00:00:00,18.1,134.2,974.0
2011270N18139,2011,74,NALGAE,2011-09-29 06:00:00,17.9,133.1,974.0
2011270N18139,2011,74,NALGAE,2011-09-29 12:00:00,17.8,131.8,967.0
2011270N18139,2011,74,NALGAE,2011-09-29 18:00:00,17.7,130.4,963.0
2011270N18139,2011,74,NALGAE,2011-09-30 00:00:00,17.8,128.9,956.0
2011270N18139,2011,74,NALGAE,2011-09-30 06:00:00,17.8,127.4,948.0
2011270N18139,2011,74,NALGAE,2011-09-30 12:00:00,17.6,125.7,937.0
2011270N18139,2011,74,NALGAE,2011-09-30 18:00:00,17.0,124.1,937.0
2011270N18139,2011,74,NALGAE,2011-10-01 00:00:00,16.8,122.7,926.0
2011270N18139,2011,74,NALGAE,2011-10-01 06:00:00,16.6,121.1,948.0
2011270N18139,2011,74,NALGAE,2011-10-01 12:00:00,16.4,119.5,963.0
2011270N18139,2011,74,NALGAE,2011-10-01 18:00:00,16.5,118.8,974.0
2011270N18139,2011,74,NALGAE,2011-10-02 00:00:00,16.7,118.0,982.0
2011270N18139,2011,74,NALGAE,2011-10-02 06:00:00,16.9,117.0,985.0
2011270N18139,2011,74,NALGAE,2011-10-02 12:00:00,17.2,116.0,985.0
2011270N18139,2011,74,NALGAE,2011-10-02 18:00:00,17.5,115.2,985.0
2011270N18139,2011,74,NALGAE,2011-10-03 00:00:00,17.7,114.4,985.0
2011270N18139,2011,74,NALGAE,2011-10-03 06:00:00,17.8,113.7,985.0
2011270N18139,2011,74,NALGAE,2011-10-03 12:00:00,17.8,113.0,989.0
2011270N18139,2011,74,NALGAE,2011-10-03 18:00:00,17.9,112.1,989.0
2011270N18139,2011,74,NALGAE,2011-10-04 00:00:00,18.2,111.1,993.0
