SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2007254N18140,2007,53,NARI,2007-09-13 00:00:00,22.0,134.0,996.0
2007254N18140,2007,53,NARI,2007-09-13 06:00:00,22.7,132.9,989.0
2007254N18140,2007,53,NARI,2007-09-13 12:00:00,23.3,132.0,982.0
2007254N18140,2007,53,NARI,2007-09-13 18:00:00,24.0,130.5,974.0
2007254N18140,2007,53,NARI,2007-09-14 00:00:00,24.4,129.3,967.0
2007254N18140,2007,53,NARI,2007-09-14 06:00:00,25.0,128.1,952.0
2007254N18140,2007,53,NARI,2007-09-14 12:00:00,25.7,127.2,937.0
2007254N18140,2007,53,NARI,2007-09-14 18:00:00,26.7,126.5,929.0
2007254N18140,2007,53,NARI,2007-09-15 00:00:00,27.8,126.2,929.0
2007254N18140,2007,53,NARI,2007-09-15 06:00:00,29.1,126.0,937.0
2007254N18140,2007,53,NARI,2007-09-15 12:00:00,30.0,126.2,952.0
2007254N18140,2007,53,NARI,2007-09-15 18:00:00,31.0,126.3,956.0
2007254N18140,2007,53,NARI,2007-09-16 00:00:00,32.3,126.7,959.0
2007254N18140,2007,53,NARI,2007-09-16 06:00:00,33.8,127.1,967.0
2007254N18140,2007,53,NARI,2007-09-16 12:00:00,35.3,127.9,978.0
2007254N18140,2007,53,NARI,2007-09-16 18:00:00,37.1,130.3,989.0
2007254N18140,2007,53,NARI,2007-09-17 00:00:00,38.0,132.0,993.0
