SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2022264N17132,2022,76,NORU,2022-09-23 06:00:00,17.6,131.3,998.0
2022264N17132,2022,76,NORU,2022-09-23 12:00:00,17.4,130.5,997.0
2022264N17132,2022,76,NORU,2022-09-23 18:00:00,17.0,129.4,995.0
2022264N17132,2022,76,NORU,2022-09-24 00:00:00,16.3,128.1,987.0
2022264N17132,2022,76,NORU,2022-09-24 06:00:00,15.8,126.9,979.0
2022264N17132,2022,76,NORU,2022-09-24 12:00:00,15.5,126.0,957.0
2022264N17132,2022,76,NORU,2022-09-24 18:00:00,15.2,124.7,914.0
2022264N17132,2022,76,NORU,2022-09-25 00:00:00,15.0,123.6,919.0
2022264N17132,2022,76,NORU,2022-09-25 06:00:00,15.0,122.5,925.0
2022264N17132,2022,76,NORU,2022-09-25 12:00:00,15.2,121.4,932.0
2022264N17132,2022,76,NORU,2022-09-25 18:00:00,15.5,119.9,968.0
2022264N17132,2022,76,NORU,2022-09-26 00:00:00,16.0,118.4,979.0
2022264N17132,2022,76,NORU,2022-09-26 06:00:00,15.9,116.9,965.0
2022264N17132,2022,76,NORU,2022-09-26 12:00:00,15.9,115.5,967.0
2022264N17132,2022,76,NORU,2022-09-26 18:00:00,15.8,113.6,954.0
2022264N17132,2022,76,NORU,2022-09-27 00:00:00,15.5,112.1,930.0
2022264N17132,2022,76,NORU,2022-09-27 06:00:00,15.6,111.2,928.0
2022264N17132,2022,76,NORU,2022-09-27 12:00:00,15.8,110.0,949.0
2022264N17132,2022,76,NORU,2022-09-27 18:00:00,15.8,108.8,958.0
2022264N17132,2022,76,NORU,2022-09-28 00:00:00,15.9,107.8,974.0
2022264N17132,2022,76,NORU,2022-09-28 06:00:00,15.8,106.5,989.0
2022264N17132,2022,76,NORU,2022-09-28 12:00:00,15.8,105.0,996.0
