SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2021333N11146,2021,100,NYATOH,2021-11-30 18:00:00,13.4,136.8,990.0
2021333N11146,2021,100,NYATOH,2021-12-01 00:00:00,13.8,136.4,994.0
2021333N11146,2021,100,NYATOH,2021-12-01 06:00:00,14.3,135.8,983.0
2021333N11146,2021,100,NYATOH,2021-12-01 12:00:00,15.1,135.6,984.0
2021333N11146,2021,100,NYATOH,2021-12-01 18:00:00,15.8,135.5,981.0
2021333N11146,2021,100,NYATOH,2021-12-02 00:00:00,16.5,135.6,974.0
2021333N11146,2021,100,NYATOH,2021-12-02 06:00:00,17.3,135.8,967.0
2021333N11146,2021,100,NYATOH,2021-12-02 12:00:00,18.3,136.7,956.0
2021333N11146,2021,100,NYATOH,2021-12-02 18:00:00,19.5,137.5,933.0
2021333N11146,2021,100,NYATOH,2021-12-03 00:00:00,20.9,138.7,936.0
2021333N11146,2021,100,NYATOH,2021-12-03 06:00:00,22.6,140.5,938.0
2021333N11146,2021,100,NYATOH,2021-12-03 12:00:00,24.0,142.4,962.0
2021333N11146,2021,100,NYATOH,2021-12-03 18:00:00,26.0,144.5,985.0
