SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2008128N07134,2008,23,RAMMASUN,2008-05-08 00:00:00,8.6,131.5,996.0
2008128N07134,2008,23,RAMMASUN,2008-05-08 06:00:00,9.1,131.5,996.0
2008128N07134,2008,23,RAMMASUN,2008-05-08 12:00:00,9.7,131.6,989.0
2008128N07134,2008,23,RAMMASUN,2008-05-08 18:00:00,10.2,131.7,982.0
2008128N07134,2008,23,RAMMASUN,2008-05-09 00:00:00,11.1,132.0,974.0
2008128N07134,2008,23,RAMMASUN,2008-05-09 06:00:00,12.0,132.1,970.0
2008128N07134,2008,23,RAMMASUN,2008-05-09 12:00:00,12.8,132.1,959.0
2008128N07134,2008,23,RAMMASUN,2008-05-09 18:00:00,13.6,132.1,948.0
2008128N07134,2008,23,RAMMASUN,2008-05-10 00:00:00,14.5,132.0,933.0
2008128N07134,2008,23,RAMMASUN,2008-05-10 06:00:00,15.5,132.1,929.0
2008128N07134,2008,23,RAMMASUN,2008-05-10 12:00:00,16.8,132.0,922.0
2008128N07134,2008,23,RAMMASUN,2008-05-10 18:00:00,18.1,131.9,922.0
2008128N07134,2008,23,RAMMASUN,2008-05-11 00:00:00,19.4,131.8,922.0
2008128N07134,2008,23,RAMMASUN,2008-05-11 06:00:00,20.7,132.1,933.0
2008128N07134,2008,23,RAMMASUN,2008-05-11 12:00:00,22.0,132.7,937.0
2008128N07134,2008,23,RAMMASUN,2008-05-11 18:00:00,23.7,133.5,952.0
2008128N07134,2008,23,RAMMASUN,2008-05-12 00:00:00,25.3,134.6,959.0
2008128N07134,2008,23,RAMMASUN,2008-05-12 06:00:00,27.3,136.2,967.0
2008128N07134,2008,23,RAMMASUN,2008-05-12 12:00:00,29.3,138.5,982.0
2008128N07134,2008,23,RAMMASUN,2008-05-12 18:00:00,30.4,140.3,985.0
2008128N07134,2008,23,RAMMASUN,2008-05-13 00:00:00,31.7,142.2,993.0
2008128N07134,2008,23,RAMMASUN,2008-05-13 06:00:00,32.9,144.0,996.0
