SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2024235N17143,2024,48,SHANSHAN,2024-08-25 12:00:00,26.6,136.6,967.0
2024235N17143,2024,48,SHANSHAN,2024-08-25 18:00:00,26.9,135.0,962.0
2024235N17143,2024,48,SHANSHAN,2024-08-26 00:00:00,27.2,133.9,968.0
2024235N17143,2024,48,SHANSHAN,2024-08-26 06:00:00,27.6,132.8,965.0
2024235N17143,2024,48,SHANSHAN,2024-08-26 12:00:00,27.8,131.9,958.0
2024235N17143,2024,48,SHANSHAN,2024-08-26 18:00:00,28.0,131.1,952.0
2024235N17143,2024,48,SHANSHAN,2024-08-27 00:00:00,28.2,130.8,943.0
2024235N17143,2024,48,SHANSHAN,2024-08-27 06:00:00,28.5,130.4,942.0
2024235N17143,2024,48,SHANSHAN,2024-08-27 12:00:00,28.6,130.3,937.0
2024235N17143,2024,48,SHANSHAN,2024-08-27 18:00:00,29.0,130.1,932.0
2024235N17143,2024,48,SHANSHAN,2024-08-28 00:00:00,29.3,130.1,941.0
2024235N17143,2024,48,SHANSHAN,2024-08-28 06:00:00,30.0,130.0,945.0
2024235N17143,2024,48,SHANSHAN,2024-08-28 12:00:00,30.6,130.1,949.0
2024235N17143,2024,48,SHANSHAN,2024-08-28 18:00:00,31.3,130.2,957.0
2024235N17143,2024,48,SHANSHAN,2024-08-29 00:00:00,31.9,130.2,964.0
2024235N17143,2024,48,SHANSHAN,2024-08-29 06:00:00,32.9,130.5,972.0
2024235N17143,2024,48,SHANSHAN,2024-08-29 12:00:00,33.4,131.2,990.0
2024235N17143,2024,48,SHANSHAN,2024-08-29 18:00:00,33.7,131.1,991.0
2024235N17143,2024,48,SHANSHAN,2024-08-30 00:00:00,33.8,131.3,990.0
2024235N17143,2024,48,SHANSHAN,2024-08-30 06:00:00,33.9,132.2,994.0
2024235N17143,2024,48,SHANSHAN,2024-08-30 12:00:00,33.9,132.9,996.0
2024235N17143,2024,48,SHANSHAN,2024-08-30 18:00:00,33.8,134.1,995.0
