SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015211N13162,2015,54,SOUDELOR,2015-08-01 06:00:00,13.9,152.1,993.0
2015211N13162,2015,54,SOUDELOR,2015-08-01 12:00:00,14.2,150.8,989.0
2015211N13162,2015,54,SOUDELOR,2015-08-01 18:00:00,14.4,149.6,985.0
2015211N13162,2015,54,SOUDELOR,2015-08-02 00:00:00,14.6,148.2,978.0
2015211N13162,2015,54,SOUDELOR,2015-08-02 06:00:00,14.9,146.8,967.0
2015211N13162,2015,54,SOUDELOR,2015-08-02 12:00:00,15.1,145.9,956.0
2015211N13162,2015,54,SOUDELOR,2015-08-02 18:00:00,15.6,145.0,948.0
2015211N13162,2015,54,SOUDELOR,2015-08-03 00:00:00,16.2,144.0,941.0
2015211N13162,2015,54,SOUDELOR,2015-08-03 06:00:00,16.9,143.0,929.0
2015211N13162,2015,54,SOUDELOR,2015-08-03 12:00:00,17.4,141.9,918.0
2015211N13162,2015,54,SOUDELOR,2015-08-03 18:00:00,17.8,140.7,907.0
2015211N13162,2015,54,SOUDELOR,2015-08-04 00:00:00,18.3,139.6,911.0
2015211N13162,2015,54,SOUDELOR,2015-08-04 06:00:00,18.6,138.3,918.0
2015211N13162,2015,54,SOUDELOR,2015-08-04 12:00:00,18.9,137.2,922.0
2015211N13162,2015,54,SOUDELOR,2015-08-04 18:00:00,19.3,136.2,929.0
2015211N13162,2015,54,SOUDELOR,2015-08-05 00:00:00,19.5,134.9,937.0
2015211N13162,2015,54,SOUDELOR,2015-08-05 06:00:00,19.9,133.7,944.0
2015211N13162,2015,54,SOUDELOR,2015-08-05 12:00:00,20.0,132.6,948.0
2015211N13162,2015,54,SOUDELOR,2015-08-05 18:00:00,20.1,131.5,952.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 00:00:00,20.5,130.2,956.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 06:00:00,20.9,129.2,959.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 12:00:00,21.2,128.1,956.0
2015211N13162,2015,54,SOUDELOR,2015-08-06 18:00:00,21.5,126.8,952.0
2015211N13162,2015,54,SOUDELOR,2015-08-07 00:00:00,21.9,125.8,948.0
2015211N13162,2015,54,SOUDELOR,2015-08-07 06:00:00,22.4,124.8,944.0
2015211N13162,2015,54,SOUDELOR,2015-08-07 12:00:00,22.9,123.8,944.0
2015211N13162,2015,54,SOUDELOR,2015-08-07 18:00:00,23.7,122.6,948.0
2015211N13162,2015,54,SOUDELOR,2015-08-08 00:00:00,24.0,121.0,952.0
