SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2012230N21126,2012,50,TEMBIN,2012-08-19 00:00:00,17.7,124.8,996.0
2012230N21126,2012,50,TEMBIN,2012-08-19 06:00:00,17.6,124.8,993.0
2012230N21126,2012,50,TEMBIN,2012-08-19 12:00:00,17.6,124.8,989.0
2012230N21126,2012,50,TEMBIN,2012-08-19 18:00:00,17.7,124.7,982.0
2012230N21126,2012,50,TEMBIN,2012-08-20 00:00:00,18.0,124.8,967.0
2012230N21126,2012,50,TEMBIN,2012-08-20 06:00:00,18.4,124.9,952.0
2012230N21126,2012,50,TEMBIN,2012-08-20 12:00:00,18.9,125.2,937.0
2012230N21126,2012,50,TEMBIN,2012-08-20 18:00:00,19.5,125.3,937.0
2012230N21126,2012,50,TEMBIN,2012-08-21 00:00:00,20.2,125.4,937.0
2012230N21126,2012,50,TEMBIN,2012-08-21 06:00:00,21.1,125.4,937.0
2012230N21126,2012,50,TEMBIN,2012-08-21 12:00:00,21.8,125.2,944.0
2012230N21126,2012,50,TEMBIN,2012-08-21 18:00:00,22.1,125.0,952.0
2012230N21126,2012,50,TEMBIN,2012-08-22 00:00:00,22.3,124.6,956.0
2012230N21126,2012,50,TEMBIN,2012-08-22 06:00:00,22.5,124.4,956.0
2012230N21126,2012,50,TEMBIN,2012-08-22 12:00:00,22.5,124.2,956.0
2012230N21126,2012,50,TEMBIN,2012-08-22 18:00:00,22.5,123.9,956.0
2012230N21126,2012,50,TEMBIN,2012-08-23 00:00:00,22.6,123.6,956.0
2012230N21126,2012,50,TEMBIN,2012-08-23 06:00:00,22.7,123.2,941.0
2012230N21126,2012,50,TEMBIN,2012-08-23 12:00:00,22.7,122.5,933.0
2012230N21126,2012,50,TEMBIN,2012-08-23 18:00:00,22.4,121.4,937.0
2012230N21126,2012,50,TEMBIN,2012-08-24 00:00:00,22.2,120.6,948.0
2012230N21126,2012,50,TEMBIN,2012-08-24 06:00:00,22.3,119.9,959.0
2012230N21126,2012,50,TEMBIN,2012-08-24 12:00:00,22.4,119.5,963.0
2012230N21126,2012,50,TEMBIN,2012-08-24 18:00:00,22.5,118.9,967.0
2012230N21126,2012,50,TEMBIN,2012-08-25 00:00:00,22.5,118.4,967.0
2012230N21126,2012,50,TEMBIN,2012-08-25 06:00:00,22.3,117.8,967.0
2012230N21126,2012,50,TEMBIN,2012-08-25 12:00:00,21.9,117.1,967.0
2012230N21126,2012,50,TEMBIN,2012-08-25 18:00:00,21.4,116.8,963.0
2012230N21126,2012,50,TEMBIN,2012-08-26 00:00:00,21.0,116.8,959.0
2012230N21126,2012,50,TEMBIN,2012-08-26 06:00:00,20.8,116.8,952.0
2012230N21126,2012,50,TEMBIN,2012-08-26 12:00:00,20.6,117.0,956.0
2012230N21126,2012,50,TEMBIN,2012-08-26 18:00:00,20.5,117.5,959.0
