SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2012201N15129,2012,38,VICENTE,2012-07-21 18:00:00,19.2,116.1,993.0
2012201N15129,2012,38,VICENTE,2012-07-22 00:00:00,19.2,115.5,989.0
2012201N15129,2012,38,VICENTE,2012-07-22 06:00:00,19.1,115.2,989.0
2012201N15129,2012,38,VICENTE,2012-07-22 12:00:00,19.0,115.1,989.0
2012201N15129,2012,38,VICENTE,2012-07-22 18:00:00,19.3,115.2,985.0
2012201N15129,2012,38,VICENTE,2012-07-23 00:00:00,19.7,115.2,985.0
2012201N15129,2012,38,VICENTE,2012-07-23 06:00:00,20.5,114.8,974.0
2012201N15129,2012,38,VICENTE,2012-07-23 12:00:00,21.0,114.2,963.0
2012201N15129,2012,38,VICENTE,2012-07-23 18:00:00,21.7,113.4,937.0
2012201N15129,2012,38,VICENTE,2012-07-24 00:00:00,22.4,112.2,959.0
2012201N15129,2012,38,VICENTE,2012-07-24 06:00:00,22.9,110.6,978.0
2012201N15129,2012,38,VICENTE,2012-07-24 12:00:00,23.1,109.0,989.0
2012201N15129,2012,38,VICENTE,2012-07-24 18:00:00,23.0,107.2,989.0
