SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2024246N14125,2024,50,YAGI,2024-09-03 00:00:00,18.3,119.5,999.0
2024246N14125,2024,50,YAGI,2024-09-03 06:00:00,18.5,119.1,998.0
2024246N14125,2024,50,YAGI,2024-09-03 12:00:00,18.8,119.0,993.0
2024246N14125,2024,50,YAGI,2024-09-03 18:00:00,18.8,118.3,987.0
2024246N14125,2024,50,YAGI,2024-09-04 00:00:00,19.1,117.7,977.0
2024246N14125,2024,50,YAGI,2024-09-04 06:00:00,19.2,117.4,977.0
2024246N14125,2024,50,YAGI,2024-09-04 12:00:00,19.2,116.9,968.0
2024246N14125,2024,50,YAGI,2024-09-04 18:00:00,19.2,116.3,932.0
2024246N14125,2024,50,YAGI,2024-09-05 00:00:00,19.1,115.8,922.0
2024246N14125,2024,50,YAGI,2024-09-05 06:00:00,19.2,115.1,928.0
2024246N14125,2024,50,YAGI,2024-09-05 12:00:00,19.3,114.1,929.0
2024246N14125,2024,50,YAGI,2024-09-05 18:00:00,19.2,113.0,934.0
2024246N14125,2024,50,YAGI,2024-09-06 00:00:00,19.2,112.2,922.0
2024246N14125,2024,50,YAGI,2024-09-06 06:00:00,19.7,111.3,927.0
2024246N14125,2024,50,YAGI,2024-09-06 12:00:00,20.0,110.2,928.0
2024246N14125,2024,50,YAGI,2024-09-06 18:00:00,20.3,109.0,937.0
2024246N14125,2024,50,YAGI,2024-09-07 00:00:00,20.3,108.2,933.0
2024246N14125,2024,50,YAGI,2024-09-07 06:00:00,21.0,106.9,942.0
2024246N14125,2024,50,YAGI,2024-09-07 12:00:00,21.0,105.9,970.0
2024246N14125,2024,50,YAGI,2024-09-07 18:00:00,21.2,105.1,986.0
