SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023279N08157,2023,69,BOLAVEN,2023-10-09 00:00:00,10.7,150.3,992.0,,10.7,150.3,998.4783325195312,11.0,150.5
2023279N08157,2023,69,BOLAVEN,2023-10-09 06:00:00,11.2,149.3,993.0,997.4891357421875,11.5,150.1042390548992,994.8929443359375,11.5,149.5
2023279N08157,2023,69,BOLAVEN,2023-10-09 12:00:00,11.9,148.5,990.0,998.888671875,12.0,149.10354412786657,996.3685913085938,12.0,148.5
2023279N08157,2023,69,BOLAVEN,2023-10-09 18:00:00,12.9,147.6,988.0,994.9647827148438,12.75,147.85267546907573,991.9198608398438,12.5,147.5
2023279N08157,2023,69,BOLAVEN,2023-10-10 00:00:00,13.7,146.5,990.0,995.2633666992188,13.5,146.6018068102849,993.589599609375,13.5,146.5
2023279N08157,2023,69,BOLAVEN,2023-10-10 06:00:00,14.3,145.6,982.0,990.4064331054688,14.0,145.85128561501043,989.3465576171875,14.5,145.5
2023279N08157,2023,69,BOLAVEN,2023-10-10 12:00:00,15.1,145.0,975.0,990.7957153320312,15.0,144.85059068797776,992.3876342773438,15.5,145.0
2023279N08157,2023,69,BOLAVEN,2023-10-10 18:00:00,16.0,144.5,959.0,987.3309936523438,15.75,144.10006949270326,987.069580078125,16.0,144.0
2023279N08157,2023,69,BOLAVEN,2023-10-11 00:00:00,17.1,144.0,926.0,988.6141357421875,16.5,143.8498957609451,987.5568237304688,17.0,143.5
2023279N08157,2023,69,BOLAVEN,2023-10-11 06:00:00,18.2,143.4,916.0,984.6093139648438,17.5,143.0993745656706,982.5359497070312,18.0,143.0
2023279N08157,2023,69,BOLAVEN,2023-10-11 12:00:00,18.9,143.0,904.0,982.7645874023438,18.25,142.34885337039609,981.2864990234375,19.0,142.5
2023279N08157,2023,69,BOLAVEN,2023-10-11 18:00:00,19.7,142.8,897.0,976.444580078125,19.0,142.09867963863792,975.3953247070312,20.0,142.5
2023279N08157,2023,69,BOLAVEN,2023-10-12 00:00:00,20.6,143.0,900.0,975.498779296875,20.0,142.09867963863792,972.998779296875,20.5,143.0
2023279N08157,2023,69,BOLAVEN,2023-10-12 06:00:00,21.8,143.4,904.0,969.780029296875,20.75,142.09867963863792,964.9403076171875,21.5,143.5
2023279N08157,2023,69,BOLAVEN,2023-10-12 12:00:00,22.7,144.3,909.0,971.5543212890625,21.25,142.84920083391242,962.6832275390625,23.0,144.0
2023279N08157,2023,69,BOLAVEN,2023-10-12 18:00:00,24.0,145.4,909.0,967.2022094726562,22.25,143.0993745656706,960.2822875976562,24.0,144.5
2023279N08157,2023,69,BOLAVEN,2023-10-13 00:00:00,25.5,146.9,926.0,968.104248046875,23.25,143.8498957609451,957.5577392578125,25.0,145.5
2023279N08157,2023,69,BOLAVEN,2023-10-13 06:00:00,27.2,148.7,946.0,963.3748168945312,25.0,144.6004169562196,953.6891479492188,26.5,147.0
2023279N08157,2023,69,BOLAVEN,2023-10-13 12:00:00,29.4,150.8,949.0,964.4435424804688,26.0,145.85128561501043,953.9121704101562,28.0,148.0
2023279N08157,2023,69,BOLAVEN,2023-10-13 18:00:00,31.4,153.3,950.0,966.060546875,27.25,147.10215427380123,948.7383422851562,30.0,150.0
2023279N08157,2023,69,BOLAVEN,2023-10-14 00:00:00,34.2,156.5,964.0,965.6468505859375,29.0,148.60319666435024,945.7139892578125,32.0,152.0
2023279N08157,2023,69,BOLAVEN,2023-10-14 06:00:00,37.1,160.3,968.0,968.697998046875,31.0,150.8547602501737,944.6507568359375,34.5,155.0
2023279N08157,2023,69,BOLAVEN,2023-10-14 12:00:00,40.3,164.6,971.0,969.9131469726562,33.5,153.35649756775538,947.34912109375,36.5,158.5
2023279N08157,2023,69,BOLAVEN,2023-10-14 18:00:00,42.9,168.2,968.0,963.9027099609375,36.25,156.1084086170952,947.9113159179688,39.5,162.0
