SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015180N09160,2015,37,CHAN-HOM,2015-07-07 18:00:00,19.1,134.4,959.0,962.8961181640625,19.0,134.09312022237663,961.524658203125,19.0,134.5
2015180N09160,2015,37,CHAN-HOM,2015-07-08 00:00:00,19.5,133.6,959.0,963.6370239257812,19.75,133.34259902710215,955.2030639648438,20.0,133.0
2015180N09160,2015,37,CHAN-HOM,2015-07-08 06:00:00,20.4,132.7,956.0,962.3781127929688,20.25,132.09173036831132,944.9464721679688,20.5,132.5
2015180N09160,2015,37,CHAN-HOM,2015-07-08 12:00:00,21.0,131.7,956.0,964.95849609375,20.75,131.09103544127865,938.692138671875,21.0,131.5
2015180N09160,2015,37,CHAN-HOM,2015-07-08 18:00:00,21.7,130.6,956.0,962.08349609375,21.25,130.090340514246,936.27685546875,21.5,130.0
2015180N09160,2015,37,CHAN-HOM,2015-07-09 00:00:00,22.5,129.6,956.0,964.1824340820312,22.0,129.08964558721334,932.5237426757812,22.5,129.0
2015180N09160,2015,37,CHAN-HOM,2015-07-09 06:00:00,23.3,128.6,952.0,963.3473510742188,23.0,128.08895066018067,926.0445556640625,23.5,128.0
2015180N09160,2015,37,CHAN-HOM,2015-07-09 12:00:00,24.2,127.6,944.0,965.4356079101562,23.5,126.83808200138985,928.2407836914062,24.5,126.5
2015180N09160,2015,37,CHAN-HOM,2015-07-09 18:00:00,25.1,126.6,937.0,965.2072143554688,24.25,125.0868658790827,920.7493896484375,25.0,125.0
2015180N09160,2015,37,CHAN-HOM,2015-07-10 00:00:00,25.7,125.5,933.0,964.0205688476562,25.0,124.08617095205003,914.4863891601562,25.5,124.0
2015180N09160,2015,37,CHAN-HOM,2015-07-10 06:00:00,26.6,124.7,933.0,967.8069458007812,25.5,122.58512856150104,915.2616577148438,26.0,122.5
2015180N09160,2015,37,CHAN-HOM,2015-07-10 12:00:00,27.3,124.0,944.0,973.0086059570312,25.75,121.3342599027102,920.001220703125,26.5,121.5
2015180N09160,2015,37,CHAN-HOM,2015-07-10 18:00:00,27.8,123.3,956.0,975.8158569335938,26.0,120.08339124391938,949.6910400390625,26.5,119.5
2015180N09160,2015,37,CHAN-HOM,2015-07-11 00:00:00,28.6,122.8,963.0,983.2855224609375,26.0,120.08339124391938,973.9796142578125,26.5,118.5
2015180N09160,2015,37,CHAN-HOM,2015-07-11 06:00:00,29.5,122.4,970.0,987.3468017578125,27.25,118.58234885337039,982.0554809570312,27.0,118.0
2015180N09160,2015,37,CHAN-HOM,2015-07-11 12:00:00,30.4,122.8,974.0,989.6576538085938,27.25,118.33217512161222,986.375732421875,27.5,118.0
2015180N09160,2015,37,CHAN-HOM,2015-07-11 18:00:00,31.5,123.1,982.0,990.7935791015625,28.75,118.58234885337039,987.7449340820312,28.5,117.5
2015180N09160,2015,37,CHAN-HOM,2015-07-12 00:00:00,33.2,123.6,989.0,992.5558471679688,30.0,119.58304378040305,989.0056762695312,29.0,117.0
2015180N09160,2015,37,CHAN-HOM,2015-07-12 06:00:00,35.0,124.2,993.0,990.7557983398438,31.0,119.08269631688671,988.8204956054688,30.5,119.0
