SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2021248N12141,2021,72,CHANTHU,2021-09-06 12:00:00,14.7,138.0,999.0,,14.7,138.0,1004.3673706054688,14.5,138.0
2021248N12141,2021,72,CHANTHU,2021-09-06 18:00:00,15.2,137.4,997.0,1004.562744140625,15.75,136.84503127171646,1002.9012451171875,15.0,137.0
2021248N12141,2021,72,CHANTHU,2021-09-07 00:00:00,15.6,136.6,995.0,1006.427490234375,16.25,136.34468380820013,1004.51513671875,15.5,136.5
2021248N12141,2021,72,CHANTHU,2021-09-07 06:00:00,16.1,135.7,985.0,1004.2449951171875,16.5,135.8443363446838,1000.5582885742188,16.5,135.5
2021248N12141,2021,72,CHANTHU,2021-09-07 12:00:00,16.3,134.6,966.0,1005.8936157226562,16.75,135.0938151494093,1000.673828125,16.5,135.0
2021248N12141,2021,72,CHANTHU,2021-09-07 18:00:00,16.3,133.5,937.0,1003.7994384765625,17.25,134.09312022237663,995.9176025390625,16.5,134.0
2021248N12141,2021,72,CHANTHU,2021-09-08 00:00:00,16.0,132.3,932.0,1005.0798950195312,17.25,132.84225156358582,997.7955322265625,16.5,133.0
2021248N12141,2021,72,CHANTHU,2021-09-08 06:00:00,15.7,131.3,922.0,1003.7451782226562,17.5,131.84155663655315,995.379150390625,16.5,132.0
2021248N12141,2021,72,CHANTHU,2021-09-08 12:00:00,15.5,130.3,935.0,1004.5550537109375,17.25,130.59068797776231,990.1105346679688,16.5,131.5
2021248N12141,2021,72,CHANTHU,2021-09-08 18:00:00,15.4,129.1,929.0,1002.435791015625,17.5,129.3398193189715,983.3206176757812,16.5,130.5
2021248N12141,2021,72,CHANTHU,2021-09-09 00:00:00,15.5,128.0,924.0,1002.97509765625,17.75,128.08895066018067,984.6585693359375,17.0,129.5
2021248N12141,2021,72,CHANTHU,2021-09-09 06:00:00,15.8,127.1,932.0,1002.0123291015625,18.25,126.58790826963168,991.8414306640625,17.5,128.5
2021248N12141,2021,72,CHANTHU,2021-09-09 12:00:00,16.1,125.9,942.0,1002.6412353515625,18.75,125.0868658790827,992.1520385742188,17.5,127.0
2021248N12141,2021,72,CHANTHU,2021-09-09 18:00:00,16.6,124.9,936.0,1001.6737670898438,19.0,123.83599722029186,986.1045532226562,18.0,126.0
2021248N12141,2021,72,CHANTHU,2021-09-10 00:00:00,17.1,124.1,928.0,1001.8814086914062,19.75,122.33495482974287,984.3140869140625,18.5,125.0
2021248N12141,2021,72,CHANTHU,2021-09-10 06:00:00,17.8,123.5,916.0,1001.4002075195312,20.25,121.08408617095205,982.5660400390625,19.0,124.0
2021248N12141,2021,72,CHANTHU,2021-09-10 12:00:00,18.7,122.9,911.0,1000.9424438476562,20.75,120.08339124391938,972.1136474609375,19.5,123.5
2021248N12141,2021,72,CHANTHU,2021-09-10 18:00:00,19.5,122.3,902.0,999.9006958007812,21.25,119.08269631688671,978.2449340820312,20.0,123.0
2021248N12141,2021,72,CHANTHU,2021-09-11 00:00:00,20.3,121.9,915.0,1000.8640747070312,21.75,118.83252258512856,983.1500244140625,20.5,122.5
2021248N12141,2021,72,CHANTHU,2021-09-11 06:00:00,21.0,121.5,925.0,1000.2460327148438,22.25,118.33217512161222,961.4835205078125,20.5,122.0
2021248N12141,2021,72,CHANTHU,2021-09-11 12:00:00,21.8,121.8,945.0,1000.15087890625,23.0,118.33217512161222,975.415283203125,20.5,122.0
2021248N12141,2021,72,CHANTHU,2021-09-11 18:00:00,22.8,122.0,944.0,1000.0875244140625,23.5,118.58234885337039,960.9229125976562,21.0,121.5
2021248N12141,2021,72,CHANTHU,2021-09-12 00:00:00,23.8,122.3,948.0,1002.387939453125,24.0,118.83252258512856,963.8468017578125,21.0,121.5
2021248N12141,2021,72,CHANTHU,2021-09-12 06:00:00,25.2,122.3,943.0,1003.0786743164062,24.25,119.33287004864488,973.652587890625,22.0,121.0
2021248N12141,2021,72,CHANTHU,2021-09-12 12:00:00,26.3,122.7,949.0,1005.6494750976562,24.75,119.83321751216121,979.5203857421875,22.5,121.0
2021248N12141,2021,72,CHANTHU,2021-09-12 18:00:00,27.6,123.1,953.0,1005.8453369140625,25.75,120.83391243919388,995.78369140625,24.5,120.5
2021248N12141,2021,72,CHANTHU,2021-09-13 00:00:00,29.1,123.6,959.0,1006.836181640625,27.0,121.58443363446837,1000.641357421875,23.5,119.5
2021248N12141,2021,72,CHANTHU,2021-09-13 06:00:00,30.7,123.4,968.0,1006.2064208984375,31.0,118.08200138985406,999.6353759765625,24.0,120.0
2021248N12141,2021,72,CHANTHU,2021-09-13 12:00:00,31.0,123.3,975.0,1005.895263671875,30.5,114.57956914523974,1001.6504516601562,24.5,119.5
2021248N12141,2021,72,CHANTHU,2021-09-13 18:00:00,31.4,123.5,980.0,1005.62255859375,30.25,112.07783182765809,1001.6504516601562,24.5,119.5
2021248N12141,2021,72,CHANTHU,2021-09-14 00:00:00,31.3,123.8,990.0,1006.7521362304688,30.5,112.07783182765809,1001.6504516601562,24.5,119.5
2021248N12141,2021,72,CHANTHU,2021-09-14 06:00:00,30.9,124.3,991.0,1005.7277221679688,30.5,112.07783182765809,1001.6504516601562,24.5,119.5
