SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023201N13134,2023,32,DOKSURI,2023-07-22 12:00:00,14.4,130.3,999.0,,14.4,130.3,1001.0437622070312,14.5,129.5
2023201N13134,2023,32,DOKSURI,2023-07-22 18:00:00,14.6,129.7,996.0,997.4173583984375,14.75,129.08964558721334,997.182861328125,14.5,129.0
2023201N13134,2023,32,DOKSURI,2023-07-23 00:00:00,14.8,129.0,992.0,995.7808837890625,14.5,129.08964558721334,994.4888916015625,14.5,129.0
2023201N13134,2023,32,DOKSURI,2023-07-23 06:00:00,14.9,128.3,985.0,990.258056640625,14.75,128.33912439193884,989.7393188476562,14.5,128.0
2023201N13134,2023,32,DOKSURI,2023-07-23 12:00:00,15.0,127.7,968.0,987.6361083984375,14.75,127.8387769284225,986.720947265625,15.0,127.5
2023201N13134,2023,32,DOKSURI,2023-07-23 18:00:00,15.1,127.0,965.0,982.3961791992188,15.0,127.088255733148,981.6598510742188,15.5,127.0
2023201N13134,2023,32,DOKSURI,2023-07-24 00:00:00,15.3,126.6,951.0,982.55224609375,15.25,126.33773453787352,979.7322387695312,15.5,126.0
2023201N13134,2023,32,DOKSURI,2023-07-24 06:00:00,15.7,126.3,934.0,977.7503662109375,15.5,126.08756080611535,974.728515625,16.0,125.5
2023201N13134,2023,32,DOKSURI,2023-07-24 12:00:00,16.5,125.8,930.0,975.9453735351562,16.0,125.83738707435718,972.66455078125,16.5,125.0
2023201N13134,2023,32,DOKSURI,2023-07-24 18:00:00,16.9,125.1,932.0,973.7153930664062,16.5,125.0868658790827,968.7957763671875,17.0,124.5
2023201N13134,2023,32,DOKSURI,2023-07-25 00:00:00,17.6,124.6,928.0,974.10107421875,17.25,124.58651841556636,970.1648559570312,17.5,124.0
2023201N13134,2023,32,DOKSURI,2023-07-25 06:00:00,18.3,123.7,934.0,972.5626831054688,18.0,124.08617095205003,967.8626708984375,18.0,123.5
2023201N13134,2023,32,DOKSURI,2023-07-25 12:00:00,18.9,122.7,936.0,974.77490234375,18.25,122.8353022932592,966.5303344726562,18.5,123.0
2023201N13134,2023,32,DOKSURI,2023-07-25 18:00:00,19.0,121.6,937.0,970.6550903320312,18.5,122.0847810979847,966.0098266601562,19.0,122.0
2023201N13134,2023,32,DOKSURI,2023-07-26 00:00:00,18.9,121.4,949.0,971.014404296875,19.0,122.0847810979847,967.3275146484375,19.0,122.0
2023201N13134,2023,32,DOKSURI,2023-07-26 06:00:00,19.3,121.0,952.0,972.4676513671875,19.0,122.0847810979847,964.2320556640625,19.5,121.5
2023201N13134,2023,32,DOKSURI,2023-07-26 12:00:00,19.6,120.6,959.0,972.86669921875,19.75,121.3342599027102,965.18310546875,20.5,121.0
2023201N13134,2023,32,DOKSURI,2023-07-26 18:00:00,20.0,120.0,966.0,972.39501953125,20.0,120.83391243919388,961.3512573242188,21.0,121.0
2023201N13134,2023,32,DOKSURI,2023-07-27 00:00:00,20.7,119.7,966.0,973.3679809570312,21.0,120.83391243919388,965.1878662109375,22.0,121.0
2023201N13134,2023,32,DOKSURI,2023-07-27 06:00:00,21.1,119.3,964.0,975.0532836914062,22.0,120.08339124391938,975.273193359375,24.0,120.5
2023201N13134,2023,32,DOKSURI,2023-07-27 12:00:00,21.8,119.1,947.0,980.6788940429688,24.0,120.08339124391938,980.8800048828125,25.0,119.5
2023201N13134,2023,32,DOKSURI,2023-07-27 18:00:00,22.8,119.0,949.0,982.1983032226562,24.0,118.83252258512856,984.228271484375,25.5,119.0
2023201N13134,2023,32,DOKSURI,2023-07-28 00:00:00,24.2,118.8,952.0,985.7601318359375,24.5,118.08200138985406,989.2653198242188,26.5,118.5
2023201N13134,2023,32,DOKSURI,2023-07-28 06:00:00,25.5,118.3,970.0,988.6409912109375,25.0,118.08200138985406,990.2216186523438,27.0,118.5
2023201N13134,2023,32,DOKSURI,2023-07-28 12:00:00,27.1,117.7,985.0,990.4525756835938,26.25,117.0813064628214,991.0700073242188,29.0,119.0
2023201N13134,2023,32,DOKSURI,2023-07-28 18:00:00,28.7,117.1,990.0,990.328857421875,27.5,116.83113273106324,990.8833618164062,31.0,118.5
