SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015127N04158,2015,28,DOLPHIN,2015-05-14 00:00:00,11.5,152.2,956.0,,11.5,152.2,972.8231201171875,11.5,151.5
2015127N04158,2015,28,DOLPHIN,2015-05-14 06:00:00,12.0,151.1,959.0,984.017578125,12.0,150.8547602501737,972.1967163085938,11.5,150.5
2015127N04158,2015,28,DOLPHIN,2015-05-14 12:00:00,12.4,149.7,959.0,991.7120361328125,12.25,149.6038915913829,976.79931640625,12.0,149.5
2015127N04158,2015,28,DOLPHIN,2015-05-14 18:00:00,12.7,148.3,959.0,988.2449951171875,12.75,148.1028492008339,971.7128295898438,12.5,148.0
2015127N04158,2015,28,DOLPHIN,2015-05-15 00:00:00,13.3,146.9,956.0,991.541748046875,13.25,146.85198054204307,978.7119750976562,13.0,147.0
2015127N04158,2015,28,DOLPHIN,2015-05-15 06:00:00,13.6,145.6,952.0,990.05322265625,13.75,145.60111188325226,974.1532592773438,14.0,145.5
2015127N04158,2015,28,DOLPHIN,2015-05-15 12:00:00,14.1,144.6,948.0,989.2986450195312,14.25,144.10006949270326,961.9613037109375,14.5,144.5
2015127N04158,2015,28,DOLPHIN,2015-05-15 18:00:00,14.8,143.5,941.0,987.3408813476562,14.5,143.0993745656706,955.0435791015625,15.0,143.5
2015127N04158,2015,28,DOLPHIN,2015-05-16 00:00:00,15.2,142.4,933.0,985.2906494140625,15.0,142.09867963863792,960.75244140625,15.5,142.5
2015127N04158,2015,28,DOLPHIN,2015-05-16 06:00:00,15.8,141.5,922.0,984.8330688476562,15.75,141.34815844336345,953.5621337890625,16.5,141.5
2015127N04158,2015,28,DOLPHIN,2015-05-16 12:00:00,16.5,140.6,918.0,985.006103515625,16.25,140.0972897845726,950.1094360351562,17.0,140.5
2015127N04158,2015,28,DOLPHIN,2015-05-16 18:00:00,17.2,139.8,922.0,981.0186767578125,17.0,139.84711605281444,956.2491455078125,17.5,140.0
2015127N04158,2015,28,DOLPHIN,2015-05-17 00:00:00,17.8,139.1,926.0,981.7965087890625,17.75,138.84642112578177,950.5853271484375,18.0,139.5
2015127N04158,2015,28,DOLPHIN,2015-05-17 06:00:00,18.6,138.7,929.0,978.5089111328125,18.25,138.34607366226544,942.56689453125,18.5,139.0
2015127N04158,2015,28,DOLPHIN,2015-05-17 12:00:00,19.3,138.5,933.0,974.873291015625,19.0,138.0958999305073,942.1063842773438,19.5,139.0
2015127N04158,2015,28,DOLPHIN,2015-05-17 18:00:00,20.1,138.4,937.0,973.505615234375,19.75,138.0958999305073,944.138671875,20.0,139.0
2015127N04158,2015,28,DOLPHIN,2015-05-18 00:00:00,20.8,138.4,941.0,974.3021850585938,20.0,138.34607366226544,941.0303955078125,21.0,139.5
2015127N04158,2015,28,DOLPHIN,2015-05-18 06:00:00,21.5,138.4,948.0,972.2893676757812,21.0,138.5962473940236,939.97900390625,22.0,139.5
2015127N04158,2015,28,DOLPHIN,2015-05-18 12:00:00,22.3,138.6,956.0,977.6620483398438,21.75,139.09659485753994,943.6163940429688,22.5,140.0
2015127N04158,2015,28,DOLPHIN,2015-05-18 18:00:00,23.1,138.9,963.0,975.7586669921875,22.5,139.59694232105628,939.1492309570312,23.0,140.0
2015127N04158,2015,28,DOLPHIN,2015-05-19 00:00:00,23.8,139.3,970.0,977.7871704101562,23.0,140.0972897845726,940.7174072265625,23.5,140.5
2015127N04158,2015,28,DOLPHIN,2015-05-19 06:00:00,24.6,139.9,974.0,973.4467163085938,24.0,140.8478109798471,945.9453735351562,24.0,141.0
2015127N04158,2015,28,DOLPHIN,2015-05-19 12:00:00,25.6,141.0,982.0,976.0321044921875,24.75,141.5983321751216,962.5675048828125,25.0,141.5
2015127N04158,2015,28,DOLPHIN,2015-05-19 18:00:00,26.8,142.2,985.0,976.3026733398438,26.0,142.59902710215425,955.5660400390625,25.5,142.5
2015127N04158,2015,28,DOLPHIN,2015-05-20 00:00:00,28.2,143.9,985.0,980.6240844726562,27.25,143.8498957609451,963.3261108398438,26.5,144.0
2015127N04158,2015,28,DOLPHIN,2015-05-20 06:00:00,30.1,145.9,989.0,981.6480712890625,29.25,145.85128561501043,968.9080200195312,28.0,145.5
2015127N04158,2015,28,DOLPHIN,2015-05-20 12:00:00,32.8,148.2,989.0,981.0418701171875,32.25,148.1028492008339,977.722412109375,30.0,147.5
