SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015263N14148,2015,81,DUJUAN,2015-09-24 18:00:00,18.9,132.2,978.0,980.5032958984375,19.0,132.59207783182765,964.0003051757812,19.5,132.5
2015263N14148,2015,81,DUJUAN,2015-09-25 00:00:00,19.1,132.1,974.0,980.4000244140625,19.0,132.09173036831132,952.4163818359375,19.5,132.0
2015263N14148,2015,81,DUJUAN,2015-09-25 06:00:00,19.4,131.7,967.0,975.3968505859375,19.75,132.09173036831132,950.1945190429688,20.0,131.5
2015263N14148,2015,81,DUJUAN,2015-09-25 12:00:00,19.7,131.3,963.0,974.6292114257812,20.0,131.84155663655315,942.4667358398438,20.5,131.0
2015263N14148,2015,81,DUJUAN,2015-09-25 18:00:00,20.3,131.0,959.0,970.4359130859375,21.0,130.84086170952048,939.12841796875,21.0,130.5
2015263N14148,2015,81,DUJUAN,2015-09-26 00:00:00,20.9,130.3,956.0,970.5777587890625,21.25,130.090340514246,935.3749389648438,21.5,130.0
2015263N14148,2015,81,DUJUAN,2015-09-26 06:00:00,21.6,129.7,952.0,968.3943481445312,22.0,129.3398193189715,929.8084106445312,22.0,129.5
2015263N14148,2015,81,DUJUAN,2015-09-26 12:00:00,22.0,128.9,944.0,970.3074951171875,22.25,128.33912439193884,932.6506958007812,22.5,129.0
2015263N14148,2015,81,DUJUAN,2015-09-26 18:00:00,22.2,128.1,929.0,966.0859985351562,23.0,128.08895066018067,931.98388671875,23.0,128.5
2015263N14148,2015,81,DUJUAN,2015-09-27 00:00:00,22.3,127.5,929.0,970.855712890625,23.0,127.58860319666434,932.3824462890625,23.5,128.0
2015263N14148,2015,81,DUJUAN,2015-09-27 06:00:00,22.5,126.7,929.0,965.7976684570312,24.0,126.83808200138985,938.710693359375,24.0,127.0
2015263N14148,2015,81,DUJUAN,2015-09-27 12:00:00,22.7,125.9,929.0,966.2051391601562,24.25,126.08756080611535,935.2759399414062,24.0,126.5
2015263N14148,2015,81,DUJUAN,2015-09-27 18:00:00,23.0,124.9,926.0,966.010498046875,25.0,125.83738707435718,936.8814086914062,24.5,125.5
2015263N14148,2015,81,DUJUAN,2015-09-28 00:00:00,23.3,123.9,929.0,969.8839111328125,25.5,125.0868658790827,930.3845825195312,25.0,124.5
2015263N14148,2015,81,DUJUAN,2015-09-28 06:00:00,24.0,122.9,933.0,967.361083984375,26.0,124.58651841556636,942.2106323242188,25.5,123.5
2015263N14148,2015,81,DUJUAN,2015-09-28 12:00:00,24.2,121.1,948.0,966.9365844726562,27.0,124.08617095205003,949.9093017578125,26.0,122.0
2015263N14148,2015,81,DUJUAN,2015-09-28 18:00:00,24.2,120.1,956.0,971.0840454101562,27.5,124.08617095205003,964.404541015625,26.0,121.0
2015263N14148,2015,81,DUJUAN,2015-09-29 00:00:00,25.0,119.1,967.0,973.2824096679688,28.0,123.83599722029186,976.8844604492188,26.0,120.0
2015263N14148,2015,81,DUJUAN,2015-09-29 06:00:00,25.5,117.8,982.0,970.1441650390625,29.0,124.08617095205003,998.4385375976562,26.0,118.5
2015263N14148,2015,81,DUJUAN,2015-09-29 12:00:00,26.3,116.6,989.0,972.227294921875,29.25,124.08617095205003,1004.4216918945312,26.0,117.0
