SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2020244N25146,2020,66,HAISHEN,2020-09-01 18:00:00,19.9,143.4,997.0,996.419921875,20.5,143.0993745656706,987.8302612304688,20.0,143.0
2020244N25146,2020,66,HAISHEN,2020-09-02 00:00:00,19.4,142.4,990.0,996.9201049804688,20.25,142.09867963863792,988.678955078125,20.0,142.5
2020244N25146,2020,66,HAISHEN,2020-09-02 06:00:00,19.3,141.4,985.0,994.2092895507812,20.0,141.84850590687978,979.8956909179688,20.0,141.5
2020244N25146,2020,66,HAISHEN,2020-09-02 12:00:00,19.6,140.4,988.0,992.9386596679688,20.0,140.8478109798471,978.3251342773438,20.0,141.0
2020244N25146,2020,66,HAISHEN,2020-09-02 18:00:00,20.0,139.4,980.0,986.651611328125,20.25,140.0972897845726,969.8897094726562,20.0,140.0
2020244N25146,2020,66,HAISHEN,2020-09-03 00:00:00,20.2,138.4,968.0,985.95361328125,20.25,139.09659485753994,954.721923828125,20.5,139.0
2020244N25146,2020,66,HAISHEN,2020-09-03 06:00:00,20.6,137.6,955.0,980.2808837890625,20.5,138.0958999305073,947.8339233398438,21.0,138.0
2020244N25146,2020,66,HAISHEN,2020-09-03 12:00:00,21.0,136.6,944.0,980.6094360351562,20.75,137.59555246699097,954.08984375,21.0,137.5
2020244N25146,2020,66,HAISHEN,2020-09-03 18:00:00,21.2,135.8,934.0,976.36279296875,21.25,136.84503127171646,932.7332763671875,21.5,136.5
2020244N25146,2020,66,HAISHEN,2020-09-04 00:00:00,21.7,135.1,926.0,973.393310546875,21.25,136.09451007644196,936.3984985351562,22.0,136.0
2020244N25146,2020,66,HAISHEN,2020-09-04 06:00:00,22.2,134.3,915.0,971.3982543945312,22.0,135.0938151494093,928.7863159179688,22.5,135.5
2020244N25146,2020,66,HAISHEN,2020-09-04 12:00:00,22.7,133.5,916.0,966.7525024414062,22.0,134.09312022237663,930.8323364257812,23.0,134.5
2020244N25146,2020,66,HAISHEN,2020-09-04 18:00:00,23.3,132.6,913.0,965.09326171875,22.75,133.8429464906185,930.0348510742188,23.5,134.0
2020244N25146,2020,66,HAISHEN,2020-09-05 00:00:00,24.0,132.0,920.0,964.4285278320312,23.25,132.84225156358582,928.14306640625,24.0,133.0
2020244N25146,2020,66,HAISHEN,2020-09-05 06:00:00,24.7,131.5,922.0,961.7254028320312,24.0,132.09173036831132,918.85205078125,24.5,132.5
2020244N25146,2020,66,HAISHEN,2020-09-05 12:00:00,25.4,131.0,931.0,961.3499145507812,25.0,131.84155663655315,917.2979736328125,25.5,132.0
2020244N25146,2020,66,HAISHEN,2020-09-05 18:00:00,26.4,130.8,934.0,959.7421875,26.0,130.84086170952048,913.572021484375,26.5,131.5
2020244N25146,2020,66,HAISHEN,2020-09-06 00:00:00,27.7,130.5,936.0,962.2626342773438,27.25,130.84086170952048,914.6970825195312,28.0,131.0
2020244N25146,2020,66,HAISHEN,2020-09-06 06:00:00,29.4,130.0,944.0,965.9302978515625,29.25,130.59068797776231,913.4119262695312,30.0,130.5
2020244N25146,2020,66,HAISHEN,2020-09-06 12:00:00,31.0,129.4,945.0,969.1517333984375,31.25,129.84016678248784,929.5635375976562,31.5,129.5
2020244N25146,2020,66,HAISHEN,2020-09-06 18:00:00,33.0,129.1,952.0,973.433837890625,33.25,129.08964558721334,935.1986083984375,34.0,128.5
2020244N25146,2020,66,HAISHEN,2020-09-07 00:00:00,35.5,129.2,958.0,980.7489013671875,35.0,129.08964558721334,959.2984619140625,36.0,127.5
2020244N25146,2020,66,HAISHEN,2020-09-07 06:00:00,38.4,129.0,973.0,983.1760864257812,37.0,129.58999305072967,970.3712768554688,38.0,127.0
2020244N25146,2020,66,HAISHEN,2020-09-07 12:00:00,40.0,128.9,981.0,983.8418579101562,39.0,128.83947185545517,979.615234375,39.5,125.5
2020244N25146,2020,66,HAISHEN,2020-09-07 18:00:00,42.5,128.7,982.0,987.9122924804688,40.5,129.84016678248784,985.58837890625,41.0,124.5
