SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2015038N08158,2015,9,HIGOS,2015-02-08 06:00:00,12.1,157.1,985.0,,12.1,157.1,999.9429931640625,11.5,157.0
2015038N08158,2015,9,HIGOS,2015-02-08 12:00:00,12.1,156.9,982.0,,12.1,156.9,999.9429931640625,11.5,157.0
2015038N08158,2015,9,HIGOS,2015-02-08 18:00:00,12.1,156.7,978.0,997.5714721679688,12.0,156.8589298123697,998.07373046875,11.5,157.0
2015038N08158,2015,9,HIGOS,2015-02-09 00:00:00,12.2,156.5,974.0,999.322509765625,12.0,156.8589298123697,1000.169677734375,11.5,156.5
2015038N08158,2015,9,HIGOS,2015-02-09 06:00:00,12.4,156.1,970.0,996.556396484375,12.5,156.35858234885336,998.401123046875,12.0,156.5
2015038N08158,2015,9,HIGOS,2015-02-09 12:00:00,12.6,155.7,967.0,996.8082275390625,12.75,156.1084086170952,1000.3485107421875,12.0,155.5
2015038N08158,2015,9,HIGOS,2015-02-09 18:00:00,13.0,155.2,959.0,994.2722778320312,13.0,155.85823488533703,997.6561889648438,12.5,155.0
2015038N08158,2015,9,HIGOS,2015-02-10 00:00:00,13.6,154.7,948.0,996.8978881835938,13.5,155.10771369006252,1001.0663452148438,13.0,154.0
2015038N08158,2015,9,HIGOS,2015-02-10 06:00:00,14.2,154.2,926.0,994.6607666015625,14.0,154.6073662265462,998.014892578125,13.5,153.5
2015038N08158,2015,9,HIGOS,2015-02-10 12:00:00,14.7,154.0,941.0,996.427978515625,14.5,154.10701876302988,1001.1444702148438,14.0,153.5
2015038N08158,2015,9,HIGOS,2015-02-10 18:00:00,15.1,153.6,959.0,995.4174194335938,15.0,154.10701876302988,999.0222778320312,15.0,153.0
2015038N08158,2015,9,HIGOS,2015-02-11 00:00:00,15.3,153.2,974.0,999.4807739257812,15.75,153.35649756775538,1002.5055541992188,15.5,152.5
2015038N08158,2015,9,HIGOS,2015-02-11 06:00:00,15.6,152.8,989.0,998.9888305664062,16.0,152.85615010423905,1000.672119140625,16.0,152.0
