SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2022239N22150,2022,61,HINNAMNOR,2022-08-28 00:00:00,25.0,150.3,999.0,,25.0,150.3,1010.2044677734375,24.0,149.0
2022239N22150,2022,61,HINNAMNOR,2022-08-28 18:00:00,27.2,146.9,996.0,1005.6010131835938,27.25,146.6018068102849,1006.9502563476562,27.0,146.5
2022239N22150,2022,61,HINNAMNOR,2022-08-29 00:00:00,27.3,145.3,988.0,1005.6377563476562,27.5,144.85059068797776,1007.6143188476562,27.5,145.0
2022239N22150,2022,61,HINNAMNOR,2022-08-29 06:00:00,27.4,143.2,978.0,1002.8707885742188,27.5,143.0993745656706,1005.7260131835938,28.0,143.0
2022239N22150,2022,61,HINNAMNOR,2022-08-29 12:00:00,27.3,141.2,959.0,1003.5655517578125,27.5,140.8478109798471,1006.3300170898438,27.5,141.0
2022239N22150,2022,61,HINNAMNOR,2022-08-29 18:00:00,27.1,139.2,942.0,1000.9112548828125,27.25,138.84642112578177,1003.17724609375,27.5,139.0
2022239N22150,2022,61,HINNAMNOR,2022-08-30 00:00:00,26.8,137.3,936.0,1001.0105590820312,27.0,136.84503127171646,1002.0186157226562,26.5,137.0
2022239N22150,2022,61,HINNAMNOR,2022-08-30 06:00:00,26.8,135.4,928.0,998.6378173828125,26.75,135.0938151494093,997.7828979492188,26.5,135.0
2022239N22150,2022,61,HINNAMNOR,2022-08-30 12:00:00,26.6,133.6,925.0,998.350830078125,26.5,133.34259902710215,995.1618041992188,26.0,133.5
2022239N22150,2022,61,HINNAMNOR,2022-08-30 18:00:00,26.3,131.9,929.0,995.53955078125,26.0,131.84155663655315,993.0245971679688,25.5,132.0
2022239N22150,2022,61,HINNAMNOR,2022-08-31 00:00:00,25.9,130.3,928.0,995.0037231445312,25.5,130.090340514246,987.9358520507812,25.0,130.5
2022239N22150,2022,61,HINNAMNOR,2022-08-31 06:00:00,25.4,129.0,932.0,991.9971313476562,24.75,128.83947185545517,986.8147583007812,24.5,129.5
2022239N22150,2022,61,HINNAMNOR,2022-08-31 12:00:00,24.7,127.7,925.0,991.8744506835938,24.0,128.08895066018067,977.1533813476562,23.5,128.5
2022239N22150,2022,61,HINNAMNOR,2022-08-31 18:00:00,23.7,126.4,921.0,989.6294555664062,23.25,127.088255733148,979.6961059570312,23.0,127.5
2022239N22150,2022,61,HINNAMNOR,2022-09-01 00:00:00,22.5,125.7,915.0,988.1123657226562,22.75,126.33773453787352,967.140625,22.0,126.5
2022239N22150,2022,61,HINNAMNOR,2022-09-01 06:00:00,21.8,125.5,919.0,985.6986083984375,22.0,125.83738707435718,962.0606079101562,21.5,126.0
2022239N22150,2022,61,HINNAMNOR,2022-09-01 12:00:00,21.3,125.5,935.0,984.6695556640625,21.5,125.0868658790827,967.4305419921875,21.0,125.5
2022239N22150,2022,61,HINNAMNOR,2022-09-01 18:00:00,21.3,125.5,942.0,982.5286865234375,21.25,125.0868658790827,962.7704467773438,21.0,125.0
2022239N22150,2022,61,HINNAMNOR,2022-09-02 00:00:00,21.5,125.4,956.0,983.1997680664062,21.25,125.0868658790827,962.3094482421875,21.0,125.0
2022239N22150,2022,61,HINNAMNOR,2022-09-02 06:00:00,21.9,125.0,964.0,981.8040771484375,21.25,125.0868658790827,963.580322265625,21.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-02 12:00:00,22.2,124.7,966.0,982.822998046875,21.5,124.83669214732453,961.64208984375,21.0,124.5
2022239N22150,2022,61,HINNAMNOR,2022-09-02 18:00:00,22.5,124.7,971.0,980.5731201171875,22.0,124.83669214732453,965.3114013671875,21.5,124.0
2022239N22150,2022,61,HINNAMNOR,2022-09-03 00:00:00,23.0,124.7,963.0,982.30224609375,22.0,124.58651841556636,962.3304443359375,21.5,124.0
2022239N22150,2022,61,HINNAMNOR,2022-09-03 06:00:00,23.7,124.7,959.0,981.0572509765625,22.75,124.33634468380819,959.5307006835938,22.0,124.0
2022239N22150,2022,61,HINNAMNOR,2022-09-03 12:00:00,24.3,124.8,952.0,983.4757080078125,23.25,124.08617095205003,958.68603515625,22.0,123.5
2022239N22150,2022,61,HINNAMNOR,2022-09-03 18:00:00,25.1,124.6,952.0,983.6568603515625,23.75,123.33564975677552,958.5820922851562,22.5,123.5
2022239N22150,2022,61,HINNAMNOR,2022-09-04 00:00:00,26.0,124.6,945.0,985.7166137695312,24.0,122.58512856150104,960.8683471679688,22.5,123.0
2022239N22150,2022,61,HINNAMNOR,2022-09-04 06:00:00,27.0,124.7,944.0,986.9678344726562,24.0,122.0847810979847,960.8683471679688,22.5,123.0
2022239N22150,2022,61,HINNAMNOR,2022-09-04 12:00:00,27.7,124.6,941.0,989.1741943359375,24.25,120.58373870743571,960.8683471679688,22.5,123.0
