SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2018082N04147,2018,16,JELAWAT,2018-03-28 12:00:00,14.4,135.3,994.0,,14.4,135.3,991.0953979492188,14.5,135.5
2018082N04147,2018,16,JELAWAT,2018-03-28 18:00:00,15.1,135.3,990.0,989.384765625,15.0,135.0938151494093,988.4631958007812,15.0,135.5
2018082N04147,2018,16,JELAWAT,2018-03-29 00:00:00,15.3,135.4,990.0,992.7050170898438,15.0,135.59416261292563,990.4890747070312,15.0,135.5
2018082N04147,2018,16,JELAWAT,2018-03-29 06:00:00,15.3,135.7,989.0,990.6917114257812,15.5,135.8443363446838,987.3576049804688,15.0,135.5
2018082N04147,2018,16,JELAWAT,2018-03-29 12:00:00,15.3,136.2,986.0,993.2584228515625,15.75,135.8443363446838,988.1055297851562,15.5,136.0
2018082N04147,2018,16,JELAWAT,2018-03-29 18:00:00,15.4,136.8,977.0,990.099365234375,16.0,136.09451007644196,977.1392211914062,15.5,136.0
2018082N04147,2018,16,JELAWAT,2018-03-30 00:00:00,15.7,137.3,963.0,992.3077392578125,16.25,136.34468380820013,986.8682250976562,15.5,136.0
2018082N04147,2018,16,JELAWAT,2018-03-30 06:00:00,16.2,138.1,942.0,990.5238037109375,16.5,136.84503127171646,989.0165405273438,16.0,136.0
2018082N04147,2018,16,JELAWAT,2018-03-30 12:00:00,16.8,139.0,926.0,993.6043701171875,17.25,137.84572619874913,990.8978881835938,16.0,136.5
2018082N04147,2018,16,JELAWAT,2018-03-30 18:00:00,17.5,139.8,936.0,992.7078247070312,17.75,138.0958999305073,991.6754150390625,16.0,136.5
2018082N04147,2018,16,JELAWAT,2018-03-31 00:00:00,18.1,140.8,955.0,995.17578125,18.25,138.84642112578177,994.5537719726562,16.0,137.0
2018082N04147,2018,16,JELAWAT,2018-03-31 06:00:00,18.6,141.5,974.0,993.1802978515625,19.0,139.09659485753994,992.1453857421875,16.5,137.0
2018082N04147,2018,16,JELAWAT,2018-03-31 12:00:00,18.9,142.4,984.0,995.7451782226562,19.25,139.84711605281444,995.40478515625,17.0,138.0
2018082N04147,2018,16,JELAWAT,2018-03-31 18:00:00,19.0,143.5,989.0,994.6405639648438,19.25,140.0972897845726,992.39599609375,17.5,137.5
2018082N04147,2018,16,JELAWAT,2018-04-01 00:00:00,19.3,144.9,993.0,997.6398315429688,19.25,140.8478109798471,995.031005859375,18.0,137.0
2018082N04147,2018,16,JELAWAT,2018-04-01 06:00:00,19.7,145.9,992.0,995.0632934570312,19.5,141.5983321751216,993.5318603515625,17.5,137.0
2018082N04147,2018,16,JELAWAT,2018-04-01 12:00:00,19.9,146.8,991.0,997.2129516601562,19.5,141.84850590687978,995.6296997070312,17.0,137.5
2018082N04147,2018,16,JELAWAT,2018-04-01 18:00:00,19.9,147.8,994.0,996.867919921875,19.5,142.84920083391242,995.11474609375,17.5,138.0
2018082N04147,2018,16,JELAWAT,2018-04-02 00:00:00,19.9,148.6,993.0,1000.934326171875,19.5,143.34954829742875,998.4915771484375,17.5,138.0
2018082N04147,2018,16,JELAWAT,2018-04-02 06:00:00,19.8,149.3,996.0,999.3046264648438,19.75,144.10006949270326,997.0970458984375,17.5,138.0
2018082N04147,2018,16,JELAWAT,2018-04-02 12:00:00,19.7,150.1,996.0,1002.5369262695312,19.5,144.35024322446142,1000.4781494140625,17.5,138.5
