SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023207N09141,2023,34,KHANUN,2023-07-29 12:00:00,16.9,133.4,990.0,,16.9,133.4,988.4232177734375,17.0,133.5
2023207N09141,2023,34,KHANUN,2023-07-29 18:00:00,17.7,133.1,988.0,984.7407836914062,18.25,133.34259902710215,981.9081420898438,18.0,133.5
2023207N09141,2023,34,KHANUN,2023-07-30 00:00:00,18.7,132.8,984.0,983.3499145507812,19.0,133.092425295344,980.1417846679688,19.0,133.0
2023207N09141,2023,34,KHANUN,2023-07-30 06:00:00,19.7,132.6,978.0,979.2075805664062,20.0,132.84225156358582,975.875244140625,20.5,132.5
2023207N09141,2023,34,KHANUN,2023-07-30 12:00:00,20.3,132.4,964.0,979.0809326171875,21.25,132.59207783182765,974.9723510742188,21.0,132.0
2023207N09141,2023,34,KHANUN,2023-07-30 18:00:00,21.1,132.2,950.0,974.1910400390625,22.75,132.09173036831132,971.5242309570312,22.0,132.0
2023207N09141,2023,34,KHANUN,2023-07-31 00:00:00,22.0,132.0,949.0,976.0193481445312,23.75,131.59138290479498,970.3445434570312,23.0,131.5
2023207N09141,2023,34,KHANUN,2023-07-31 06:00:00,22.8,131.5,945.0,970.845947265625,25.0,130.84086170952048,967.552001953125,24.5,130.5
2023207N09141,2023,34,KHANUN,2023-07-31 12:00:00,23.4,131.0,940.0,972.429931640625,26.0,130.090340514246,965.2782592773438,25.0,129.5
2023207N09141,2023,34,KHANUN,2023-07-31 18:00:00,24.1,130.3,937.0,973.3733520507812,27.0,128.08895066018067,965.838623046875,26.5,128.5
2023207N09141,2023,34,KHANUN,2023-08-01 00:00:00,24.6,129.4,931.0,977.3673706054688,27.5,126.83808200138985,966.6456909179688,27.0,127.0
2023207N09141,2023,34,KHANUN,2023-08-01 06:00:00,25.0,128.7,924.0,976.4483032226562,28.0,125.83738707435718,964.3864135742188,27.5,125.5
2023207N09141,2023,34,KHANUN,2023-08-01 12:00:00,25.3,128.0,927.0,978.0452270507812,28.75,124.33634468380819,963.963623046875,27.5,125.0
2023207N09141,2023,34,KHANUN,2023-08-01 18:00:00,25.5,127.4,935.0,979.4907836914062,29.25,123.58582348853369,962.1621704101562,28.0,124.0
2023207N09141,2023,34,KHANUN,2023-08-02 00:00:00,25.8,126.9,941.0,978.831787109375,30.0,122.58512856150104,959.8965454101562,28.5,123.5
2023207N09141,2023,34,KHANUN,2023-08-02 06:00:00,26.1,126.1,942.0,979.6425170898438,30.75,122.0847810979847,959.5020141601562,29.0,122.5
2023207N09141,2023,34,KHANUN,2023-08-02 12:00:00,26.2,125.6,943.0,980.6317749023438,31.25,120.83391243919388,971.9605712890625,29.0,121.0
2023207N09141,2023,34,KHANUN,2023-08-02 18:00:00,26.5,125.0,943.0,981.4584350585938,32.0,120.08339124391938,979.2003784179688,29.5,120.0
2023207N09141,2023,34,KHANUN,2023-08-03 00:00:00,26.6,124.7,947.0,983.8201293945312,32.0,119.83321751216121,984.0762329101562,30.0,119.5
2023207N09141,2023,34,KHANUN,2023-08-03 06:00:00,26.7,124.3,950.0,984.43212890625,32.75,119.58304378040305,986.3353881835938,30.0,118.5
2023207N09141,2023,34,KHANUN,2023-08-03 12:00:00,26.7,124.2,953.0,985.6162719726562,33.0,119.33287004864488,988.4677124023438,30.5,118.0
2023207N09141,2023,34,KHANUN,2023-08-03 18:00:00,26.9,124.3,967.0,986.6182861328125,33.0,119.08269631688671,989.0496215820312,30.5,117.5
2023207N09141,2023,34,KHANUN,2023-08-04 00:00:00,27.0,124.5,971.0,987.2566528320312,33.25,118.83252258512856,989.4676513671875,31.0,118.0
2023207N09141,2023,34,KHANUN,2023-08-04 06:00:00,27.2,125.1,972.0,987.3814697265625,33.5,118.83252258512856,988.7800903320312,30.5,117.0
2023207N09141,2023,34,KHANUN,2023-08-04 12:00:00,27.5,125.7,974.0,987.746337890625,33.5,118.83252258512856,989.811767578125,30.5,117.0
2023207N09141,2023,34,KHANUN,2023-08-04 18:00:00,27.7,126.4,975.0,987.7661743164062,33.75,118.33217512161222,989.8291625976562,30.5,116.5
