SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023271N14144,2023,65,KOINU,2023-09-30 12:00:00,16.4,130.7,996.0,,16.4,130.7,997.584228515625,16.5,130.0
2023271N14144,2023,65,KOINU,2023-09-30 18:00:00,16.9,130.1,995.0,991.5990600585938,16.5,129.84016678248784,995.0802612304688,17.0,130.0
2023271N14144,2023,65,KOINU,2023-10-01 00:00:00,17.4,129.5,990.0,992.0267944335938,17.0,129.3398193189715,995.5438842773438,17.0,129.5
2023271N14144,2023,65,KOINU,2023-10-01 06:00:00,17.9,128.9,984.0,988.7826538085938,18.0,128.83947185545517,991.6521606445312,18.0,129.0
2023271N14144,2023,65,KOINU,2023-10-01 12:00:00,18.3,128.5,977.0,989.2362670898438,18.25,128.08895066018067,991.16162109375,18.5,128.5
2023271N14144,2023,65,KOINU,2023-10-01 18:00:00,18.7,128.0,973.0,985.0655517578125,19.0,127.8387769284225,988.8792724609375,19.0,128.0
2023271N14144,2023,65,KOINU,2023-10-02 00:00:00,19.2,127.3,953.0,985.3819580078125,19.25,126.83808200138985,987.9967041015625,19.0,127.5
2023271N14144,2023,65,KOINU,2023-10-02 06:00:00,19.6,126.6,950.0,982.1431274414062,19.5,126.58790826963168,984.3546142578125,19.5,127.0
2023271N14144,2023,65,KOINU,2023-10-02 12:00:00,19.9,126.2,939.0,980.9201049804688,20.0,126.08756080611535,985.3267211914062,19.5,126.5
2023271N14144,2023,65,KOINU,2023-10-02 18:00:00,20.2,125.5,946.0,979.08837890625,20.0,125.58721334259901,982.177978515625,20.0,125.5
2023271N14144,2023,65,KOINU,2023-10-03 00:00:00,20.5,125.1,949.0,977.680419921875,20.5,125.0868658790827,983.2298583984375,20.0,125.0
2023271N14144,2023,65,KOINU,2023-10-03 06:00:00,21.2,124.9,955.0,975.6688842773438,21.0,124.58651841556636,977.6771240234375,20.5,124.5
2023271N14144,2023,65,KOINU,2023-10-03 12:00:00,21.7,124.6,957.0,977.713134765625,21.25,124.08617095205003,979.525390625,21.0,124.5
2023271N14144,2023,65,KOINU,2023-10-03 18:00:00,22.0,124.1,963.0,979.2249145507812,21.75,123.33564975677552,976.7879638671875,21.0,123.5
2023271N14144,2023,65,KOINU,2023-10-04 00:00:00,22.2,123.5,948.0,981.8505249023438,22.0,122.58512856150104,974.710205078125,21.0,123.0
2023271N14144,2023,65,KOINU,2023-10-04 06:00:00,22.1,122.7,940.0,986.4584350585938,22.0,122.0847810979847,965.5452270507812,21.0,122.0
2023271N14144,2023,65,KOINU,2023-10-04 12:00:00,22.0,122.0,936.0,992.1878051757812,22.25,120.83391243919388,971.3008422851562,21.0,121.0
2023271N14144,2023,65,KOINU,2023-10-04 18:00:00,21.9,121.3,936.0,993.377197265625,22.75,120.33356497567755,964.0100708007812,21.0,120.0
2023271N14144,2023,65,KOINU,2023-10-05 00:00:00,22.0,120.8,947.0,994.6875610351562,22.75,119.83321751216121,972.4022827148438,21.0,119.0
2023271N14144,2023,65,KOINU,2023-10-05 06:00:00,22.1,120.0,961.0,994.003662109375,23.0,119.58304378040305,958.8634643554688,21.0,118.5
2023271N14144,2023,65,KOINU,2023-10-05 12:00:00,22.0,119.1,971.0,998.9073486328125,23.0,119.08269631688671,955.71533203125,21.0,117.5
2023271N14144,2023,65,KOINU,2023-10-05 18:00:00,21.9,118.4,979.0,1000.1289672851562,23.25,118.33217512161222,955.7747802734375,21.0,116.5
2023271N14144,2023,65,KOINU,2023-10-06 00:00:00,21.8,117.7,965.0,1003.2262573242188,23.25,118.08200138985406,968.1553344726562,21.5,116.0
2023271N14144,2023,65,KOINU,2023-10-06 06:00:00,21.7,116.9,956.0,1004.262451171875,23.25,117.83182765809589,953.64599609375,21.5,115.0
2023271N14144,2023,65,KOINU,2023-10-06 12:00:00,21.4,116.3,957.0,1006.7568969726562,23.25,117.58165392633772,964.08984375,21.5,114.5
2023271N14144,2023,65,KOINU,2023-10-06 18:00:00,21.2,115.7,953.0,1007.7279663085938,23.25,117.0813064628214,973.1251831054688,21.5,114.0
2023271N14144,2023,65,KOINU,2023-10-07 00:00:00,21.1,115.4,958.0,1010.475830078125,23.25,117.0813064628214,975.8922729492188,21.5,113.5
2023271N14144,2023,65,KOINU,2023-10-07 06:00:00,21.2,115.2,953.0,1010.3959350585938,22.75,116.3307852675469,985.9080200195312,21.5,113.0
2023271N14144,2023,65,KOINU,2023-10-07 12:00:00,21.3,115.1,957.0,1011.3245849609375,22.25,116.08061153578873,987.5602416992188,21.5,112.5
2023271N14144,2023,65,KOINU,2023-10-07 18:00:00,21.4,114.9,968.0,1011.004150390625,18.25,115.33009034051423,987.5602416992188,21.5,112.5
