SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2024299N14145,2024,77,KONG-REY,2024-10-27 18:00:00,16.7,130.5,991.0,986.3033447265625,17.0,131.09103544127865,985.989013671875,17.0,130.5
2024299N14145,2024,77,KONG-REY,2024-10-28 00:00:00,16.8,129.0,986.0,988.5775146484375,17.5,129.58999305072967,987.370849609375,17.0,129.5
2024299N14145,2024,77,KONG-REY,2024-10-28 06:00:00,16.6,128.9,984.0,984.6830444335938,17.25,128.33912439193884,983.0572509765625,17.0,129.0
2024299N14145,2024,77,KONG-REY,2024-10-28 12:00:00,16.7,128.4,980.0,983.7706298828125,17.25,127.8387769284225,984.33740234375,17.0,128.5
2024299N14145,2024,77,KONG-REY,2024-10-28 18:00:00,17.2,127.9,979.0,980.9502563476562,17.75,127.088255733148,980.9085693359375,18.0,127.5
2024299N14145,2024,77,KONG-REY,2024-10-29 00:00:00,17.4,127.2,971.0,981.0780639648438,18.0,126.08756080611535,980.1978759765625,18.0,127.0
2024299N14145,2024,77,KONG-REY,2024-10-29 06:00:00,17.8,126.5,958.0,976.7601318359375,18.0,125.83738707435718,972.6292724609375,18.5,126.0
2024299N14145,2024,77,KONG-REY,2024-10-29 12:00:00,18.5,126.1,945.0,973.9441528320312,18.25,125.0868658790827,974.99658203125,19.0,125.0
2024299N14145,2024,77,KONG-REY,2024-10-29 18:00:00,18.8,125.5,931.0,969.5687255859375,18.5,124.58651841556636,969.946533203125,19.5,125.0
2024299N14145,2024,77,KONG-REY,2024-10-30 00:00:00,19.1,124.9,927.0,967.3961181640625,19.0,124.08617095205003,967.787109375,19.5,124.5
2024299N14145,2024,77,KONG-REY,2024-10-30 06:00:00,19.8,124.2,932.0,968.306396484375,19.0,123.58582348853369,965.2494506835938,20.0,124.0
2024299N14145,2024,77,KONG-REY,2024-10-30 12:00:00,20.4,123.6,934.0,967.838134765625,19.25,122.8353022932592,964.9946899414062,20.0,123.5
2024299N14145,2024,77,KONG-REY,2024-10-30 18:00:00,21.0,122.8,934.0,967.2998657226562,19.75,122.0847810979847,964.1875610351562,21.0,123.0
2024299N14145,2024,77,KONG-REY,2024-10-31 00:00:00,22.0,122.2,938.0,971.7810668945312,20.0,121.3342599027102,966.303466796875,21.5,122.5
2024299N14145,2024,77,KONG-REY,2024-10-31 06:00:00,23.1,121.3,947.0,970.582275390625,21.0,120.33356497567755,967.296142578125,22.5,121.5
2024299N14145,2024,77,KONG-REY,2024-10-31 12:00:00,24.0,120.2,954.0,978.233642578125,21.5,120.08339124391938,979.6058349609375,23.5,120.0
2024299N14145,2024,77,KONG-REY,2024-10-31 18:00:00,25.2,120.1,980.0,982.6534423828125,23.0,119.08269631688671,985.3878784179688,24.0,120.0
2024299N14145,2024,77,KONG-REY,2024-11-01 00:00:00,26.7,120.6,983.0,989.383544921875,24.0,118.83252258512856,991.7603759765625,25.0,119.5
2024299N14145,2024,77,KONG-REY,2024-11-01 06:00:00,28.3,121.4,990.0,996.6663818359375,26.0,118.08200138985406,998.4723510742188,26.0,119.5
2024299N14145,2024,77,KONG-REY,2024-11-01 12:00:00,30.5,123.2,990.0,1003.2345581054688,27.0,118.33217512161222,1006.147705078125,26.5,120.0
2024299N14145,2024,77,KONG-REY,2024-11-01 18:00:00,32.2,126.1,998.0,1006.086669921875,28.0,119.08269631688671,1008.6849365234375,27.0,121.0
