SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2007274N18131,2007,68,KROSA,2007-10-01 18:00:00,17.0,130.9,996.0,992.1497802734375,16.5,130.59068797776231,993.99609375,17.5,130.0
2007274N18131,2007,68,KROSA,2007-10-02 00:00:00,16.7,131.2,993.0,990.3912353515625,16.5,131.09103544127865,994.230712890625,17.5,130.0
2007274N18131,2007,68,KROSA,2007-10-02 06:00:00,16.6,131.5,978.0,984.6115112304688,16.5,131.09103544127865,990.5982666015625,17.5,130.0
2007274N18131,2007,68,KROSA,2007-10-02 12:00:00,16.7,131.3,974.0,983.464599609375,16.25,131.09103544127865,989.7263793945312,17.0,130.0
2007274N18131,2007,68,KROSA,2007-10-02 18:00:00,16.8,130.8,967.0,980.8967895507812,16.25,131.09103544127865,984.890625,17.0,129.5
2007274N18131,2007,68,KROSA,2007-10-03 00:00:00,17.0,130.3,963.0,981.7293090820312,16.75,130.59068797776231,984.8548583984375,17.0,129.5
2007274N18131,2007,68,KROSA,2007-10-03 06:00:00,17.2,129.9,956.0,977.383056640625,17.0,130.090340514246,981.036376953125,17.0,129.0
2007274N18131,2007,68,KROSA,2007-10-03 12:00:00,17.7,129.3,948.0,981.955322265625,17.5,129.3398193189715,979.3223266601562,17.0,129.0
2007274N18131,2007,68,KROSA,2007-10-03 18:00:00,18.3,128.8,937.0,978.650634765625,18.0,128.83947185545517,974.6341552734375,17.5,128.5
2007274N18131,2007,68,KROSA,2007-10-04 00:00:00,18.6,128.0,933.0,977.7530517578125,18.25,128.08895066018067,974.29345703125,18.0,128.0
2007274N18131,2007,68,KROSA,2007-10-04 06:00:00,19.2,127.4,933.0,976.21484375,19.0,127.58860319666434,970.340576171875,18.5,127.5
2007274N18131,2007,68,KROSA,2007-10-04 12:00:00,19.9,126.7,933.0,976.3956909179688,19.25,126.83808200138985,970.8155517578125,18.5,127.0
2007274N18131,2007,68,KROSA,2007-10-04 18:00:00,20.2,125.8,929.0,972.7476806640625,20.0,126.08756080611535,966.7136840820312,19.0,126.5
2007274N18131,2007,68,KROSA,2007-10-05 00:00:00,20.4,125.3,926.0,971.0531005859375,20.25,126.08756080611535,966.904052734375,19.5,126.0
2007274N18131,2007,68,KROSA,2007-10-05 06:00:00,21.0,125.0,926.0,969.1874389648438,21.0,125.0868658790827,963.3109130859375,20.0,125.5
2007274N18131,2007,68,KROSA,2007-10-05 12:00:00,21.8,124.8,926.0,969.9346923828125,21.25,124.83669214732453,963.4573974609375,20.5,125.0
2007274N18131,2007,68,KROSA,2007-10-05 18:00:00,22.8,124.1,926.0,967.4611206054688,22.0,124.33634468380819,963.9347534179688,21.0,124.5
2007274N18131,2007,68,KROSA,2007-10-06 00:00:00,23.7,123.5,929.0,965.5703125,22.5,124.08617095205003,968.6602172851562,22.0,124.0
2007274N18131,2007,68,KROSA,2007-10-06 06:00:00,24.5,122.2,929.0,967.1436157226562,23.25,124.08617095205003,967.9099731445312,22.5,123.5
2007274N18131,2007,68,KROSA,2007-10-06 12:00:00,24.3,121.9,937.0,966.947265625,24.0,122.8353022932592,970.2422485351562,23.0,122.5
2007274N18131,2007,68,KROSA,2007-10-06 18:00:00,25.5,121.1,956.0,970.3634643554688,24.25,122.0847810979847,975.2090454101562,23.0,121.5
2007274N18131,2007,68,KROSA,2007-10-07 00:00:00,25.9,120.6,967.0,977.3887329101562,24.25,122.0847810979847,977.6834106445312,24.0,122.0
2007274N18131,2007,68,KROSA,2007-10-07 06:00:00,26.8,120.5,985.0,979.9684448242188,25.0,122.0847810979847,977.4024047851562,24.5,120.5
2007274N18131,2007,68,KROSA,2007-10-07 12:00:00,27.4,120.2,989.0,983.9832153320312,26.0,121.3342599027102,981.1144409179688,25.0,121.0
2007274N18131,2007,68,KROSA,2007-10-07 18:00:00,27.6,120.1,989.0,987.540283203125,26.75,121.08408617095205,981.6931762695312,25.0,120.5
2007274N18131,2007,68,KROSA,2007-10-08 00:00:00,27.8,120.2,993.0,992.7510986328125,27.0,121.08408617095205,984.210693359375,25.5,121.0
