SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2023218N25145,2023,38,LAN,2023-08-09 00:00:00,24.2,146.9,985.0,,24.2,146.9,990.9265747070312,24.0,147.0
2023218N25145,2023,38,LAN,2023-08-09 06:00:00,24.5,146.0,981.0,987.9324340820312,24.5,146.35163307852673,986.940673828125,24.5,146.0
2023218N25145,2023,38,LAN,2023-08-09 12:00:00,24.8,145.3,981.0,988.8590087890625,24.5,145.85128561501043,986.9854736328125,24.5,145.0
2023218N25145,2023,38,LAN,2023-08-09 18:00:00,25.0,144.6,977.0,986.1769409179688,25.0,144.85059068797776,983.9335327148438,25.0,144.5
2023218N25145,2023,38,LAN,2023-08-10 00:00:00,25.2,143.9,968.0,986.1810913085938,25.25,144.10006949270326,982.2183837890625,25.0,143.5
2023218N25145,2023,38,LAN,2023-08-10 06:00:00,25.5,143.5,961.0,985.5299072265625,25.5,144.10006949270326,979.5964965820312,25.5,143.0
2023218N25145,2023,38,LAN,2023-08-10 12:00:00,25.9,143.2,956.0,985.9717407226562,25.75,143.59972202918692,977.43701171875,25.5,143.0
2023218N25145,2023,38,LAN,2023-08-10 18:00:00,26.3,142.9,941.0,983.1939697265625,26.0,143.59972202918692,975.5926513671875,26.0,143.0
2023218N25145,2023,38,LAN,2023-08-11 00:00:00,26.8,142.9,932.0,982.8258666992188,27.0,144.10006949270326,976.4654541015625,26.0,143.0
2023218N25145,2023,38,LAN,2023-08-11 06:00:00,27.4,142.9,936.0,981.0106201171875,28.0,144.10006949270326,973.55419921875,27.0,143.0
2023218N25145,2023,38,LAN,2023-08-11 12:00:00,27.9,142.6,943.0,979.993896484375,28.75,144.10006949270326,974.641357421875,27.5,143.0
2023218N25145,2023,38,LAN,2023-08-11 18:00:00,28.2,142.4,956.0,978.1419677734375,29.75,144.10006949270326,973.9600830078125,28.5,143.0
2023218N25145,2023,38,LAN,2023-08-12 00:00:00,28.5,141.8,964.0,980.5606079101562,30.75,144.10006949270326,974.4918823242188,29.0,142.0
2023218N25145,2023,38,LAN,2023-08-12 06:00:00,28.9,141.4,966.0,978.4607543945312,31.75,142.84920083391242,971.0831909179688,30.0,141.5
2023218N25145,2023,38,LAN,2023-08-12 12:00:00,29.1,140.7,970.0,976.7088012695312,32.25,142.59902710215425,971.074462890625,30.5,140.5
2023218N25145,2023,38,LAN,2023-08-12 18:00:00,29.3,140.0,970.0,974.7483520507812,33.25,142.09867963863792,970.1798706054688,31.0,139.5
2023218N25145,2023,38,LAN,2023-08-13 00:00:00,29.8,139.6,966.0,977.932861328125,34.25,142.09867963863792,971.6565551757812,32.0,139.0
2023218N25145,2023,38,LAN,2023-08-13 06:00:00,30.3,138.9,962.0,978.6746215820312,35.75,142.09867963863792,971.371337890625,32.5,138.5
2023218N25145,2023,38,LAN,2023-08-13 12:00:00,30.8,138.5,959.0,981.6621704101562,37.0,142.09867963863792,973.177978515625,33.0,138.0
2023218N25145,2023,38,LAN,2023-08-13 18:00:00,31.3,138.0,958.0,981.6618041992188,38.0,142.09867963863792,974.5501708984375,34.0,137.5
2023218N25145,2023,38,LAN,2023-08-14 00:00:00,31.8,137.5,955.0,983.5599365234375,38.75,142.09867963863792,980.8826293945312,34.5,137.5
2023218N25145,2023,38,LAN,2023-08-14 06:00:00,32.3,136.9,959.0,984.8601684570312,39.5,143.0993745656706,986.0963134765625,37.0,137.5
