SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018221N17112,2018,59,BEBINCA,2018-08-10 12:00:00,20.5,111.7,997.0
2018221N17112,2018,59,BEBINCA,2018-08-10 18:00:00,20.8,111.9,997.0
2018221N17112,2018,59,BEBINCA,2018-08-11 00:00:00,21.3,112.1,997.0
2018221N17112,2018,59,BEBINCA,2018-08-11 06:00:00,21.9,112.1,996.0
2018221N17112,2018,59,BEBINCA,2018-08-11 12:00:00,21.6,111.7,995.0
2018221N17112,2018,59,BEBINCA,2018-08-11 18:00:00,21.3,111.5,994.0
2018221N17112,2018,59,BEBINCA,2018-08-12 00:00:00,21.1,111.9,994.0
2018221N17112,2018,59,BEBINCA,2018-08-12 06:00:00,21.0,112.2,993.0
2018221N17112,2018,59,BEBINCA,2018-08-12 12:00:00,20.6,112.3,991.0
2018221N17112,2018,59,BEBINCA,2018-08-12 18:00:00,20.6,112.6,991.0
2018221N17112,2018,59,BEBINCA,2018-08-13 00:00:00,20.6,112.9,989.0
2018221N17112,2018,59,BEBINCA,2018-08-13 06:00:00,20.6,113.2,989.0
2018221N17112,2018,59,BEBINCA,2018-08-13 12:00:00,20.6,113.4,989.0
2018221N17112,2018,59,BEBINCA,2018-08-13 18:00:00,20.6,113.6,989.0
2018221N17112,2018,59,BEBINCA,2018-08-14 00:00:00,20.8,113.8,988.0
2018221N17112,2018,59,BEBINCA,2018-08-14 06:00:00,21.0,113.7,987.0
2018221N17112,2018,59,BEBINCA,2018-08-14 12:00:00,21.1,113.4,987.0
2018221N17112,2018,59,BEBINCA,2018-08-14 18:00:00,21.0,112.9,987.0
2018221N17112,2018,59,BEBINCA,2018-08-15 00:00:00,20.9,112.0,990.0
2018221N17112,2018,59,BEBINCA,2018-08-15 06:00:00,21.0,111.4,990.0
2018221N17112,2018,59,BEBINCA,2018-08-15 12:00:00,20.9,110.7,990.0
2018221N17112,2018,59,BEBINCA,2018-08-15 18:00:00,20.6,109.6,988.0
2018221N17112,2018,59,BEBINCA,2018-08-16 00:00:00,20.3,108.6,985.0
2018221N17112,2018,59,BEBINCA,2018-08-16 06:00:00,20.0,108.0,980.0
2018221N17112,2018,59,BEBINCA,2018-08-16 12:00:00,19.8,107.3,979.0
2018221N17112,2018,59,BEBINCA,2018-08-16 18:00:00,19.6,106.4,985.0
2018221N17112,2018,59,BEBINCA,2018-08-17 00:00:00,19.4,105.3,992.0
2018221N17112,2018,59,BEBINCA,2018-08-17 06:00:00,19.4,103.8,997.0
2018221N17112,2018,59,BEBINCA,2018-08-17 12:00:00,20.0,101.9,998.0
2018221N17112,2018,59,BEBINCA,2018-08-17 18:00:00,19.8,100.0,999.0
