SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019213N17155,2019,43,FRANCISCO,2019-08-02 00:00:00,20.2,152.8,998.0
2019213N17155,2019,43,FRANCISCO,2019-08-02 06:00:00,21.0,152.0,997.0
2019213N17155,2019,43,FRANCISCO,2019-08-02 12:00:00,21.9,151.2,996.0
2019213N17155,2019,43,FRANCISCO,2019-08-02 18:00:00,23.0,150.1,992.0
2019213N17155,2019,43,FRANCISCO,2019-08-03 00:00:00,24.2,148.6,996.0
2019213N17155,2019,43,FRANCISCO,2019-08-03 06:00:00,25.2,147.4,994.0
2019213N17155,2019,43,FRANCISCO,2019-08-03 12:00:00,26.1,145.9,994.0
2019213N17155,2019,43,FRANCISCO,2019-08-03 18:00:00,26.8,144.4,988.0
2019213N17155,2019,43,FRANCISCO,2019-08-04 00:00:00,27.5,143.1,990.0
2019213N17155,2019,43,FRANCISCO,2019-08-04 06:00:00,28.5,141.5,986.0
2019213N17155,2019,43,FRANCISCO,2019-08-04 12:00:00,29.2,139.9,985.0
2019213N17155,2019,43,FRANCISCO,2019-08-04 18:00:00,29.8,138.1,981.0
2019213N17155,2019,43,FRANCISCO,2019-08-05 00:00:00,30.4,136.2,982.0
2019213N17155,2019,43,FRANCISCO,2019-08-05 06:00:00,30.8,134.5,978.0
2019213N17155,2019,43,FRANCISCO,2019-08-05 12:00:00,31.2,133.0,974.0
2019213N17155,2019,43,FRANCISCO,2019-08-05 18:00:00,31.8,131.9,966.0
2019213N17155,2019,43,FRANCISCO,2019-08-06 00:00:00,32.9,130.6,976.0
2019213N17155,2019,43,FRANCISCO,2019-08-06 06:00:00,34.0,129.7,985.0
2019213N17155,2019,43,FRANCISCO,2019-08-06 12:00:00,35.2,129.4,995.0
2019213N17155,2019,43,FRANCISCO,2019-08-06 18:00:00,36.8,128.9,994.0
2019213N17155,2019,43,FRANCISCO,2019-08-07 00:00:00,37.9,129.0,996.0
2019213N17155,2019,43,FRANCISCO,2019-08-07 06:00:00,38.9,129.2,996.0
2019213N17155,2019,43,FRANCISCO,2019-08-07 12:00:00,39.8,129.9,999.0
