SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019278N16165,2019,77,HAGIBIS,2019-10-06 00:00:00,14.7,155.8,998.0
2019278N16165,2019,77,HAGIBIS,2019-10-06 06:00:00,14.4,154.1,995.0
2019278N16165,2019,77,HAGIBIS,2019-10-06 12:00:00,14.5,152.7,988.0
2019278N16165,2019,77,HAGIBIS,2019-10-06 18:00:00,14.9,151.1,982.0
2019278N16165,2019,77,HAGIBIS,2019-10-07 00:00:00,15.1,149.6,953.0
2019278N16165,2019,77,HAGIBIS,2019-10-07 06:00:00,15.5,148.2,921.0
2019278N16165,2019,77,HAGIBIS,2019-10-07 12:00:00,16.1,146.6,890.0
2019278N16165,2019,77,HAGIBIS,2019-10-07 18:00:00,16.5,144.9,909.0
2019278N16165,2019,77,HAGIBIS,2019-10-08 00:00:00,16.9,143.8,926.0
2019278N16165,2019,77,HAGIBIS,2019-10-08 06:00:00,17.7,142.7,936.0
2019278N16165,2019,77,HAGIBIS,2019-10-08 12:00:00,18.4,141.8,928.0
2019278N16165,2019,77,HAGIBIS,2019-10-08 18:00:00,19.2,140.8,909.0
2019278N16165,2019,77,HAGIBIS,2019-10-09 00:00:00,19.8,140.4,902.0
2019278N16165,2019,77,HAGIBIS,2019-10-09 06:00:00,20.6,139.9,904.0
2019278N16165,2019,77,HAGIBIS,2019-10-09 12:00:00,21.2,139.6,910.0
2019278N16165,2019,77,HAGIBIS,2019-10-09 18:00:00,22.0,139.8,911.0
2019278N16165,2019,77,HAGIBIS,2019-10-10 00:00:00,23.2,139.9,916.0
2019278N16165,2019,77,HAGIBIS,2019-10-10 06:00:00,24.4,139.4,917.0
2019278N16165,2019,77,HAGIBIS,2019-10-10 12:00:00,25.3,139.0,920.0
2019278N16165,2019,77,HAGIBIS,2019-10-10 18:00:00,26.3,138.5,923.0
2019278N16165,2019,77,HAGIBIS,2019-10-11 00:00:00,27.5,138.0,933.0
2019278N16165,2019,77,HAGIBIS,2019-10-11 06:00:00,28.8,137.5,933.0
2019278N16165,2019,77,HAGIBIS,2019-10-11 12:00:00,29.9,137.1,935.0
2019278N16165,2019,77,HAGIBIS,2019-10-11 18:00:00,30.8,137.0,942.0
2019278N16165,2019,77,HAGIBIS,2019-10-12 00:00:00,32.1,137.4,948.0
2019278N16165,2019,77,HAGIBIS,2019-10-12 06:00:00,33.7,138.2,951.0
2019278N16165,2019,77,HAGIBIS,2019-10-12 12:00:00,35.6,139.4,960.0
2019278N16165,2019,77,HAGIBIS,2019-10-12 18:00:00,38.2,141.8,970.0
2019278N16165,2019,77,HAGIBIS,2019-10-13 00:00:00,40.0,145.0,976.0
2019278N16165,2019,77,HAGIBIS,2019-10-13 06:00:00,42.0,149.9,980.0
2019278N16165,2019,77,HAGIBIS,2019-10-13 12:00:00,44.2,156.1,983.0
