SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018204N15137,2018,47,JONGDARI,2018-07-24 06:00:00,18.9,136.7,998.0
2018204N15137,2018,47,JONGDARI,2018-07-24 12:00:00,19.6,136.7,996.0
2018204N15137,2018,47,JONGDARI,2018-07-24 18:00:00,20.3,136.6,994.0
2018204N15137,2018,47,JONGDARI,2018-07-25 00:00:00,20.9,136.7,997.0
2018204N15137,2018,47,JONGDARI,2018-07-25 06:00:00,21.6,137.1,996.0
2018204N15137,2018,47,JONGDARI,2018-07-25 12:00:00,21.9,137.3,993.0
2018204N15137,2018,47,JONGDARI,2018-07-25 18:00:00,22.0,137.6,986.0
2018204N15137,2018,47,JONGDARI,2018-07-26 00:00:00,22.2,138.3,986.0
2018204N15137,2018,47,JONGDARI,2018-07-26 06:00:00,22.7,139.2,981.0
2018204N15137,2018,47,JONGDARI,2018-07-26 12:00:00,23.3,140.2,976.0
2018204N15137,2018,47,JONGDARI,2018-07-26 18:00:00,24.0,141.1,967.0
2018204N15137,2018,47,JONGDARI,2018-07-27 00:00:00,25.0,142.4,958.0
2018204N15137,2018,47,JONGDARI,2018-07-27 06:00:00,26.4,143.8,952.0
2018204N15137,2018,47,JONGDARI,2018-07-27 12:00:00,28.3,144.6,952.0
2018204N15137,2018,47,JONGDARI,2018-07-27 18:00:00,30.3,144.3,950.0
2018204N15137,2018,47,JONGDARI,2018-07-28 00:00:00,32.3,142.9,955.0
2018204N15137,2018,47,JONGDARI,2018-07-28 06:00:00,33.8,140.5,960.0
2018204N15137,2018,47,JONGDARI,2018-07-28 12:00:00,34.2,138.3,966.0
2018204N15137,2018,47,JONGDARI,2018-07-28 18:00:00,34.7,135.8,973.0
2018204N15137,2018,47,JONGDARI,2018-07-29 00:00:00,34.5,133.3,990.0
2018204N15137,2018,47,JONGDARI,2018-07-29 06:00:00,34.1,131.5,992.0
2018204N15137,2018,47,JONGDARI,2018-07-29 12:00:00,33.2,130.4,995.0
2018204N15137,2018,47,JONGDARI,2018-07-29 18:00:00,32.0,129.6,995.0
2018204N15137,2018,47,JONGDARI,2018-07-30 00:00:00,31.0,129.4,995.0
2018204N15137,2018,47,JONGDARI,2018-07-30 06:00:00,30.3,129.5,995.0
2018204N15137,2018,47,JONGDARI,2018-07-30 12:00:00,29.2,129.9,995.0
2018204N15137,2018,47,JONGDARI,2018-07-30 18:00:00,28.9,130.7,995.0
2018204N15137,2018,47,JONGDARI,2018-07-31 00:00:00,29.5,131.7,993.0
2018204N15137,2018,47,JONGDARI,2018-07-31 06:00:00,30.5,131.6,993.0
2018204N15137,2018,47,JONGDARI,2018-07-31 12:00:00,30.9,130.4,993.0
2018204N15137,2018,47,JONGDARI,2018-07-31 18:00:00,30.8,128.8,993.0
2018204N15137,2018,47,JONGDARI,2018-08-01 00:00:00,30.2,128.0,996.0
2018204N15137,2018,47,JONGDARI,2018-08-01 06:00:00,29.6,127.0,996.0
2018204N15137,2018,47,JONGDARI,2018-08-01 12:00:00,29.0,126.7,995.0
2018204N15137,2018,47,JONGDARI,2018-08-01 18:00:00,28.5,126.4,995.0
2018204N15137,2018,47,JONGDARI,2018-08-02 00:00:00,28.6,126.8,993.0
2018204N15137,2018,47,JONGDARI,2018-08-02 06:00:00,29.4,126.7,990.0
2018204N15137,2018,47,JONGDARI,2018-08-02 12:00:00,30.2,125.2,993.0
2018204N15137,2018,47,JONGDARI,2018-08-02 18:00:00,30.7,122.7,993.0
2018204N15137,2018,47,JONGDARI,2018-08-03 00:00:00,30.6,121.6,995.0
2018204N15137,2018,47,JONGDARI,2018-08-03 06:00:00,30.9,121.1,995.0
2018204N15137,2018,47,JONGDARI,2018-08-03 12:00:00,31.9,120.5,998.0
2018204N15137,2018,47,JONGDARI,2018-08-03 18:00:00,33.2,119.2,998.0
2018204N15137,2018,47,JONGDARI,2018-08-04 00:00:00,33.8,118.1,998.0
2018204N15137,2018,47,JONGDARI,2018-08-04 06:00:00,34.0,117.2,998.0
