SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018271N06154,2018,92,KONG-REY,2018-09-29 06:00:00,12.4,142.5,999.0
2018271N06154,2018,92,KONG-REY,2018-09-29 12:00:00,12.7,141.1,997.0
2018271N06154,2018,92,KONG-REY,2018-09-29 18:00:00,13.1,139.7,989.0
2018271N06154,2018,92,KONG-REY,2018-09-30 00:00:00,13.7,138.8,976.0
2018271N06154,2018,92,KONG-REY,2018-09-30 06:00:00,14.4,138.0,974.0
2018271N06154,2018,92,KONG-REY,2018-09-30 12:00:00,14.9,137.2,972.0
2018271N06154,2018,92,KONG-REY,2018-09-30 18:00:00,15.4,136.5,968.0
2018271N06154,2018,92,KONG-REY,2018-10-01 00:00:00,15.6,135.9,958.0
2018271N06154,2018,92,KONG-REY,2018-10-01 06:00:00,16.1,135.2,943.0
2018271N06154,2018,92,KONG-REY,2018-10-01 12:00:00,16.8,134.4,923.0
2018271N06154,2018,92,KONG-REY,2018-10-01 18:00:00,17.3,133.6,906.0
2018271N06154,2018,92,KONG-REY,2018-10-02 00:00:00,17.6,132.7,911.0
2018271N06154,2018,92,KONG-REY,2018-10-02 06:00:00,18.2,132.0,916.0
2018271N06154,2018,92,KONG-REY,2018-10-02 12:00:00,18.9,131.2,928.0
2018271N06154,2018,92,KONG-REY,2018-10-02 18:00:00,19.5,130.4,937.0
2018271N06154,2018,92,KONG-REY,2018-10-03 00:00:00,20.1,129.7,951.0
2018271N06154,2018,92,KONG-REY,2018-10-03 06:00:00,20.8,129.2,958.0
2018271N06154,2018,92,KONG-REY,2018-10-03 12:00:00,21.6,128.7,964.0
2018271N06154,2018,92,KONG-REY,2018-10-03 18:00:00,22.5,128.1,970.0
2018271N06154,2018,92,KONG-REY,2018-10-04 00:00:00,23.2,127.6,977.0
2018271N06154,2018,92,KONG-REY,2018-10-04 06:00:00,24.4,127.1,973.0
2018271N06154,2018,92,KONG-REY,2018-10-04 12:00:00,25.4,126.6,974.0
2018271N06154,2018,92,KONG-REY,2018-10-04 18:00:00,26.7,126.1,976.0
2018271N06154,2018,92,KONG-REY,2018-10-05 00:00:00,27.9,125.8,978.0
2018271N06154,2018,92,KONG-REY,2018-10-05 06:00:00,29.4,125.7,979.0
2018271N06154,2018,92,KONG-REY,2018-10-05 12:00:00,31.3,125.9,975.0
2018271N06154,2018,92,KONG-REY,2018-10-05 18:00:00,32.8,126.6,976.0
2018271N06154,2018,92,KONG-REY,2018-10-06 00:00:00,34.7,128.2,979.0
2018271N06154,2018,92,KONG-REY,2018-10-06 06:00:00,37.1,130.4,983.0
2018271N06154,2018,92,KONG-REY,2018-10-06 12:00:00,38.8,133.4,984.0
2018271N06154,2018,92,KONG-REY,2018-10-06 18:00:00,40.7,136.8,986.0
2018271N06154,2018,92,KONG-REY,2018-10-07 00:00:00,42.1,140.9,987.0
