SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019288N16136,2019,81,NEOGURI,2019-10-17 12:00:00,19.4,130.0,999.0
2019288N16136,2019,81,NEOGURI,2019-10-18 06:00:00,20.0,129.6,998.0
2019288N16136,2019,81,NEOGURI,2019-10-18 12:00:00,20.4,129.3,998.0
2019288N16136,2019,81,NEOGURI,2019-10-18 18:00:00,20.7,128.6,994.0
2019288N16136,2019,81,NEOGURI,2019-10-19 00:00:00,21.1,127.9,991.0
2019288N16136,2019,81,NEOGURI,2019-10-19 06:00:00,21.5,127.3,988.0
2019288N16136,2019,81,NEOGURI,2019-10-19 12:00:00,21.8,127.3,980.0
2019288N16136,2019,81,NEOGURI,2019-10-19 18:00:00,22.6,127.5,964.0
2019288N16136,2019,81,NEOGURI,2019-10-20 00:00:00,23.4,127.9,971.0
2019288N16136,2019,81,NEOGURI,2019-10-20 06:00:00,24.5,129.0,975.0
2019288N16136,2019,81,NEOGURI,2019-10-20 12:00:00,25.5,130.0,985.0
2019288N16136,2019,81,NEOGURI,2019-10-20 18:00:00,27.1,131.4,992.0
2019288N16136,2019,81,NEOGURI,2019-10-21 00:00:00,28.8,133.0,994.0
2019288N16136,2019,81,NEOGURI,2019-10-21 06:00:00,30.3,134.3,995.0
2019288N16136,2019,81,NEOGURI,2019-10-21 12:00:00,31.2,135.4,998.0
2019288N16136,2019,81,NEOGURI,2019-10-21 18:00:00,31.9,136.8,995.0
2019288N16136,2019,81,NEOGURI,2019-10-22 00:00:00,32.2,138.1,996.0
