SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018226N23128,2018,62,RUMBIA,2018-08-15 00:00:00,27.0,127.4,997.0
2018226N23128,2018,62,RUMBIA,2018-08-15 06:00:00,28.1,126.9,993.0
2018226N23128,2018,62,RUMBIA,2018-08-15 12:00:00,29.1,125.9,990.0
2018226N23128,2018,62,RUMBIA,2018-08-15 18:00:00,29.6,125.1,989.0
2018226N23128,2018,62,RUMBIA,2018-08-16 00:00:00,29.9,124.7,985.0
2018226N23128,2018,62,RUMBIA,2018-08-16 06:00:00,30.1,124.1,984.0
2018226N23128,2018,62,RUMBIA,2018-08-16 12:00:00,30.4,123.0,978.0
2018226N23128,2018,62,RUMBIA,2018-08-16 18:00:00,30.5,121.9,978.0
2018226N23128,2018,62,RUMBIA,2018-08-17 00:00:00,31.1,120.5,981.0
2018226N23128,2018,62,RUMBIA,2018-08-17 06:00:00,31.6,118.8,985.0
2018226N23128,2018,62,RUMBIA,2018-08-17 12:00:00,31.6,117.3,987.0
2018226N23128,2018,62,RUMBIA,2018-08-17 18:00:00,31.9,116.1,990.0
2018226N23128,2018,62,RUMBIA,2018-08-18 00:00:00,32.3,115.4,995.0
2018226N23128,2018,62,RUMBIA,2018-08-18 06:00:00,32.6,114.8,995.0
