SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019210N16117,2019,42,WIPHA,2019-07-30 12:00:00,18.0,114.5,997.0
2019210N16117,2019,42,WIPHA,2019-07-30 18:00:00,18.3,114.1,997.0
2019210N16117,2019,42,WIPHA,2019-07-31 00:00:00,18.7,113.7,995.0
2019210N16117,2019,42,WIPHA,2019-07-31 06:00:00,19.1,113.1,997.0
2019210N16117,2019,42,WIPHA,2019-07-31 12:00:00,19.5,112.3,996.0
2019210N16117,2019,42,WIPHA,2019-07-31 18:00:00,19.9,111.4,995.0
2019210N16117,2019,42,WIPHA,2019-08-01 00:00:00,20.0,111.0,989.0
2019210N16117,2019,42,WIPHA,2019-08-01 06:00:00,20.8,110.9,989.0
2019210N16117,2019,42,WIPHA,2019-08-01 12:00:00,21.3,110.2,992.0
2019210N16117,2019,42,WIPHA,2019-08-01 18:00:00,21.2,109.5,996.0
2019210N16117,2019,42,WIPHA,2019-08-02 00:00:00,21.2,109.2,994.0
2019210N16117,2019,42,WIPHA,2019-08-02 06:00:00,21.3,108.9,986.0
2019210N16117,2019,42,WIPHA,2019-08-02 12:00:00,21.5,108.4,983.0
2019210N16117,2019,42,WIPHA,2019-08-02 18:00:00,21.4,107.4,984.0
2019210N16117,2019,42,WIPHA,2019-08-03 00:00:00,21.2,106.6,989.0
2019210N16117,2019,42,WIPHA,2019-08-03 06:00:00,20.8,106.1,995.0
2019210N16117,2019,42,WIPHA,2019-08-03 12:00:00,20.3,105.4,997.0
2019210N16117,2019,42,WIPHA,2019-08-03 18:00:00,19.8,104.5,997.0
