SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018202N21159,2018,46,WUKONG,2018-07-22 18:00:00,24.5,159.3,997.0
2018202N21159,2018,46,WUKONG,2018-07-23 00:00:00,25.3,159.5,996.0
2018202N21159,2018,46,WUKONG,2018-07-23 06:00:00,26.3,159.4,993.0
2018202N21159,2018,46,WUKONG,2018-07-23 12:00:00,27.2,159.3,991.0
2018202N21159,2018,46,WUKONG,2018-07-23 18:00:00,28.2,159.1,990.0
2018202N21159,2018,46,WUKONG,2018-07-24 00:00:00,29.2,159.0,990.0
2018202N21159,2018,46,WUKONG,2018-07-24 06:00:00,30.1,158.8,989.0
2018202N21159,2018,46,WUKONG,2018-07-24 12:00:00,30.9,158.6,986.0
2018202N21159,2018,46,WUKONG,2018-07-24 18:00:00,31.6,158.3,981.0
2018202N21159,2018,46,WUKONG,2018-07-25 00:00:00,32.6,158.1,977.0
2018202N21159,2018,46,WUKONG,2018-07-25 06:00:00,33.9,157.8,974.0
2018202N21159,2018,46,WUKONG,2018-07-25 12:00:00,35.3,157.3,977.0
2018202N21159,2018,46,WUKONG,2018-07-25 18:00:00,37.0,156.1,978.0
2018202N21159,2018,46,WUKONG,2018-07-26 00:00:00,38.4,154.7,984.0
2018202N21159,2018,46,WUKONG,2018-07-26 06:00:00,39.6,153.8,991.0
2018202N21159,2018,46,WUKONG,2018-07-26 12:00:00,41.2,152.7,997.0
