SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2018221N17112,2018,59,BEBINCA,2018-08-10 12:00:00,20.5,111.7,997.0,,20.5,111.7,996.6317138671875,20.5,112.0
2018221N17112,2018,59,BEBINCA,2018-08-10 18:00:00,20.8,111.9,997.0,994.9310302734375,21.25,112.07783182765809,996.2386474609375,21.0,111.5
2018221N17112,2018,59,BEBINCA,2018-08-11 00:00:00,21.3,112.1,997.0,995.00439453125,21.25,112.07783182765809,994.516357421875,21.5,112.0
2018221N17112,2018,59,BEBINCA,2018-08-11 06:00:00,21.9,112.1,996.0,993.3987426757812,21.5,111.82765809589992,992.46923828125,21.5,111.5
2018221N17112,2018,59,BEBINCA,2018-08-11 12:00:00,21.6,111.7,995.0,992.89111328125,21.25,111.82765809589992,991.9822387695312,21.5,111.0
2018221N17112,2018,59,BEBINCA,2018-08-11 18:00:00,21.3,111.5,994.0,991.7578125,21.25,111.82765809589992,989.7723388671875,21.5,111.5
2018221N17112,2018,59,BEBINCA,2018-08-12 00:00:00,21.1,111.9,994.0,991.447509765625,21.25,111.82765809589992,987.7775268554688,21.5,111.5
2018221N17112,2018,59,BEBINCA,2018-08-12 06:00:00,21.0,112.2,993.0,990.996826171875,21.25,111.82765809589992,985.6437377929688,21.0,111.5
2018221N17112,2018,59,BEBINCA,2018-08-12 12:00:00,20.6,112.3,991.0,991.1296997070312,21.25,111.82765809589992,985.613525390625,21.5,112.0
2018221N17112,2018,59,BEBINCA,2018-08-12 18:00:00,20.6,112.6,991.0,991.5014038085938,21.25,111.32731063238359,986.4241943359375,21.5,111.5
2018221N17112,2018,59,BEBINCA,2018-08-13 00:00:00,20.6,112.9,989.0,991.8214721679688,21.25,111.07713690062542,985.5613403320312,21.5,111.0
2018221N17112,2018,59,BEBINCA,2018-08-13 06:00:00,20.6,113.2,989.0,991.8931274414062,21.0,110.82696316886727,986.0330200195312,22.0,110.5
2018221N17112,2018,59,BEBINCA,2018-08-13 12:00:00,20.6,113.4,989.0,992.0578002929688,21.0,110.82696316886727,986.2039184570312,22.0,110.0
2018221N17112,2018,59,BEBINCA,2018-08-13 18:00:00,20.6,113.6,989.0,992.3340454101562,21.0,110.32661570535093,983.5330200195312,22.0,109.0
2018221N17112,2018,59,BEBINCA,2018-08-14 00:00:00,20.8,113.8,988.0,992.6674194335938,20.75,109.8262682418346,986.5479736328125,22.0,108.0
2018221N17112,2018,59,BEBINCA,2018-08-14 06:00:00,21.0,113.7,987.0,991.263427734375,20.75,109.32592077831826,983.273193359375,21.5,106.5
2018221N17112,2018,59,BEBINCA,2018-08-14 12:00:00,21.1,113.4,987.0,991.55517578125,20.75,108.82557331480194,988.6773681640625,21.0,105.5
2018221N17112,2018,59,BEBINCA,2018-08-14 18:00:00,21.0,112.9,987.0,991.620849609375,20.5,108.07505211952744,995.437744140625,20.5,105.0
2018221N17112,2018,59,BEBINCA,2018-08-15 00:00:00,20.9,112.0,990.0,992.3085327148438,20.25,107.82487838776927,998.3831176757812,20.5,103.0
2018221N17112,2018,59,BEBINCA,2018-08-15 06:00:00,21.0,111.4,990.0,992.3494262695312,20.25,107.32453092425294,999.013427734375,20.5,103.0
2018221N17112,2018,59,BEBINCA,2018-08-15 12:00:00,20.9,110.7,990.0,993.1950073242188,20.25,107.07435719249477,1000.9342041015625,20.5,102.5
2018221N17112,2018,59,BEBINCA,2018-08-15 18:00:00,20.6,109.6,988.0,995.4053344726562,20.25,107.07435719249477,1001.7740478515625,21.0,101.5
2018221N17112,2018,59,BEBINCA,2018-08-16 00:00:00,20.3,108.6,985.0,996.264892578125,20.25,107.07435719249477,1002.4896850585938,21.0,100.5
2018221N17112,2018,59,BEBINCA,2018-08-16 06:00:00,20.0,108.0,980.0,996.9634399414062,20.25,106.57400972897845,1002.6944580078125,19.5,100.0
2018221N17112,2018,59,BEBINCA,2018-08-16 12:00:00,19.8,107.3,979.0,996.9893798828125,20.5,106.57400972897845,1001.9288330078125,23.0,97.5
2018221N17112,2018,59,BEBINCA,2018-08-16 18:00:00,19.6,106.4,985.0,998.5314331054688,20.75,106.07366226546212,1001.7041625976562,25.5,95.5
2018221N17112,2018,59,BEBINCA,2018-08-17 00:00:00,19.4,105.3,992.0,998.7276611328125,20.75,106.07366226546212,1000.071533203125,26.5,92.0
2018221N17112,2018,59,BEBINCA,2018-08-17 06:00:00,19.4,103.8,997.0,998.7164306640625,21.25,105.82348853370395,997.516845703125,27.5,95.0
2018221N17112,2018,59,BEBINCA,2018-08-17 12:00:00,20.0,101.9,998.0,998.7031860351562,21.25,105.82348853370395,995.6312255859375,27.0,94.0
2018221N17112,2018,59,BEBINCA,2018-08-17 18:00:00,19.8,100.0,999.0,1000.2731323242188,21.25,105.57331480194578,995.6312255859375,27.0,94.0
