SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2019213N17155,2019,43,FRANCISCO,2019-08-02 00:00:00,20.2,152.8,998.0,,20.2,152.8,1000.440185546875,20.5,152.5
2019213N17155,2019,43,FRANCISCO,2019-08-02 06:00:00,21.0,152.0,997.0,999.35595703125,21.25,151.6052814454482,997.3529663085938,21.0,152.0
2019213N17155,2019,43,FRANCISCO,2019-08-02 12:00:00,21.9,151.2,996.0,1001.1303100585938,22.0,150.8547602501737,994.726806640625,22.5,151.0
2019213N17155,2019,43,FRANCISCO,2019-08-02 18:00:00,23.0,150.1,992.0,1000.0795288085938,23.0,149.85406532314107,994.3118896484375,23.5,149.5
2019213N17155,2019,43,FRANCISCO,2019-08-03 00:00:00,24.2,148.6,996.0,1001.5603637695312,24.25,148.35302293259207,991.9793701171875,24.5,148.5
2019213N17155,2019,43,FRANCISCO,2019-08-03 06:00:00,25.2,147.4,994.0,1000.2664794921875,25.25,146.85198054204307,988.3687744140625,25.5,147.0
2019213N17155,2019,43,FRANCISCO,2019-08-03 12:00:00,26.1,145.9,994.0,1000.9608764648438,26.0,145.3509381514941,994.27783203125,26.5,145.5
2019213N17155,2019,43,FRANCISCO,2019-08-03 18:00:00,26.8,144.4,988.0,1000.014892578125,27.0,143.59972202918692,990.8566284179688,27.0,143.5
2019213N17155,2019,43,FRANCISCO,2019-08-04 00:00:00,27.5,143.1,990.0,1000.9470825195312,27.5,141.84850590687978,982.6193237304688,28.0,142.0
2019213N17155,2019,43,FRANCISCO,2019-08-04 06:00:00,28.5,141.5,986.0,1000.4408569335938,28.25,140.34746351633078,987.1863403320312,28.5,140.0
2019213N17155,2019,43,FRANCISCO,2019-08-04 12:00:00,29.2,139.9,985.0,1001.8289794921875,29.0,138.84642112578177,987.652099609375,29.0,138.5
2019213N17155,2019,43,FRANCISCO,2019-08-04 18:00:00,29.8,138.1,981.0,1001.2178955078125,29.5,136.84503127171646,987.431640625,30.0,136.5
2019213N17155,2019,43,FRANCISCO,2019-08-05 00:00:00,30.4,136.2,982.0,1001.8825073242188,30.25,135.0938151494093,985.361572265625,30.5,135.0
2019213N17155,2019,43,FRANCISCO,2019-08-05 06:00:00,30.8,134.5,978.0,1000.8351440429688,30.75,133.34259902710215,973.239013671875,31.0,133.5
2019213N17155,2019,43,FRANCISCO,2019-08-05 12:00:00,31.2,133.0,974.0,1001.55419921875,30.75,132.09173036831132,977.2885131835938,31.0,132.0
2019213N17155,2019,43,FRANCISCO,2019-08-05 18:00:00,31.8,131.9,966.0,1001.2263793945312,31.0,130.34051424600415,982.5178833007812,31.5,130.5
2019213N17155,2019,43,FRANCISCO,2019-08-06 00:00:00,32.9,130.6,976.0,1002.2130737304688,32.0,129.3398193189715,976.7362670898438,32.5,129.5
2019213N17155,2019,43,FRANCISCO,2019-08-06 06:00:00,34.0,129.7,985.0,1001.0540771484375,33.0,128.08895066018067,980.7471313476562,33.0,128.0
2019213N17155,2019,43,FRANCISCO,2019-08-06 12:00:00,35.2,129.4,995.0,1001.6503295898438,33.75,126.83808200138985,982.8317260742188,33.5,127.5
2019213N17155,2019,43,FRANCISCO,2019-08-06 18:00:00,36.8,128.9,994.0,1001.5850830078125,34.5,125.83738707435718,979.9580688476562,34.0,126.5
2019213N17155,2019,43,FRANCISCO,2019-08-07 00:00:00,37.9,129.0,996.0,1002.1777954101562,35.25,125.33703961084085,989.4161987304688,35.0,125.5
2019213N17155,2019,43,FRANCISCO,2019-08-07 06:00:00,38.9,129.2,996.0,1001.6874389648438,36.25,125.0868658790827,985.1824951171875,35.5,125.0
2019213N17155,2019,43,FRANCISCO,2019-08-07 12:00:00,39.8,129.9,999.0,1002.15673828125,37.75,124.83669214732453,991.7196044921875,36.0,124.5
