SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES,PanguMinPressure,PanguMinLat,PanguMinLon,ECMWFMinPressure,ECMWFMinLat,ECMWFMinLon
2018165N22117,2018,33,GAEMI,2018-06-14 12:00:00,22.3,119.7,998.0,,22.3,119.7,993.1015014648438,22.5,120.0
2018165N22117,2018,33,GAEMI,2018-06-14 18:00:00,22.6,120.2,993.0,994.5806884765625,22.5,119.83321751216121,992.4757080078125,23.0,120.0
2018165N22117,2018,33,GAEMI,2018-06-15 06:00:00,23.3,121.8,995.0,996.6130981445312,23.0,121.58443363446837,997.828125,24.0,120.5
2018165N22117,2018,33,GAEMI,2018-06-15 12:00:00,24.7,123.8,995.0,998.8877563476562,22.75,121.58443363446837,1000.7791137695312,23.5,120.0
2018165N22117,2018,33,GAEMI,2018-06-15 18:00:00,25.5,125.2,993.0,998.24609375,25.5,124.08617095205003,1001.4345092773438,23.0,120.0
2018165N22117,2018,33,GAEMI,2018-06-16 00:00:00,26.4,127.1,992.0,1000.1339721679688,26.25,125.0868658790827,1000.5222778320312,19.5,116.0
2018165N22117,2018,33,GAEMI,2018-06-16 06:00:00,26.9,128.8,990.0,999.8488159179688,26.75,126.08756080611535,997.189453125,19.0,115.0
2018165N22117,2018,33,GAEMI,2018-06-16 12:00:00,27.3,130.6,993.0,1001.1776733398438,27.0,126.33773453787352,997.096923828125,20.0,115.5
2018165N22117,2018,33,GAEMI,2018-06-16 18:00:00,27.8,131.3,993.0,1000.6495971679688,28.0,127.088255733148,996.6531982421875,21.0,115.5
2018165N22117,2018,33,GAEMI,2018-06-17 00:00:00,28.5,132.1,996.0,1002.3883056640625,29.0,128.08895066018067,997.7767333984375,21.5,115.5
2018165N22117,2018,33,GAEMI,2018-06-17 06:00:00,29.4,132.7,996.0,1001.5156860351562,29.5,128.33912439193884,996.8298950195312,21.5,115.5
