SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2011126N11129,2011,23,AERE,2011-05-07 00:00:00,12.6,126.7,996.0
2011126N11129,2011,23,AERE,2011-05-07 06:00:00,12.9,126.1,993.0
2011126N11129,2011,23,AERE,2011-05-07 12:00:00,13.3,125.4,989.0
2011126N11129,2011,23,AERE,2011-05-07 18:00:00,13.6,124.7,989.0
2011126N11129,2011,23,AERE,2011-05-08 00:00:00,14.0,124.2,985.0
2011126N11129,2011,23,AERE,2011-05-08 06:00:00,14.5,123.6,985.0
2011126N11129,2011,23,AERE,2011-05-08 12:00:00,15.1,123.1,985.0
2011126N11129,2011,23,AERE,2011-05-08 18:00:00,15.6,122.9,985.0
2011126N11129,2011,23,AERE,2011-05-09 00:00:00,16.4,122.5,989.0
2011126N11129,2011,23,AERE,2011-05-09 06:00:00,17.3,122.3,993.0
2011126N11129,2011,23,AERE,2011-05-09 12:00:00,18.0,122.3,993.0
2011126N11129,2011,23,AERE,2011-05-09 18:00:00,19.2,122.3,993.0
2011126N11129,2011,23,AERE,2011-05-10 00:00:00,20.3,122.2,996.0
2011126N11129,2011,23,AERE,2011-05-10 06:00:00,21.2,122.9,996.0
2011126N11129,2011,23,AERE,2011-05-10 12:00:00,22.3,124.0,996.0
2011126N11129,2011,23,AERE,2011-05-10 18:00:00,23.5,124.9,996.0
2011126N11129,2011,23,AERE,2011-05-11 00:00:00,25.1,126.2,996.0
2011126N11129,2011,23,AERE,2011-05-11 06:00:00,26.6,127.7,996.0
2011126N11129,2011,23,AERE,2011-05-11 12:00:00,28.3,129.6,997.0
2011126N11129,2011,23,AERE,2011-05-11 18:00:00,29.9,132.0,996.0
2011126N11129,2011,23,AERE,2011-05-12 00:00:00,31.2,134.5,996.0
