SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2001170N11138,2001,27,CHEBI,2001-06-20 06:00:00,13.0,133.2,998.0
2001170N11138,2001,27,CHEBI,2001-06-20 12:00:00,13.7,131.4,994.0
2001170N11138,2001,27,CHEBI,2001-06-20 18:00:00,14.1,129.2,991.0
2001170N11138,2001,27,CHEBI,2001-06-21 00:00:00,14.4,127.9,991.0
2001170N11138,2001,27,CHEBI,2001-06-21 06:00:00,15.2,127.1,991.0
2001170N11138,2001,27,CHEBI,2001-06-21 12:00:00,16.0,125.9,984.0
2001170N11138,2001,27,CHEBI,2001-06-21 18:00:00,17.2,124.8,980.0
2001170N11138,2001,27,CHEBI,2001-06-22 00:00:00,18.3,123.6,976.0
2001170N11138,2001,27,CHEBI,2001-06-22 06:00:00,19.5,122.3,967.0
2001170N11138,2001,27,CHEBI,2001-06-22 12:00:00,20.4,121.2,967.0
2001170N11138,2001,27,CHEBI,2001-06-22 18:00:00,21.0,119.9,954.0
2001170N11138,2001,27,CHEBI,2001-06-23 00:00:00,22.2,119.4,944.0
2001170N11138,2001,27,CHEBI,2001-06-23 06:00:00,23.4,119.2,949.0
2001170N11138,2001,27,CHEBI,2001-06-23 12:00:00,24.8,119.4,954.0
2001170N11138,2001,27,CHEBI,2001-06-23 18:00:00,26.5,119.7,954.0
2001170N11138,2001,27,CHEBI,2001-06-24 00:00:00,28.2,120.5,991.0
2001170N11138,2001,27,CHEBI,2001-06-24 06:00:00,30.2,122.1,997.0
