SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2005262N13127,2005,81,DAMREY,2005-09-20 18:00:00,17.2,123.5,997.0
2005262N13127,2005,81,DAMREY,2005-09-21 00:00:00,18.1,122.9,997.0
2005262N13127,2005,81,DAMREY,2005-09-21 06:00:00,18.7,122.2,994.0
2005262N13127,2005,81,DAMREY,2005-09-21 12:00:00,18.9,121.6,987.0
2005262N13127,2005,81,DAMREY,2005-09-21 18:00:00,19.2,121.1,987.0
2005262N13127,2005,81,DAMREY,2005-09-22 00:00:00,19.7,120.8,984.0
2005262N13127,2005,81,DAMREY,2005-09-22 06:00:00,20.1,120.3,984.0
2005262N13127,2005,81,DAMREY,2005-09-22 12:00:00,20.1,119.7,984.0
2005262N13127,2005,81,DAMREY,2005-09-22 18:00:00,20.0,118.9,984.0
2005262N13127,2005,81,DAMREY,2005-09-23 00:00:00,20.1,118.1,987.0
2005262N13127,2005,81,DAMREY,2005-09-23 06:00:00,20.3,117.1,987.0
2005262N13127,2005,81,DAMREY,2005-09-23 12:00:00,20.3,116.7,987.0
2005262N13127,2005,81,DAMREY,2005-09-23 18:00:00,20.2,116.1,991.0
2005262N13127,2005,81,DAMREY,2005-09-24 00:00:00,19.9,115.4,987.0
2005262N13127,2005,81,DAMREY,2005-09-24 06:00:00,19.7,114.8,984.0
2005262N13127,2005,81,DAMREY,2005-09-24 12:00:00,19.4,114.0,980.0
2005262N13127,2005,81,DAMREY,2005-09-24 18:00:00,19.0,113.4,976.0
2005262N13127,2005,81,DAMREY,2005-09-25 00:00:00,18.9,113.0,963.0
2005262N13127,2005,81,DAMREY,2005-09-25 06:00:00,19.0,112.4,954.0
2005262N13127,2005,81,DAMREY,2005-09-25 12:00:00,19.1,111.7,958.0
