SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2014260N13135,2014,67,FUNG-WONG,2014-09-18 18:00:00,16.8,124.1,996.0
2014260N13135,2014,67,FUNG-WONG,2014-09-19 00:00:00,17.9,122.6,996.0
2014260N13135,2014,67,FUNG-WONG,2014-09-19 06:00:00,18.6,121.3,996.0
2014260N13135,2014,67,FUNG-WONG,2014-09-19 12:00:00,18.6,120.3,996.0
2014260N13135,2014,67,FUNG-WONG,2014-09-19 18:00:00,18.5,120.1,993.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 00:00:00,19.3,119.8,993.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 06:00:00,20.1,119.7,993.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 12:00:00,20.6,119.7,981.0
2014260N13135,2014,67,FUNG-WONG,2014-09-20 18:00:00,21.3,120.0,989.0
2014260N13135,2014,67,FUNG-WONG,2014-09-21 00:00:00,21.8,120.3,985.0
2014260N13135,2014,67,FUNG-WONG,2014-09-21 06:00:00,22.7,121.3,985.0
2014260N13135,2014,67,FUNG-WONG,2014-09-21 12:00:00,24.2,121.9,985.0
2014260N13135,2014,67,FUNG-WONG,2014-09-21 18:00:00,26.0,122.0,985.0
2014260N13135,2014,67,FUNG-WONG,2014-09-22 00:00:00,27.3,122.0,989.0
2014260N13135,2014,67,FUNG-WONG,2014-09-22 06:00:00,28.3,122.0,989.0
2014260N13135,2014,67,FUNG-WONG,2014-09-22 12:00:00,29.1,122.1,993.0
2014260N13135,2014,67,FUNG-WONG,2014-09-22 18:00:00,29.8,122.0,993.0
2014260N13135,2014,67,FUNG-WONG,2014-09-23 00:00:00,30.5,121.7,996.0
