SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018165N22117,2018,33,GAEMI,2018-06-14 12:00:00,22.3,119.7,998.0
2018165N22117,2018,33,GAEMI,2018-06-14 18:00:00,22.6,120.2,993.0
2018165N22117,2018,33,GAEMI,2018-06-15 06:00:00,23.3,121.8,995.0
2018165N22117,2018,33,GAEMI,2018-06-15 12:00:00,24.7,123.8,995.0
2018165N22117,2018,33,GAEMI,2018-06-15 18:00:00,25.5,125.2,993.0
2018165N22117,2018,33,GAEMI,2018-06-16 00:00:00,26.4,127.1,992.0
2018165N22117,2018,33,GAEMI,2018-06-16 06:00:00,26.9,128.8,990.0
2018165N22117,2018,33,GAEMI,2018-06-16 12:00:00,27.3,130.6,993.0
2018165N22117,2018,33,GAEMI,2018-06-16 18:00:00,27.8,131.3,993.0
2018165N22117,2018,33,GAEMI,2018-06-17 00:00:00,28.5,132.1,996.0
2018165N22117,2018,33,GAEMI,2018-06-17 06:00:00,29.4,132.7,996.0
