SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015226N12151,2015,60,GONI,2015-08-19 18:00:00,18.9,126.1,937.0
2015226N12151,2015,60,GONI,2015-08-20 00:00:00,18.9,125.3,937.0
2015226N12151,2015,60,GONI,2015-08-20 06:00:00,18.9,124.7,941.0
2015226N12151,2015,60,GONI,2015-08-20 12:00:00,19.0,124.0,944.0
2015226N12151,2015,60,GONI,2015-08-20 18:00:00,19.1,123.2,948.0
2015226N12151,2015,60,GONI,2015-08-21 00:00:00,19.2,122.9,952.0
2015226N12151,2015,60,GONI,2015-08-21 06:00:00,19.3,122.4,956.0
2015226N12151,2015,60,GONI,2015-08-21 12:00:00,19.4,122.4,959.0
2015226N12151,2015,60,GONI,2015-08-21 18:00:00,19.6,122.5,963.0
2015226N12151,2015,60,GONI,2015-08-22 00:00:00,20.1,122.6,963.0
2015226N12151,2015,60,GONI,2015-08-22 06:00:00,20.7,122.7,963.0
2015226N12151,2015,60,GONI,2015-08-22 12:00:00,21.4,123.1,967.0
2015226N12151,2015,60,GONI,2015-08-22 18:00:00,22.3,123.2,970.0
2015226N12151,2015,60,GONI,2015-08-23 00:00:00,23.2,123.3,963.0
2015226N12151,2015,60,GONI,2015-08-23 06:00:00,23.8,123.5,956.0
2015226N12151,2015,60,GONI,2015-08-23 12:00:00,24.5,124.0,944.0
2015226N12151,2015,60,GONI,2015-08-23 18:00:00,25.2,124.6,937.0
2015226N12151,2015,60,GONI,2015-08-24 00:00:00,26.2,125.9,937.0
2015226N12151,2015,60,GONI,2015-08-24 06:00:00,27.9,127.4,937.0
2015226N12151,2015,60,GONI,2015-08-24 12:00:00,29.6,128.8,941.0
2015226N12151,2015,60,GONI,2015-08-24 18:00:00,31.6,130.0,941.0
2015226N12151,2015,60,GONI,2015-08-25 00:00:00,33.9,130.5,959.0
2015226N12151,2015,60,GONI,2015-08-25 06:00:00,35.2,131.0,974.0
2015226N12151,2015,60,GONI,2015-08-25 12:00:00,36.5,131.8,985.0
2015226N12151,2015,60,GONI,2015-08-25 18:00:00,37.8,132.6,985.0
2015226N12151,2015,60,GONI,2015-08-26 00:00:00,39.1,133.5,989.0
