SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2019329N09160,2019,102,KAMMURI,2019-11-30 06:00:00,13.5,135.0,979.0
2019329N09160,2019,102,KAMMURI,2019-11-30 12:00:00,13.3,133.7,980.0
2019329N09160,2019,102,KAMMURI,2019-11-30 18:00:00,13.2,132.4,980.0
2019329N09160,2019,102,KAMMURI,2019-12-01 00:00:00,13.2,131.1,983.0
2019329N09160,2019,102,KAMMURI,2019-12-01 06:00:00,13.2,130.0,985.0
2019329N09160,2019,102,KAMMURI,2019-12-01 12:00:00,13.1,129.0,983.0
2019329N09160,2019,102,KAMMURI,2019-12-01 18:00:00,13.0,127.7,972.0
2019329N09160,2019,102,KAMMURI,2019-12-02 00:00:00,12.9,126.6,960.0
2019329N09160,2019,102,KAMMURI,2019-12-02 06:00:00,13.0,125.7,942.0
2019329N09160,2019,102,KAMMURI,2019-12-02 12:00:00,12.9,124.7,938.0
2019329N09160,2019,102,KAMMURI,2019-12-02 18:00:00,13.1,123.5,943.0
2019329N09160,2019,102,KAMMURI,2019-12-03 00:00:00,13.1,122.2,953.0
2019329N09160,2019,102,KAMMURI,2019-12-03 06:00:00,13.2,121.0,965.0
2019329N09160,2019,102,KAMMURI,2019-12-03 12:00:00,13.4,119.9,974.0
2019329N09160,2019,102,KAMMURI,2019-12-03 18:00:00,13.8,118.8,987.0
2019329N09160,2019,102,KAMMURI,2019-12-04 00:00:00,14.1,117.9,993.0
2019329N09160,2019,102,KAMMURI,2019-12-04 06:00:00,14.3,117.1,993.0
