SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2009121N13124,2009,24,KUJIRA,2009-05-02 12:00:00,13.4,124.5,997.0
2009121N13124,2009,24,KUJIRA,2009-05-02 18:00:00,13.5,124.5,993.0
2009121N13124,2009,24,KUJIRA,2009-05-03 00:00:00,13.8,124.7,989.0
2009121N13124,2009,24,KUJIRA,2009-05-03 06:00:00,14.1,125.1,990.0
2009121N13124,2009,24,KUJIRA,2009-05-03 12:00:00,14.6,125.7,985.0
2009121N13124,2009,24,KUJIRA,2009-05-03 18:00:00,15.1,126.5,982.0
2009121N13124,2009,24,KUJIRA,2009-05-04 00:00:00,15.7,127.4,974.0
2009121N13124,2009,24,KUJIRA,2009-05-04 06:00:00,16.3,128.5,967.0
2009121N13124,2009,24,KUJIRA,2009-05-04 12:00:00,16.8,129.6,944.0
2009121N13124,2009,24,KUJIRA,2009-05-04 18:00:00,17.2,131.1,937.0
2009121N13124,2009,24,KUJIRA,2009-05-05 00:00:00,17.6,132.7,937.0
2009121N13124,2009,24,KUJIRA,2009-05-05 06:00:00,18.3,134.0,941.0
2009121N13124,2009,24,KUJIRA,2009-05-05 12:00:00,18.8,135.4,944.0
2009121N13124,2009,24,KUJIRA,2009-05-05 18:00:00,19.5,136.9,944.0
