SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2018184N10147,2018,39,MARIA,2018-07-08 18:00:00,21.1,135.1,910.0
2018184N10147,2018,39,MARIA,2018-07-09 00:00:00,21.8,133.5,917.0
2018184N10147,2018,39,MARIA,2018-07-09 06:00:00,22.4,131.9,925.0
2018184N10147,2018,39,MARIA,2018-07-09 12:00:00,22.9,130.4,929.0
2018184N10147,2018,39,MARIA,2018-07-09 18:00:00,23.4,128.8,937.0
2018184N10147,2018,39,MARIA,2018-07-10 00:00:00,24.0,127.2,945.0
2018184N10147,2018,39,MARIA,2018-07-10 06:00:00,24.7,125.5,950.0
2018184N10147,2018,39,MARIA,2018-07-10 12:00:00,25.3,124.0,953.0
2018184N10147,2018,39,MARIA,2018-07-10 18:00:00,26.1,122.3,952.0
2018184N10147,2018,39,MARIA,2018-07-11 00:00:00,26.4,120.1,951.0
2018184N10147,2018,39,MARIA,2018-07-11 06:00:00,26.6,118.2,969.0
2018184N10147,2018,39,MARIA,2018-07-11 12:00:00,27.0,116.8,983.0
2018184N10147,2018,39,MARIA,2018-07-11 18:00:00,27.9,115.6,996.0
