SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2016265N10150,2016,71,MEGI,2016-09-25 06:00:00,19.9,130.4,959.0
2016265N10150,2016,71,MEGI,2016-09-25 12:00:00,20.1,129.4,959.0
2016265N10150,2016,71,MEGI,2016-09-25 18:00:00,20.5,128.2,959.0
2016265N10150,2016,71,MEGI,2016-09-26 00:00:00,20.8,127.3,952.0
2016265N10150,2016,71,MEGI,2016-09-26 06:00:00,21.4,126.2,948.0
2016265N10150,2016,71,MEGI,2016-09-26 12:00:00,21.9,125.3,944.0
2016265N10150,2016,71,MEGI,2016-09-26 18:00:00,22.4,124.3,941.0
2016265N10150,2016,71,MEGI,2016-09-27 00:00:00,23.2,123.3,937.0
2016265N10150,2016,71,MEGI,2016-09-27 06:00:00,24.1,121.6,948.0
2016265N10150,2016,71,MEGI,2016-09-27 12:00:00,24.0,120.5,963.0
2016265N10150,2016,71,MEGI,2016-09-27 18:00:00,24.6,119.4,978.0
2016265N10150,2016,71,MEGI,2016-09-28 00:00:00,25.0,118.1,981.0
2016265N10150,2016,71,MEGI,2016-09-28 06:00:00,25.0,116.9,989.0
2016265N10150,2016,71,MEGI,2016-09-28 12:00:00,25.3,116.4,996.0
