SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2015012N09146,2015,2,MEKKHALA,2015-01-15 06:00:00,11.7,133.4,996.0
2015012N09146,2015,2,MEKKHALA,2015-01-15 12:00:00,11.7,132.5,996.0
2015012N09146,2015,2,MEKKHALA,2015-01-15 18:00:00,11.6,131.7,996.0
2015012N09146,2015,2,MEKKHALA,2015-01-16 00:00:00,11.5,130.8,993.0
2015012N09146,2015,2,MEKKHALA,2015-01-16 06:00:00,11.4,129.8,989.0
2015012N09146,2015,2,MEKKHALA,2015-01-16 12:00:00,11.3,128.7,985.0
2015012N09146,2015,2,MEKKHALA,2015-01-16 18:00:00,11.1,127.6,974.0
2015012N09146,2015,2,MEKKHALA,2015-01-17 00:00:00,11.4,126.7,970.0
2015012N09146,2015,2,MEKKHALA,2015-01-17 06:00:00,11.9,125.8,974.0
2015012N09146,2015,2,MEKKHALA,2015-01-17 12:00:00,12.4,125.1,982.0
2015012N09146,2015,2,MEKKHALA,2015-01-17 18:00:00,12.7,124.3,985.0
2015012N09146,2015,2,MEKKHALA,2015-01-18 00:00:00,13.5,123.6,993.0
2015012N09146,2015,2,MEKKHALA,2015-01-18 06:00:00,14.0,122.9,996.0
