SID,SEASON,NUMBER,NAME,ISO_TIME,LAT,LON,WMO_PRES
2003302N11133,2003,92,MELOR,2003-10-31 00:00:00,14.6,126.1,991.0
2003302N11133,2003,92,MELOR,2003-10-31 06:00:00,15.3,124.8,984.0
2003302N11133,2003,92,MELOR,2003-10-31 12:00:00,15.7,123.8,976.0
2003302N11133,2003,92,MELOR,2003-10-31 18:00:00,16.3,122.9,976.0
2003302N11133,2003,92,MELOR,2003-11-01 00:00:00,16.9,122.5,967.0
2003302N11133,2003,92,MELOR,2003-11-01 06:00:00,17.5,121.8,972.0
2003302N11133,2003,92,MELOR,2003-11-01 12:00:00,18.5,121.1,976.0
2003302N11133,2003,92,MELOR,2003-11-01 18:00:00,19.4,120.9,976.0
2003302N11133,2003,92,MELOR,2003-11-02 00:00:00,20.1,120.7,980.0
2003302N11133,2003,92,MELOR,2003-11-02 06:00:00,20.6,120.6,980.0
2003302N11133,2003,92,MELOR,2003-11-02 12:00:00,21.3,120.9,980.0
2003302N11133,2003,92,MELOR,2003-11-02 18:00:00,22.0,121.3,984.0
2003302N11133,2003,92,MELOR,2003-11-03 00:00:00,22.8,122.1,991.0
2003302N11133,2003,92,MELOR,2003-11-03 06:00:00,23.2,122.7,991.0
2003302N11133,2003,92,MELOR,2003-11-03 12:00:00,23.6,123.4,991.0
2003302N11133,2003,92,MELOR,2003-11-03 18:00:00,23.8,123.7,991.0
2003302N11133,2003,92,MELOR,2003-11-04 00:00:00,23.8,123.9,997.0
